,Default Value,Ref,Restricted,Enhanced,Enhanced_Inter,Enhanced_Inter_ITC,Enhanced_highCCSandSMR,Restricted_IRA,Enhanced_IRA,Restricted_HighLoad,Enhanced_HighLoad,Enhanced_Inter_HighLoad,Enhanced_Inter_ITC_HighLoad
ignore,1,,,,,,,,,,,,
GSw_LoadProfiles,EER2025_IRAlow,,,,,,,,,EER2025_100by2050,EER2025_100by2050,EER2025_100by2050,EER2025_100by2050
resource_adequacy_years,2007_2008_2009_2010_2011_2012_2013,,,,,,,,,,,,
endyear,2041,,,,,,,,,,,,
GSw_GrowthPenalties,1,0,,,,,,,,,,,
financials_trans_suffix,11yr,8yr,,8yr,8yr,30ITC_0pen,8yr,,8yr,,8yr,8yr,30ITC_0pen
GSw_TransCostMult,1.13,1,,1,1,1,1,,1,,1,1,1
GSw_TransCostMultInterReg,1,,,1.3,1,1,1.3,,1.3,,1.3,1,1
GSw_InterconnectionCostMult,1.3,1,,1,1,1,1,,1,,1,1,1
GSw_TransFirstYear,2035,2032,,2032,2032,2032,2032,,2032,,2032,2032,2032
GSw_TransFirstYearInterReg,2035,2032,,2038,2032,2032,2038,,2038,,2038,2032,2032
GSw_TransRestrict,transreg,country,,interconnect,country,country,interconnect,,interconnect,,interconnect,country,country
GSw_PRMTRADE_level,interconnect,country,,,country,country,,,,,,country,country
GSw_TransInterRegRatio,0,,,,0.3,0.3,,,,,,0.3,0.3
GSw_TransInterRegRatioStyle,g,,,,,,,,,,,,
GSw_TransInterRegRatioExcept,ERCOT,,,,,,,,,,,,
GSw_PRM_NetImportLimitScen,2050_hist,2031_hist/2050_100,,2037_hist/2038_100,2031_hist/2032_100,2031_hist/2032_100,2037_hist/2038_100,,2037_hist/2038_100,,2037_hist/2038_100,2031_hist/2032_100,2031_hist/2032_100
incentives_suffix,obbba,,,,,,,ira_45q_45v_extension,ira_45q_45v_extension,,,,
GSw_TCPhaseout,1,,,,,,,0,0,,,,
plantchar_coal_ccs,coal-ccs_ATB_2024_moderate,,,,,,coal-ccs_ATB_2024_conservative,,,,,,
plantchar_gas_ccs,gas-ccs_ATB_2024_moderate,,,,,,gas-ccs_ATB_2024_conservative,,,,,,
plantchar_nuclear_smr,nuclear-smr_ATB_2024_moderate,,,,,,nuclear-smr_ATB_2024_conservative,,,,,,
