Symbol,Element_name,Ktons_recovery
AG,Silver,57.86769579
AL,Aluminum,229427.5585
AS,Arsenic,690.1023358
AU,Gold,0.08974522
B,Boron,16.45027859
BA,Barium,4469.938101
BE,Beryllium,16.76150227
BI,Bismuth,15.86014994
BR,Bromine,0.000369765
CA,Calcium,311648.4116
CD,Cadmium,15.88272157
CE,Cerium,199.777601
CL,Chlorine,3.860624744
CO,Cobalt,277.1027954
CR,Chromium,5308.360249
CS,Cesium,17.84476013
CU,Copper,3398.401653
DY,Dysprosium,3.025160754
ER,Erbium,1.730950229
EU,Europium,5.961661648
FE,Iron,142465.8347
FE,Iron,142465.8347
GA,Gallium,70.02945585
GD,Gadolinium,3.591169472
GE,Germanium,23.86785766
HF,Hafnium,10.85925004
HG,Mercury,50.90040193
HO,Holmium,0.663330439
IN,Indium,0.819906874
IR,Iridium,0.371170169
K,Potassium,93031.5559
LA,Lanthanum,104.7659628
LI,Lithium,88.61160106
LU,Lutetium,0.277167899
MG,Magnesium,55806.98171
MN,Manganese,2424.553104
MO,Molybdenum,549.7548624
NA,Sodium,11037.78088
NB,Niobium,44.79225369
ND,Neodymium,36.77953254
NI,Nickel,1017.151538
OS,Osmium,0
P,Phosphorus,4011.994071
PB,Lead,81907.229
PD,Palladium,0.011897255
PR,Praseodymium,8.328748603
PT,Platinum,0.008111831
RB,Rubidium,389.4142229
RE,Rhenium,0.479083128
RH,Rhodium,0
RU,Ruthenium,0
S,Sulfur,80962.9876
SB,Antimony,375.1648154
SC,Scandium,68.08295941
SE,Selenium,8.769866422
SI,Silicon,484317.3092
SM,Samarium,3.974591458
SN,Tin,16.29792407
SR,Strontium,2351.748303
TA,Tantalum,2.242451817
TB,Terbium,0.56532535
TE,Tellurium,2.882081013
TH,Thorium,41.62713132
TI,Titanium,13665.3111
TL,Thallium,11.58531621
TM,Thulium,0.249534169
U,Uranium,13.69707935
V,Vanadium,502.5744642
W,Tungsten,70.6479507
Y,Yttrium,70.6479507
YB,Ytterbium,2.109615918
ZN,Zinc,2265.293753
ZR,Zirconium,435.9147275
