tcat,Aluminum,Boron,Cadmium,Chromium,Cobalt,Copper,Dysprosium,Gallium,Hafnium,Indium,Lead,Lithium,Magnesium,Manganese,Molybdenum,Neodymium,Nickel,Niobium,Praseodymium,Selenium,Silicon,Silver,Steel,Tantalum,Tellurium,Terbium,Tin,Titanium,Tungsten,Vanadium,Yttrium,Zinc,Zirconium
Oil,500.0,0.0,0.0,346.582,0.825,1008.0,0,0.0,0,0.0,0.0,0,0,674.734,38.509,0,154.284,0,0,0.0,12.131599999999999,0.0,55223.4704,0,0.0,0,0.0,0.0,0,0.99,0,0.0,0
Coal,500.0,0.0,0.0,410.67,1.014,1008.0,0,0.0,0,0.0,0.0,0,0,626.652,45.63,0,182.824,0,0,0.0,13.6416,0.0,50910.4704,0,0.0,0,0.0,0.0,0,1.217,0,0.0,0
CoalCCS,500.0,0.0,0.0,1046.52,1.938,1790.0,0,0.0,0,0.0,0.0,0,0,1197.684,116.28,0,465.701,0,0,0.0,21.0336,0.0,97110.4704,0,0.0,0,0.0,0.0,0,2.326,0,0.0,0
NaturalGas,500.0,0.0,0.0,255.15,0.63,1062.0,0,0.0,0,0.0,0.0,0,0,389.34,28.35,0,113.589,0,0,0.0,13.334399999999999,0.0,31815.7056,0,0.0,0,0.0,0.0,0,0.756,0,0.0,0
NaturalGasCCS,500.0,0.0,0.0,831.6,1.54,1844.0,0,0.0,0,0.0,0.0,0,0,951.72,92.4,0,370.062,0,0,0.0,20.6144,0.0,77315.7056,0,0.0,0,0.0,0.0,0,1.848,0,0.0,0
Nuclear,108.0,0.0,1.0,505.44,0.819,774.0,0,0.0,1,2.0,4.0,0,0,575.289,56.16,0,224.886,0,0,0.0,13.9248,8.0,47080.6272,0,0.0,0,5.0,0.0,5,0.983,1,0.0,31
BiomassAndWaste,313.0,0.0,0.0,397.841,0.804,2378.0,0,0.0,0,0.0,104.0,0,0,495.092,44.205,0,177.06,0,0,0.0,11.959599999999998,0.0,40396.4704,0,0.0,0,0.0,0.0,0,0.964,0,160.0,0
BiomassCCS,3900.0,0.0,0.0,1024.204,1.626,3070.0,0,0.0,0,0.0,104.0,0,0,1001.444,113.8,0,455.689,0,0,0.0,18.5356,0.0,81496.4704,0,0.0,0,0.0,0.0,0,1.951,0,160.0,0
Hydro,3400.0,0.0,0.0,162.0,0.9,1230.0,0,0.0,0,0.0,300.0,0,100,544.5,18.0,0,72.27,0,0,0.0,16.416,0.0,45350.784,0,0.0,0,0.0,0.0,0,1.08,0,400.0,0
Geothermal,0.0,0.0,0.0,1360.8,1.68,2443.0,0,0.0,0,0.0,0.0,0,0,1063.44,151.2,0,605.304,0,0,0.0,18.9696,0.0,84210.4704,64,0.0,0,0.0,0.0,0,2.016,0,0.0,0
WindOnshore,1372.0,1.0,0.0,408.6,38.306,2677.0,0,0.0,0,0.0,0.0,0,0,1454.219,45.4,0,193.092,0,3,0.0,315.666,0.0,113850.784,0,0.0,1,90.0,0.0,0,45.967,0,5450.0,0
WindOffshore,2063.0,7.0,0.0,896.4,90.263,9551.0,16,0.0,0,0.0,0.0,0,0,3059.588,99.6,148,425.479,0,33,0.0,731.316,0.0,249350.784,0,0.0,7,90.0,0.0,0,108.315,0,5450.0,0
SolarPV,13780.0,0.001,27.174,144.54,1.104,4180.0,0,1.421,0,2.319,27.268,0,0,663.438,16.06,0,64.571,0,0,4.563,1629.337,15.381,55350.784,0,20.095,0,136.22,0.0,0,1.325,0,1482.208,0
SolarPVCsi,13780.0,0.0008144,5.046,198.0,1.512,4180.0,0,1.71,0,2.79,34.394,0,0,663.438,22.0,0,88.454,0,0,5.49,2259.216,21.0,55350.784,0,5.336,0,60.0,0.0,0,1.815,0,1482.208,0
SolarPVCdte,13780.0,0.0008,87.0,0.0,0.0,4180.0,0,0.0,0,0.0,8.0,0,0,663.438,0.0,0,0.0,0,0,0.0,9.216000000000001,0.0,55350.784,0,60.0,0,332.0,0.0,0,0.0,0,1482.208,0
SolarPVCigs,13780.0,0.0008144,5.046,198.0,1.512,4180.0,0,19.0,0,31.0,34.394,0,0,663.438,22.0,0,88.454,0,0,61.0,21.316000000000003,26.1,55350.784,0,5.336,0,337.976,0.0,0,1.815,0,1482.208,0
SolarCSP,36626.0,0.0,0.0,2195.367,9.486,2467.5,0,0.0,0,0.0,0.0,0,2000,3297.116,243.93,0,978.565,0,0,0.0,85.10499999999999,10.0,271383.784,0,0.0,0,0.0,12.5,0,11.383,0,1025.0,0
SolarCSPtrough,285.0,0.0,0.0,0.0,0.0,3355.0,0,0.0,0,0.0,0.0,0,1400,0.0,0.0,0,0.0,0,0,0.0,9.216000000000001,8.0,583683.784,0,0.0,0,0.0,25.0,0,0.0,0,650.0,0
SolarCSPtower,72967.0,0.0,0.0,0.0,0.0,1580.0,0,0.0,0,0.0,0.0,0,2600,0.0,0.0,0,0.0,0,0,0.0,9.216000000000001,12.0,393350.784,0,0.0,0,0.0,0.0,0,0.0,0,1400.0,0
Ocean,27500.0,0.0,0.0,0.0,0.0,15108.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,5.529599999999999,0.0,300210.4704,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0
StationaryLiionbatteries,600.0,0.0,0.0,0.0,0.0,144.0,0,0.0,0,0.0,0.0,95,0,0.0,0.0,0,0.0,0,0,0.0,7.3728,0.0,2780.6272,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0
