* mat, price 
Alumina,343.59
Aluminum,1251.80
Bauxite,18.08
Boron,337.56
Cadmium,2471.41
Chromium,7441.87
Cobalt,19269.14
Copper,5625.70
Dysprosium,156723.36
Gallium,217001.58
Hafnium,2772797.93
Indium,192890.29
Iron ore,69319.95
Lead,1054.24
Lithium,8438.95
Magnesium,3199.62
Manganese,3.50
Molybdenum,28330.76
Neodymium,33755.80
Nickel,10247.30
Niobium,15672.34
Praseodymium,33755.80
Selenium,14466.77
Silicon,2059.81
Silver,536822.35
Steel,296.26
Tantalum,102472.97
Tellurium,46715.62
Terbium,488253.55
Tin,18604.68
Titanium,7836.17
Tungsten,150.70
Vanadium,7242.54
Yttrium,19891.81
Zinc,1794.02
Zirconium,15069.55
