* mat,mat_ctry,production
Alumina,USA,720000.0
Alumina,Australia,18000000.0
Alumina,Brazil,11000000.0
Alumina,Canada,1500000.0
Alumina,China,84000000.0
Alumina,Germany,960000.0
Alumina,Greece,860000.0
Alumina,Guinea,300000.0
Alumina,India,7600000.0
Alumina,Indonesia,1300000.0
Alumina,Ireland,1600000.0
Alumina,Jamaica,1500000.0
Alumina,Kazakhstan,1400000.0
Alumina,Russia,2900000.0
Alumina,Saudi_Arabia,1800000.0
Alumina,Spain,820000.0
Alumina,Turkey,320000.0
Alumina,UAE,2400000.0
Alumina,Vietnam,1500000.0
Alumina,Other,1500000.0
Aluminum,USA,670000.0
Aluminum,Australia,1500000.0
Aluminum,Bahrain,1600000.0
Aluminum,Brazil,1100000.0
Aluminum,Canada,3300000.0
Aluminum,China,43000000.0
Aluminum,Iceland,780000.0
Aluminum,India,4200000.0
Aluminum,Malaysia,870000.0
Aluminum,Norway,1300000.0
Aluminum,Russia,3800000.0
Aluminum,UAE,2700000.0
Aluminum,Other,6800000.0
Bauxite,USA,1000.0
Bauxite,Australia,100000000.0
Bauxite,Brazil,33000000.0
Bauxite,China,93000000.0
Bauxite,Greece,1200000.0
Bauxite,Guinea,130000000.0
Bauxite,India,25000000.0
Bauxite,Indonesia,32000000.0
Bauxite,Jamaica,6100000.0
Bauxite,Kazakhstan,4900000.0
Bauxite,Russia,6300000.0
Bauxite,Saudi_Arabia,5800000.0
Bauxite,Turkey,3200000.0
Bauxite,Vietnam,4200000.0
Bauxite,Other,5700000.0
Boron,USA,90032413.2
Boron,Argentina,160000.0
Boron,Bolivia,230000.0
Boron,Chile,420000.0
Boron,China,340000.0
Boron,Germany,40000.0
Boron,Peru,300000.0
Boron,Russia,80000.0
Boron,Turkey,3000000.0
Cadmium,USA,300.0
Cadmium,Australia,900.0
Cadmium,Bulgaria,300.0
Cadmium,Canada,1700.0
Cadmium,China,9300.0
Cadmium,Germany,170.0
Cadmium,Japan,1700.0
Cadmium,Kazakhstan,1000.0
Cadmium,South_Korea,4500.0
Cadmium,Mexico,1200.0
Cadmium,Netherlands,400.0
Cadmium,Norway,350.0
Cadmium,Peru,620.0
Cadmium,Poland,250.0
Cadmium,Russia,800.0
Cadmium,Uzbekistan,200.0
Chromium,USA,0.0
Chromium,Brazil,1400000.0
Chromium,Finland,1900000.0
Chromium,India,4100000.0
Chromium,Kazakhstan,6500000.0
Chromium,South_Africa,21000000.0
Chromium,Turkey,8000000.0
Chromium,Zimbabwe,1100000.0
Chromium,Other,2900000.0
Cobalt,USA,300.0
Cobalt,Australia,3600.0
Cobalt,Canada,4500.0
Cobalt,Congo,220000.0
Cobalt,Cuba,3500.0
Cobalt,Indonesia,28000.0
Cobalt,Madagascar,2600.0
Cobalt,New_Caledonia,1500.0
Cobalt,Papua_New_Guinea,2800.0
Cobalt,Philippines,3800.0
Cobalt,Russia,8700.0
Cobalt,Turkey,2700.0
Cobalt,Other,6200.0
Copper,USA,1100000.0
Copper,Australia,800000.0
Copper,Canada,450000.0
Copper,Chile,5300000.0
Copper,China,1800000.0
Copper,Congo,3300000.0
Copper,India,30000.0
Copper,Indonesia,1100000.0
Copper,Kazakhstan,740000.0
Copper,Mexico,700000.0
Copper,Peru,2600000.0
Copper,Poland,410000.0
Copper,Russia,930000.0
Copper,Zambia,680000.0
Copper,Other,2700000.0
Dysprosium,China,1263.2676
Dysprosium,Myanmar,975.5928
Dysprosium,Australia,612.8724
Dysprosium,USA,103.1877
Dysprosium,Thailand,71.9187
Dysprosium,Madagascar,71.9187
Dysprosium,Russia,12.5076
Dysprosium,India,6.2538
Dysprosium,Vietnam,3.1269
Dysprosium,Malaysia,3.1269
Dysprosium,Brazil,3.1269
Gallium,USA,0.0
Gallium,China,750.0
Gallium,Japan,3.0
Gallium,South_Korea,3.0
Gallium,Russia,6.0
Hafnium,Australia,4000.0
Hafnium,South_Africa,2700.0
Hafnium,China,1400.0
Hafnium,Mozambique,1100.0
Hafnium,Other,1100.0
Hafnium,Senegal,700.0
Hafnium,Indonesia,550.0
Hafnium,USA,300.0
Hafnium,Kenya,300.0
Indium,USA,0.0
Indium,Belgium,10.0
Indium,Canada,35.0
Indium,China,760.0
Indium,France,21.0
Indium,Japan,60.0
Indium,South_Korea,180.0
Indium,Russia,5.0
Indium,Uzbekistan,1.0
Lead,USA,300000.0
Lead,Australia,430000.0
Lead,Bolivia,60000.0
Lead,China,1900000.0
Lead,India,220000.0
Lead,Iran,60000.0
Lead,Mexico,180000.0
Lead,Peru,270000.0
Lead,Russia,220000.0
Lead,Sweden,70000.0
Lead,Tajikistan,40000.0
Lead,Turkey,70000.0
Lead,Other,520000.0
Lithium,USA,600.0
Lithium,Argentina,18000.0
Lithium,Australia,88000.0
Lithium,Brazil,10000.0
Lithium,Canada,4300.0
Lithium,Chile,49000.0
Lithium,China,41000.0
Lithium,Namibia,2700.0
Lithium,Portugal,380.0
Lithium,Zimbabwe,22000.0
Magnesium,USA,300000.0
Magnesium,Australia,490000.0
Magnesium,Austria,760000.0
Magnesium,Brazil,1800000.0
Magnesium,Canada,150000.0
Magnesium,China,13000000.0
Magnesium,Greece,390000.0
Magnesium,India,160000.0
Magnesium,Iran,210000.0
Magnesium,Russia,2500000.0
Magnesium,Slovakia,380000.0
Magnesium,Spain,670000.0
Magnesium,Turkey,1300000.0
Magnesium,Other,370000.0
Manganese,USA,0.0
Manganese,Australia,2800000.0
Manganese,Brazil,590000.0
Manganese,China,770000.0
Manganese,Cote_d_Ivoire,360000.0
Manganese,Gabon,4600000.0
Manganese,Ghana,820000.0
Manganese,India,800000.0
Manganese,Malaysia,410000.0
Manganese,South_Africa,7400000.0
Manganese,Other,1300000.0
Molybdenum,USA,33000.0
Molybdenum,Armenia,8000.0
Molybdenum,Australia,1000.0
Molybdenum,Canada,1200.0
Molybdenum,Chile,38000.0
Molybdenum,China,110000.0
Molybdenum,Iran,3000.0
Molybdenum,Kazakhstan,3900.0
Molybdenum,North_Korea,700.0
Molybdenum,South_Korea,300.0
Molybdenum,Mexico,17000.0
Molybdenum,Mongolia,3100.0
Molybdenum,Peru,41000.0
Molybdenum,Russia,1700.0
Molybdenum,Uzbekistan,1700.0
Neodymium,China,29510.3546
Neodymium,Myanmar,6594.7577
Neodymium,USA,5313.7616
Neodymium,Australia,3083.8795
Neodymium,Thailand,1280.9961
Neodymium,Madagascar,616.7759
Neodymium,India,521.8873
Neodymium,Russia,332.1101
Neodymium,Brazil,94.8886
Neodymium,Vietnam,47.4443
Nickel,USA,8000.0
Nickel,Australia,110000.0
Nickel,Brazil,77000.0
Nickel,Canada,190000.0
Nickel,China,120000.0
Nickel,Indonesia,2200000.0
Nickel,New_Caledonia,110000.0
Nickel,Philippines,330000.0
Nickel,Russia,210000.0
Nickel,Other,300000.0
Niobium,Brazil,100000.0
Niobium,Canada,7100.0
Niobium,Congo,700.0
Niobium,Russia,350.0
Niobium,Rwanda,200.0
Niobium,Other,120.0
Praseodymium,China,9675.1968
Praseodymium,USA,1868.7296
Praseodymium,Myanmar,1793.3776
Praseodymium,Australia,843.9424
Praseodymium,Thailand,391.8304
Praseodymium,Madagascar,195.9152
Praseodymium,India,135.6336
Praseodymium,Russia,120.5632
Praseodymium,Brazil,30.1408
Praseodymium,Vietnam,15.0704
Praseodymium,Burundi,15.0704
Selenium,USA,380.0
Selenium,Belgium,200.0
Selenium,Canada,130.0
Selenium,China,1800.0
Selenium,Finland,170.0
Selenium,Germany,50.0
Selenium,India,14.0
Selenium,Japan,710.0
Selenium,Peru,50.0
Selenium,Poland,74.0
Selenium,Russia,340.0
Selenium,Serbia,60.0
Selenium,South_Africa,9.0
Selenium,Turkey,50.0
