Material ,Country ,Metric Tons,Production/Production Capacity/Reserves,Supply Chain Point
Alumina ,United States ,720000,Production,Refinery
Alumina ,Australia ,18000000,Production,Refinery
Alumina ,Brazil,11000000,Production,Refinery
Alumina ,Canada,1500000,Production,Refinery
Alumina ,China ,84000000,Production,Refinery
Alumina ,Germany,960000,Production,Refinery
Alumina ,Greece,860000,Production,Refinery
Alumina ,Guinea,300000,Production,Refinery
Alumina ,India ,7600000,Production,Refinery
Alumina ,Indonesia,1300000,Production,Refinery
Alumina ,Ireland,1600000,Production,Refinery
Alumina ,Jamaica,1500000,Production,Refinery
Alumina ,Kazakhstan ,1400000,Production,Refinery
Alumina ,Russia ,2900000,Production,Refinery
Alumina ,Saudi Arabia,1800000,Production,Refinery
Alumina ,Spain,820000,Production,Refinery
Alumina ,Turkey,320000,Production,Refinery
Alumina ,United Arab Emirates,2400000,Production,Refinery
Alumina ,Vietnam,1500000,Production,Refinery
Alumina ,Other countries ,1500000,Production,Refinery
Aluminum,United States,1360000,Production Capacity,Smelter
Aluminum,Australia ,1730000,Production Capacity,Smelter
Aluminum,Bahrain ,1600000,Production Capacity,Smelter
Aluminum,Brazil ,1280000,Production Capacity,Smelter
Aluminum,Canada ,3270000,Production Capacity,Smelter
Aluminum,China ,44700000,Production Capacity,Smelter
Aluminum,Iceland ,880000,Production Capacity,Smelter
Aluminum,India ,4200000,Production Capacity,Smelter
Aluminum,Malaysia ,1080000,Production Capacity,Smelter
Aluminum,Norway ,1460000,Production Capacity,Smelter
Aluminum,Russia ,4080000,Production Capacity,Smelter
Aluminum,United Arab Emirates ,2790000,Production Capacity,Smelter
Aluminum,Other countries ,10000000,Production Capacity,Smelter
Aluminum,United States,670000,Production ,Smelter
Aluminum,Australia ,1500000,Production ,Smelter
Aluminum,Bahrain ,1600000,Production ,Smelter
Aluminum,Brazil ,1100000,Production ,Smelter
Aluminum,Canada ,3300000,Production ,Smelter
Aluminum,China ,43000000,Production ,Smelter
Aluminum,Iceland ,780000,Production ,Smelter
Aluminum,India ,4200000,Production ,Smelter
Aluminum,Malaysia ,870000,Production ,Smelter
Aluminum,Norway ,1300000,Production ,Smelter
Aluminum,Russia ,3800000,Production ,Smelter
Aluminum,United Arab Emirates ,2700000,Production ,Smelter
Aluminum,Other countries ,6800000,Production ,Smelter
Bauxite,United States ,20000000,Reserves,
Bauxite,Australia ,3500000000,Reserves,
Bauxite,Brazil,2700000000,Reserves,
Bauxite,China ,680000000,Reserves,
Bauxite,Guinea,7400000000,Reserves,
Bauxite,India ,650000000,Reserves,
Bauxite,Indonesia,2800000000,Reserves,
Bauxite,Jamaica,2000000000,Reserves,
Bauxite,Kazakhstan ,280000000,Reserves,
Bauxite,Russia ,480000000,Reserves,
Bauxite,Saudi Arabia,180000000,Reserves,
Bauxite,Turkey,69000000,Reserves,
Bauxite,Vietnam,3100000000,Reserves,
Bauxite,Other countries ,5300000000,Reserves,
Bauxite,United States ,1000,Production,Mine
Bauxite,Australia ,100000000,Production,Mine
Bauxite,Brazil,33000000,Production,Mine
Bauxite,China ,93000000,Production,Mine
Bauxite,Greece,1200000,Production,Mine
Bauxite,Guinea,130000000,Production,Mine
Bauxite,India ,25000000,Production,Mine
Bauxite,Indonesia,32000000,Production,Mine
Bauxite,Jamaica,6100000,Production,Mine
Bauxite,Kazakhstan ,4900000,Production,Mine
Bauxite,Russia ,6300000,Production,Mine
Bauxite,Saudi Arabia,5800000,Production,Mine
Bauxite,Turkey,3200000,Production,Mine
Bauxite,Vietnam,4200000,Production,Mine
Bauxite,Other countries ,5700000,Production,Mine
Boron ,United States,48000000,Reserves,Deposits 
Boron ,Chile ,35000000,Reserves,Deposits 
Boron ,China ,9100000,Reserves,Deposits 
Boron ,Peru ,4000000,Reserves,Deposits 
Boron ,Russia ,40000000,Reserves,Deposits 
Boron ,Turkey,950000000,Reserves,Deposits 
Boron ,United States,90032413.2,Production,compounds 
Boron ,Argentina ,160000,Production,crude ore 
Boron ,Bolivia ,230000,Production,ulexite 
Boron ,Chile ,420000,Production,ulexite 
Boron ,China ,340000,Production,boric oxide equivalent 
Boron ,Germany ,40000,Production,compounds 
Boron ,Peru ,300000,Production,crude borates 
Boron ,Russia ,80000,Production,datolite ore 
Boron ,Turkey,3000000,Production,refined borates 
Cadmium ,United States ,300,Production,Refinery 
Cadmium ,Australia ,900,Production,Refinery 
Cadmium ,Bulgaria ,300,Production,Refinery 
Cadmium ,Canada ,1700,Production,Refinery 
Cadmium ,China ,9300,Production,Refinery 
Cadmium ,Germany ,170,Production,Refinery 
Cadmium ,Japan ,1700,Production,Refinery 
Cadmium ,Kazakhstan ,1000,Production,Refinery 
Cadmium ,South Korea,4500,Production,Refinery 
Cadmium ,Mexico ,1200,Production,Refinery 
Cadmium ,Netherlands ,400,Production,Refinery 
Cadmium ,Norway ,350,Production,Refinery 
Cadmium ,Peru ,620,Production,Refinery 
Cadmium ,Poland ,250,Production,Refinery 
Cadmium ,Russia ,800,Production,Refinery 
Cadmium ,Uzbekistan ,200,Production,Refinery 
Chromium ,United States ,630000,Reserves,Shipping grade 
Chromium ,Brazil ,6600000,Reserves,Shipping grade 
Chromium ,Finland ,8300000,Reserves,Shipping grade 
Chromium ,India ,79000000,Reserves,Shipping grade 
Chromium ,Kazakhstan ,320000000,Reserves,Shipping grade 
Chromium ,South Africa ,200000000,Reserves,Shipping grade 
Chromium ,Turkey ,27000000,Reserves,Shipping grade 
Chromium ,Zimbabwe ,540000000,Reserves,Shipping grade 
Chromium ,United States ,0,Production,Mine
Chromium ,Brazil ,1400000,Production,Mine
Chromium ,Finland ,1900000,Production,Mine
Chromium ,India ,4100000,Production,Mine
Chromium ,Kazakhstan ,6500000,Production,Mine
Chromium ,South Africa ,21000000,Production,Mine
Chromium ,Turkey ,8000000,Production,Mine
Chromium ,Zimbabwe ,1100000,Production,Mine
Chromium ,Other countries ,2900000,Production,Mine
Cobalt ,United States ,70000,Reserves,
Cobalt ,Australia ,1700000,Reserves,
Cobalt ,Canada ,220000,Reserves,
Cobalt ,Congo(Kinshasa) ,6000000,Reserves,
Cobalt ,Cuba ,500000,Reserves,
Cobalt ,Indonesia ,640000,Reserves,
Cobalt ,Madagascar ,100000,Reserves,
Cobalt ,Papua New Guinea ,62000,Reserves,
Cobalt ,Philippines ,260000,Reserves,
Cobalt ,Russia ,250000,Reserves,
Cobalt ,Turkey ,91000,Reserves,
Cobalt ,Other countries ,800000,Reserves,
Cobalt ,United States ,300,Production,Mine
Cobalt ,Australia ,3600,Production,Mine
Cobalt ,Canada ,4500,Production,Mine
Cobalt ,Congo(Kinshasa) ,220000,Production,Mine
Cobalt ,Cuba ,3500,Production,Mine
Cobalt ,Indonesia ,28000,Production,Mine
Cobalt ,Madagascar ,2600,Production,Mine
Cobalt ,New Caledonia ,1500,Production,Mine
Cobalt ,Papua New Guinea ,2800,Production,Mine
Cobalt ,Philippines ,3800,Production,Mine
Cobalt ,Russia ,8700,Production,Mine
Cobalt ,Turkey ,2700,Production,Mine
Cobalt ,Other countries ,6200,Production,Mine
Copper ,United States ,47000000,Reserves,
Copper ,Australia ,100000000,Reserves,
Copper ,Canada ,8300000,Reserves,
Copper ,Chile ,190000000,Reserves,
Copper ,China ,41000000,Reserves,
Copper ,Congo(Kinshasa) ,80000,Reserves,
Copper ,India ,2200000,Reserves,
Copper ,Indonesia ,21000000,Reserves,
Copper ,Kazakhstan ,20000000,Reserves,
Copper ,Mexico ,53000000,Reserves,
Copper ,Peru ,100000000,Reserves,
Copper ,Poland ,34000000,Reserves,
Copper ,Russia ,80000000,Reserves,
Copper ,Zambia ,21000000,Reserves,
Copper ,Other countries ,180000000,Reserves,
Copper ,United States ,1100000,Production,Mine
Copper ,Australia ,800000,Production,Mine
Copper ,Canada ,450000,Production,Mine
Copper ,Chile ,5300000,Production,Mine
Copper ,China ,1800000,Production,Mine
Copper ,Congo(Kinshasa) ,3300000,Production,Mine
Copper ,India ,30000,Production,Mine
Copper ,Indonesia ,1100000,Production,Mine
Copper ,Kazakhstan ,740000,Production,Mine
Copper ,Mexico ,700000,Production,Mine
Copper ,Peru ,2600000,Production,Mine
Copper ,Poland ,410000,Production,Mine
Copper ,Russia ,930000,Production,Mine
Copper ,Zambia ,680000,Production,Mine
Copper ,Other countries ,2700000,Production,Mine
Copper ,United States ,890000,Production,Refinery
Copper ,Australia ,460000,Production,Refinery
Copper ,Canada ,320000,Production,Refinery
Copper ,Chile ,1900000,Production,Refinery
Copper ,China ,12000000,Production,Refinery
Copper ,Congo(Kinshasa) ,2500000,Production,Refinery
Copper ,Germany ,630000,Production,Refinery
Copper ,India ,510000,Production,Refinery
Copper ,Indonesia ,350000,Production,Refinery
Copper ,Japan ,1600000,Production,Refinery
Copper ,Kazakhstan ,470000,Production,Refinery
Copper ,South Korea,620000,Production,Refinery
Copper ,Mexico ,350000,Production,Refinery
Copper ,Peru ,390000,Production,Refinery
Copper ,Poland ,590000,Production,Refinery
Copper ,Russia ,960000,Production,Refinery
Copper ,Zambia ,170000,Production,Refinery
Copper ,Other countries ,2500000,Production,Refinery
Dysprosium,China,1263.2676,Production,Mine - estimated
Dysprosium,Myanmar,975.5928,Production,Mine - estimated
Dysprosium,Australia,612.8724,Production,Mine - estimated
Dysprosium,United States ,103.1877,Production,Mine - estimated
Dysprosium,Thailand,71.9187,Production,Mine - estimated
Dysprosium,Madagascar,71.9187,Production,Mine - estimated
Dysprosium,Russia,12.5076,Production,Mine - estimated
Dysprosium,India,6.2538,Production,Mine - estimated
Dysprosium,Vietnam,3.1269,Production,Mine - estimated
Dysprosium,Malaysia ,3.1269,Production,Mine - estimated
Dysprosium,Brazil,3.1269,Production,Mine - estimated
Gallium ,United States ,0,Production Capacity ,Recovery - see note
Gallium ,China ,1000,Production Capacity ,Recovery - see note
Gallium ,Japan,10,Production Capacity ,Recovery - see note
Gallium ,South Korea,16,Production Capacity ,Recovery - see note
Gallium ,Russia ,10,Production Capacity ,Recovery - see note
Gallium ,Other countries ,88,Production Capacity ,Recovery - see note
Gallium ,United States ,0,Production,Recovery - see note
Gallium ,China ,750,Production ,Recovery - see note
Gallium ,Japan,3,Production ,Recovery - see note
Gallium ,South Korea,3,Production ,Recovery - see note
Gallium ,Russia ,6,Production ,Recovery - see note
Hafnium,Australia,4000,Production,Mine
Hafnium,South Africa,2700,Production,Mine
Hafnium,China,1400,Production,Mine
Hafnium,Mozambique,1100,Production,Mine
Hafnium,Other countries ,1100,Production,Mine
Hafnium,Senegal,700,Production,Mine
Hafnium,Indonesia,550,Production,Mine
Hafnium,United States ,300,Production,Mine
Hafnium,Kenya,300,Production,Mine
Hafnium,France,35,Production,Refinery
Hafnium,United States,31.99,Production,Refinery
Hafnium,China,2.03,Production,Refinery
Hafnium,Russia ,0.98,Production,Refinery
Indium,United States ,0,Production Capacity ,Refinery
Indium,Belgium ,50,Production Capacity ,Refinery
Indium,Canada ,70,Production Capacity ,Refinery
Indium,China ,1100,Production Capacity ,Refinery
Indium,France ,70,Production Capacity ,Refinery
Indium,Japan ,70,Production Capacity ,Refinery
Indium,South Korea,310,Production Capacity ,Refinery
Indium,Peru ,50,Production Capacity ,Refinery
Indium,Russia ,15,Production Capacity ,Refinery
Indium,Uzbekistan ,1,Production Capacity ,Refinery
