Material,price_per_tonne,price_per_tonne_2004
Alumina,570.0,343.59
Aluminum,2094.39,1251.8
Bauxite,30.0,18.08
Boron,560.0,337.56
Cadmium,4100.0,2471.41
Chromium,12345.87,7441.87
Cobalt,31966.99,19269.14
Copper,9332.89,5625.7
Dysprosium,260000.0,156723.36
Gallium,500000.0,301391.08
Hafnium,4600000.0,2772797.93
Indium,320000.0,192890.29
Iron_ore,115000.0,69319.95
Lead,1763.7,1054.24
Lithium,14000.0,8438.95
Magnesium,5308.08,3199.62
Manganese,2821.91,1655.52
Molybdenum,47000.0,28330.76
Neodymium,56000.0,33755.8
Nickel,17000.0,10247.3
Niobium,26000.0,15672.34
Praseodymium,56000.0,33755.8
Selenium,24000.0,14466.77
Silicon,3417.16,2059.81
Silver,890574.39,536822.35
Steel,505.0,296.26
Tantalum,170000.0,102472.97
Tellurium,77500.0,46715.62
Terbium,810000.0,488253.55
Tin,30864.68,18604.68
Titanium,13000.0,7836.17
Tungsten,250.0,150.7
Vanadium,12015.18,7242.54
Yttrium,33000.0,19891.81
Zinc,2976.24,1794.02
Zirconium,25000.0,15069.55
