* mat,mat_ctry,value
Silver,USA,57867.69579
Aluminum,USA,229427558.5
Gold,USA,89.74522
Boron,USA,16450.27859
Cadmium,USA,15882.72157
Cobalt,USA,277102.7954
Chromium,USA,5308360.249
Copper,USA,3398401.653
Dysprosium,USA,3025.160754
Gallium,USA,70029.45585
Hafnium,USA,10859.250039999999
Indium,USA,819.9068739999999
Lithium,USA,88611.60106
Magnesium,USA,55806981.71
Manganese,USA,2424553.1040000003
Molybdenum,USA,549754.8624
Niobium,USA,44792.253690000005
Neodymium,USA,36779.53254
Nickel,USA,1017151.538
Lead,USA,81907229.0
Praseodymium,USA,8328.748603
Selenium,USA,8769.866422
Silicon,USA,484317309.20000005
Tin,USA,16297.924070000001
Tantalum,USA,2242.451817
Terbium,USA,565.32535
Tellurium,USA,2882.081013
Titanium,USA,13665311.100000001
Vanadium,USA,502574.46420000005
Tungsten,USA,70647.9507
Yttrium,USA,70647.9507
Zinc,USA,2265293.753
Zirconium,USA,435914.72750000004
