sc_point_gid,class
416,1
796,1
797,1
798,1
799,1
1176,1
1177,1
1178,1
1179,1
1180,1
1543,1
1557,1
1558,1
1559,1
1560,1
1923,1
1924,1
1937,1
1938,1
1939,1
2303,1
2304,1
2305,1
2315,1
2316,1
2317,1
2318,1
2319,1
2320,1
2321,1
2333,1
2334,1
2682,1
2683,1
2684,1
2685,1
2686,1
2695,1
2696,1
2697,1
2698,1
2699,1
2700,1
2701,1
2712,1
2713,1
2714,1
2715,1
2716,1
2717,1
2718,1
3062,1
3063,1
3064,1
3065,1
3066,1
3067,1
3068,1
3074,1
3075,1
3076,1
3077,1
3078,1
3079,1
3080,1
3081,1
3082,1
3090,1
3092,1
3093,1
3094,1
3095,1
3096,1
3097,1
3098,1
3099,1
3100,1
3101,1
3102,1
3443,1
3444,1
3448,1
3449,1
3450,1
3451,1
3454,1
3455,1
3456,1
3457,1
3458,1
3459,1
3461,1
3468,1
3469,1
3470,1
3472,1
3473,1
3474,1
3475,1
3476,1
3477,1
3478,1
3479,1
3480,1
3481,1
3482,1
3483,1
3484,1
3485,1
3486,1
3487,1
3823,1
3824,1
3825,1
3830,1
3831,1
3832,1
3833,1
3836,1
3837,1
3838,1
3839,1
3840,1
3841,1
3849,1
3850,1
3851,1
3852,1
3853,1
3854,1
3855,1
3856,1
3857,1
3858,1
3859,1
3860,1
3861,1
3862,1
3863,1
3864,1
3865,1
3866,1
3867,1
3869,1
3870,1
3871,1
4203,1
4204,1
4205,1
4212,1
4213,1
4215,1
4216,1
4217,1
4218,1
4219,1
4221,1
4228,1
4229,1
4230,1
4231,2
4232,1
4233,1
4234,2
4235,2
4236,1
4237,1
4238,1
4239,1
4240,1
4241,1
4242,1
4243,1
4244,1
4245,1
4246,1
4247,1
4248,1
4249,1
4250,1
4251,1
4252,1
4253,1
4254,1
4583,1
4584,1
4585,1
4592,1
4593,1
4594,1
4595,1
4596,1
4597,1
4598,1
4599,1
4600,1
4608,1
4609,1
4610,1
4611,2
4612,1
4613,1
4614,2
4615,2
4616,1
4617,1
4618,1
4619,1
4620,1
4621,1
4622,1
4623,1
4624,1
4625,1
4626,1
4627,1
4628,1
4629,1
4630,1
4632,1
4633,1
4634,1
4636,1
4637,1
4638,1
4639,1
4640,1
4963,1
4964,1
4965,1
4971,1
4973,1
4974,1
4975,1
4976,1
4977,1
4978,1
4979,1
4989,1
4990,2
4991,2
4992,2
4993,2
4994,2
4995,1
4996,1
4997,1
4998,1
4999,1
5000,1
5001,1
5002,1
5003,1
5004,1
5005,1
5006,1
5007,1
5008,1
5009,1
5010,1
5011,1
5012,1
5013,1
5014,1
5015,1
5016,1
5017,1
5019,1
5020,1
5021,1
5024,1
5025,1
5342,1
5343,1
5344,1
5345,1
5350,1
5351,1
5352,1
5353,1
5355,1
5356,1
5357,1
5358,1
5359,1
5369,2
5370,2
5371,2
5372,2
5373,2
5374,2
5375,1
5376,1
5377,1
5378,1
5379,1
5380,1
5381,1
5382,1
5383,1
5384,1
5385,1
5386,1
5387,1
5388,1
5389,1
5390,1
5391,1
5392,1
5393,1
5394,1
5395,1
5396,1
5397,1
5398,1
5399,1
5400,1
5401,1
5404,1
5405,1
5409,1
5410,1
5411,1
5723,1
5724,1
5725,1
5726,1
5729,1
5731,1
5732,1
5733,1
5734,1
5735,1
5736,1
5737,1
5738,1
5739,1
5740,1
5745,1
5748,2
5749,2
5750,2
5751,2
5752,2
5753,2
5754,2
5755,2
5756,1
5757,1
5758,1
5759,1
5760,1
5761,1
5762,1
5763,1
5764,1
5765,1
5766,1
5767,1
5768,1
5769,1
5770,1
5771,1
5772,1
5773,1
5774,1
5775,1
5777,1
5778,1
5780,1
5781,1
5782,1
5783,1
5784,1
5785,1
5789,1
5790,1
5791,1
5792,1
5793,1
5794,1
5795,1
5796,1
6103,1
6104,1
6105,1
6106,1
6107,1
6108,1
6109,1
6110,1
6111,1
6112,1
6113,1
6114,1
6115,1
6116,1
6117,1
6118,1
6119,1
6120,1
6121,1
6124,1
6125,1
6126,2
6127,2
6128,2
6129,2
6130,2
6131,2
6132,2
6133,2
6134,2
6135,2
6136,2
6137,1
6138,1
6139,1
6140,1
6141,1
6142,1
6143,1
6144,1
6145,1
6146,1
6147,1
6148,1
6149,1
6150,1
6151,1
6152,1
6153,1
6154,1
6155,1
6156,1
6157,1
6158,1
6159,1
6160,1
6161,1
6162,1
6163,1
6164,1
6165,1
6170,1
6171,1
6172,1
6173,1
6174,1
6175,1
6176,1
6177,1
6178,1
6179,1
6180,1
6181,1
6182,1
6438,1
6443,1
6444,1
6445,1
6482,1
6483,1
6484,1
6485,1
6486,1
6487,1
6488,1
6489,1
6490,1
6491,1
6492,1
6493,1
6494,1
6495,1
6496,1
6497,1
6498,1
6504,1
6505,2
6506,2
6507,2
6508,2
6509,2
6510,2
6511,2
6512,2
6513,2
6514,2
6515,2
6516,2
6517,1
6518,1
6519,1
6520,1
6521,1
6522,1
6523,1
6524,1
6525,1
6526,1
6527,1
6528,1
6529,1
6530,1
6531,1
6532,1
6533,1
6534,1
6535,1
6536,1
6537,1
6538,1
6539,1
6540,1
6541,1
6542,1
6543,1
6545,1
6550,1
