sc_point_gid,class
7422,2
8063,2
9025,2
10783,3
10784,3
10791,3
11111,3
11115,2
11131,4
11426,3
11452,3
11741,2
11742,2
11746,2
11747,2
12734,3
12735,3
12738,3
12739,3
12740,3
12741,3
12813,4
13052,4
13053,4
13054,4
13055,4
13056,4
13057,3
13059,3
13060,3
13372,4
13373,4
13374,4
13375,4
13376,4
13377,4
13378,4
13381,3
13382,3
13691,4
13692,4
13693,4
13697,4
13698,4
14010,3
14011,4
14012,4
14019,4
14020,3
14331,4
14332,4
14333,4
14652,4
14653,4
14654,4
14972,3
14973,4
14974,4
15054,3
15293,3
15294,4
15295,4
15301,4
15317,4
15346,3
15614,3
15638,4
15667,3
15934,3
15955,3
15956,4
15958,4
15987,4
15988,3
15989,3
16254,3
16255,3
16257,4
16276,3
16277,4
16310,3
16356,5
16597,3
16598,4
16599,4
16600,4
16601,4
16675,5
16676,5
16677,5
16678,5
16721,3
16918,3
16919,4
16920,4
16921,4
16995,5
16996,5
16997,5
16998,5
16999,5
17238,3
17239,4
17240,4
17243,4
17302,4
17316,5
17317,5
17318,5
17319,5
17320,5
17558,3
17559,3
17564,4
17565,4
17624,4
17636,5
17637,5
17638,5
17639,5
17640,5
17641,5
17861,4
17879,3
17880,3
17886,4
17887,4
17956,5
17957,5
17958,5
17959,5
17960,5
17961,5
17962,5
18182,4
18207,4
18208,4
18278,5
18279,5
18280,5
18281,5
18282,5
18283,5
18503,4
18528,3
18529,4
18591,5
18592,5
18599,5
18600,5
18601,5
18602,5
18603,5
18604,5
18849,3
18913,5
18914,5
18919,5
18920,5
18921,5
18922,5
18923,5
19187,3
19231,4
19232,5
19234,5
19235,5
19236,5
19240,5
19241,5
19242,5
19243,5
19244,5
19507,3
19508,3
19555,5
19556,5
19557,5
19561,5
19562,5
19563,5
19564,5
19794,4
19827,3
19828,3
19869,4
19870,5
19872,5
19873,5
19874,5
19875,5
19876,5
19877,5
19878,5
19879,5
19883,5
19884,5
20115,4
20147,3
20148,3
20188,4
20189,4
20190,5
20191,5
20192,5
20193,5
20194,5
20195,5
20196,5
20197,5
20198,5
20199,5
20200,5
20204,5
20429,3
20466,4
20467,3
20468,3
20509,4
20510,5
20511,5
20512,5
20513,5
20514,5
20515,5
20516,5
20517,5
20518,5
20519,5
20520,5
20521,5
20750,3
20751,4
20785,4
20786,4
20787,3
20788,3
20830,4
20831,5
20832,5
20833,5
20834,5
20835,5
20836,5
20837,5
20838,5
20839,5
20840,5
20841,5
20842,5
21072,4
21103,4
21104,4
21105,4
21106,3
21107,3
21108,3
21150,4
21151,5
21152,5
21153,5
21154,5
21155,5
21158,5
21159,5
21160,5
21399,4
21423,4
21424,4
21425,4
21426,3
21427,3
21470,4
21471,4
21472,5
21473,5
21720,4
21743,4
21744,4
21745,3
21746,3
21747,3
21790,4
21791,4
21792,4
21793,5
22035,3
22040,4
22041,4
22057,3
22063,3
22064,3
22065,3
22066,3
22109,4
22110,4
22111,4
22112,4
22113,5
22356,3
22357,3
22361,4
22378,3
22379,3
22383,3
22384,3
22385,3
22386,3
22429,4
22430,4
22431,4
22432,4
22433,4
22434,5
22678,3
22679,4
22680,4
22681,4
22682,3
22699,3
22700,3
22701,3
22702,3
22703,3
22704,3
22705,3
22706,3
22707,3
22751,4
22752,4
22753,4
22754,4
22755,5
22999,3
23000,3
23001,3
23002,3
23023,3
23024,3
23025,3
23068,3
23069,4
23070,4
23071,4
23072,4
23073,4
23074,4
23075,4
23321,3
23322,3
23389,3
23390,4
23391,4
23392,4
23393,4
23394,4
23395,4
23710,4
23711,4
23712,4
23713,4
23714,4
23715,4
23716,4
23717,4
24031,4
24032,4
24033,4
24034,4
24035,4
24353,4
24354,4
24355,4
24356,4
24357,4
24674,4
24675,4
24676,4
24677,4
24678,4
24994,4
24995,4
24996,4
24997,4
24998,4
24999,4
25315,4
25316,4
25317,4
25318,4
25319,4
25320,4
25636,4
25637,4
25638,4
25639,4
25640,4
25956,4
25957,4
25958,4
25959,4
25960,4
25961,4
26277,4
26278,4
26279,4
26280,4
26281,4
26282,4
26597,4
26598,4
26599,4
26600,4
26601,4
26602,4
26603,4
26918,4
26919,4
26920,4
26921,4
26922,4
26923,4
26992,1
27238,4
27239,4
27240,4
27241,4
27242,4
27243,4
27244,4
27313,1
27560,4
27561,4
27562,4
27563,4
27564,4
27565,4
27881,4
27882,4
27883,4
27884,4
27885,4
28202,4
28203,4
28204,4
28205,4
28206,4
28523,4
28524,4
28525,4
28526,4
28527,4
28844,4
28845,4
28846,4
28847,4
29165,4
29166,4
29167,4
29168,4
29487,4
29488,4
29489,4
29808,4
29809,4
29810,4
30129,4
30130,4
30449,4
30450,4
30451,4
30768,4
30769,4
30770,4
30771,4
30772,4
31089,4
31090,4
31091,4
31092,4
31093,4
31410,4
31411,4
31412,4
31413,4
31414,4
31415,4
31731,3
31732,4
31733,4
31734,4
31735,4
31736,4
32052,4
32053,4
32054,4
32055,4
32056,4
32057,4
32376,4
32377,4
32378,4
32695,4
32696,4
32697,4
32698,4
32699,4
33016,4
33017,4
33018,4
33019,4
33020,4
33338,4
33339,4
33340,4
33341,4
33659,4
33660,4
33661,4
33662,4
33981,4
33982,4
33983,4
34303,4
34304,4
34305,4
34624,4
34625,4
34626,4
34946,4
34947,4
35267,4
35268,4
35588,4
35908,4
35909,4
36227,4
36229,4
36548,4
36549,4
36550,4
36868,4
36869,4
36870,4
37189,4
37190,4
37191,4
37509,4
37510,4
37511,4
37828,4
37829,4
37830,4
37831,4
37832,4
38149,4
38150,4
38151,4
38152,4
38153,4
38471,4
38472,4
38473,4
38793,4
38794,4
39108,3
39109,3
39114,4
39429,3
39430,3
39750,3
39751,3
40067,3
40068,3
40069,3
40070,3
40071,3
40072,3
40073,3
40387,3
40388,3
40389,3
40390,3
40391,3
40392,3
40393,3
40394,3
40707,3
40708,3
40709,3
40710,3
40711,3
40712,3
40713,3
40714,3
40715,3
40716,3
41028,3
41029,3
41030,3
41031,3
41032,3
41033,3
41034,3
41035,3
41349,3
41350,3
41351,3
41352,3
41353,3
41670,3
41671,3
41672,3
41673,3
41990,3
41991,3
41992,3
41993,3
42310,3
42311,3
42312,3
42313,3
42314,3
42315,3
42631,3
42632,3
42633,3
42635,3
42636,3
42951,3
42952,3
42953,3
42954,3
43271,3
43272,3
43273,3
43274,3
43591,3
43592,3
43593,3
43594,3
43595,3
43596,3
43911,3
43912,3
43913,3
43914,3
43915,3
43916,3
43917,3
44231,3
44232,3
44233,3
44234,3
44235,3
44236,3
44237,3
44552,3
44553,3
44554,3
44555,3
44556,3
44557,3
44558,3
44872,2
44873,3
44874,3
44875,3
44876,3
44877,3
45193,2
45194,3
45195,3
45196,3
45197,3
45198,3
45513,2
45514,2
45515,3
45516,3
45517,3
45518,3
45519,3
45834,2
45835,2
45836,2
45837,2
45838,2
45839,2
46155,2
46156,2
46157,2
46158,2
46159,2
46160,2
46476,2
46477,2
46478,2
46479,2
46480,2
46797,2
46798,2
46799,2
46800,2
47118,2
47119,2
47120,2
47438,2
47439,2
47440,2
47759,2
47761,2
47762,2
47763,2
47764,2
47765,2
48080,2
48081,2
48082,2
48083,2
48084,2
48085,2
48086,2
48401,2
48402,2
48403,2
48404,2
48405,2
48406,2
48723,2
48724,2
48726,2
48727,2
48728,2
49044,2
49045,2
49046,2
49047,2
49048,2
49049,2
49365,2
49366,2
49367,2
49368,2
49369,2
49370,2
49687,2
49688,2
49689,2
49690,2
49691,2
49692,2
50008,2
50009,2
50010,2
50011,2
50012,2
50330,1
50331,1
50332,2
50333,2
50334,2
50612,2
50615,2
50616,2
50617,2
50633,1
50651,1
50652,1
50653,1
50654,1
50655,2
50926,2
50927,2
50928,2
50929,2
50930,2
50931,2
50932,2
50933,2
50934,2
50935,2
50936,2
50954,1
50955,1
50973,1
50974,1
50975,1
50976,1
51248,2
51249,2
51250,2
51251,2
51252,2
51253,2
51254,2
51255,2
51256,2
51273,1
51276,1
51277,1
51278,1
51294,1
51295,1
