sc_point_gid,class
1543,7
1923,6
1924,6
1937,3
1938,4
2303,5
2304,5
2305,4
2316,3
2317,2
2318,2
2319,1
2320,1
2321,1
2333,3
2334,3
2682,5
2683,5
2684,5
2685,5
2686,4
2695,4
2696,3
2697,3
2698,2
2699,2
2700,1
2701,1
2712,3
2713,2
2714,4
2715,4
2716,1
2717,2
2718,1
3062,6
3063,4
3064,4
3065,4
3066,5
3067,3
3068,3
3076,3
3077,3
3078,3
3079,2
3081,1
3092,4
3093,3
3094,3
3095,2
3096,2
3097,2
3098,1
3099,1
3100,1
3101,1
3102,1
3443,4
3444,4
3449,1
3450,1
3456,3
3457,2
3458,1
3459,1
3461,1
3469,2
3470,1
3472,2
3473,3
3474,3
3475,1
3476,2
3477,2
3478,2
3479,2
3480,1
3481,2
3482,1
3483,1
3484,1
3485,1
3486,1
3487,1
3823,4
3824,2
3825,2
3830,1
3831,1
3832,2
3833,5
3836,3
3838,2
3839,2
3840,1
3841,1
3849,2
3850,1
3851,1
3852,1
3853,3
3854,3
3855,2
3856,1
3857,2
3858,2
3859,1
3860,2
3861,2
3862,1
3863,1
3864,1
3865,1
3866,1
3867,1
3870,3
3871,6
4203,4
4204,3
4205,3
4212,3
4213,4
4215,5
4216,3
4218,2
4219,2
4221,1
4228,1
4229,1
4230,1
4231,3
4232,2
4233,2
4234,3
4235,2
4236,1
4237,2
4238,1
4239,2
4240,4
4241,2
4242,1
4243,1
4244,2
4245,1
4246,1
4247,1
4248,2
4249,1
4250,1
4251,5
4252,2
4253,3
4254,2
4583,4
4584,2
4585,3
4592,3
4593,3
4594,4
4598,2
4599,1
4609,1
4610,1
4611,2
4612,1
4613,2
4614,2
4615,3
4616,2
4617,2
4618,1
4619,3
4620,2
4621,1
4622,1
4623,1
4624,1
4625,2
4626,1
4627,2
4628,1
4629,1
4630,1
4631,4
4633,3
4634,1
4636,3
4637,1
4638,2
4639,2
4640,1
4963,4
4964,3
4973,4
4974,4
4977,2
4978,1
4979,1
4989,1
4990,3
4991,2
4992,2
4993,3
4994,1
4995,2
4996,2
4997,2
4998,2
4999,3
5000,1
5001,1
5002,2
5003,1
5004,1
5005,2
5006,1
5007,1
5008,1
5009,1
5010,1
5011,6
5012,3
5013,3
5014,1
5016,2
5017,1
5019,3
5020,2
5021,1
5024,1
5342,5
5343,4
5344,2
5345,1
5350,1
5351,3
5352,4
5357,2
5358,1
5359,1
5369,1
5370,2
5371,2
5372,2
5373,3
5374,1
5375,1
5376,1
5377,2
5378,2
5379,3
5380,1
5381,1
5382,2
5383,1
5384,1
5385,3
5386,1
5387,1
5388,1
5389,1
5390,2
5391,4
5392,5
5393,2
5394,1
5395,2
5397,2
5399,4
5400,2
5401,1
5404,1
5409,10
5410,8
5411,6
5723,4
5724,3
5725,3
5726,2
5729,2
5731,3
5732,4
5737,1
5738,1
5739,2
5748,3
5749,2
5750,1
5751,2
5752,2
5753,2
5754,1
5755,1
5756,1
5757,2
5758,2
5759,2
5760,1
5761,1
5762,2
5763,1
5764,1
5765,2
5766,1
5767,1
5768,1
5769,1
5770,4
5771,2
5772,6
5773,6
5774,1
5775,1
5776,3
5777,2
5780,2
5781,1
5782,3
5783,6
5785,1
5789,10
5790,9
5791,10
5792,9
5793,8
5794,8
5795,8
5796,9
6103,5
6104,4
6105,3
6106,2
6107,2
6108,2
6109,2
6110,3
6111,3
6112,4
6116,3
6117,1
6118,2
6119,2
6122,3
6124,7
6125,1
6126,5
6127,3
6128,2
6129,3
6130,2
6131,3
6132,2
6133,2
6134,2
6135,1
6136,2
6137,2
6138,2
6139,2
6140,2
6141,1
6142,2
6143,1
6144,1
6145,1
6146,1
6147,1
6148,1
6149,1
6150,5
6151,2
6152,1
6153,2
6154,2
6155,1
6156,2
6157,1
6158,1
6159,1
6160,3
6161,2
6162,1
6163,3
6164,4
6165,1
6170,9
6171,10
6172,9
6173,8
6174,8
6175,7
6176,7
6177,9
6178,9
6179,7
6180,7
6181,8
6182,9
6438,6
6443,7
6444,6
6445,7
6482,6
6483,5
6484,4
6485,4
6486,3
6487,3
6488,3
6489,3
6490,3
6491,4
6496,4
6497,4
6498,1
6499,3
6504,4
6505,4
6506,4
6507,2
6508,1
6509,3
6510,4
6511,3
6512,3
6513,3
6514,3
6515,2
6516,2
6517,1
6518,2
6519,1
6520,1
6521,2
6522,2
6523,1
6524,1
6525,2
6526,1
6527,1
6528,1
6529,1
6530,3
6531,2
6532,2
6533,5
6534,2
6535,2
6536,1
6537,1
6538,1
6539,1
6542,1
6543,1
6545,3
6550,10
6551,9
6552,8
6553,7
6554,7
6555,6
6556,6
6557,8
6558,9
6559,7
6560,6
6561,6
6562,8
6563,8
6564,9
6565,8
6566,8
6567,7
6568,6
6569,6
6818,7
6822,7
6823,7
6824,7
6825,7
6826,7
6862,7
6863,5
6864,5
6865,4
6866,3
6867,4
6868,4
6869,3
6870,4
6871,4
6876,3
6877,4
6885,5
6886,7
6887,2
6888,3
6889,4
6890,5
6891,4
6892,3
6893,3
6894,3
6895,4
6896,3
6897,2
6898,2
6899,1
6900,1
6901,2
6902,1
6903,1
6904,2
6905,1
6906,2
6907,1
6908,2
6909,2
6910,2
6911,2
6912,2
6913,4
6914,1
6915,2
6916,1
6917,1
6918,1
6919,1
6920,1
6921,2
6922,1
6923,1
6924,2
6925,3
6930,10
6931,9
6932,7
6933,7
6934,7
6935,7
6936,6
6937,8
6938,6
6939,6
6940,6
6941,5
6942,6
6943,8
6944,9
6945,9
6946,8
6947,7
6948,7
6949,6
6950,6
6951,7
6952,7
6953,6
6954,6
6955,6
7197,5
7198,6
7199,6
7201,8
7202,7
7203,6
7204,7
7205,7
7206,7
7207,8
7243,5
7244,5
7245,4
7246,3
7247,4
7248,5
7249,5
7255,2
7256,3
7257,4
7259,5
7264,1
7265,3
7266,5
7267,3
7268,4
7269,4
7270,4
7271,4
7272,4
7273,4
7275,3
7276,3
7277,4
7278,3
7279,2
7280,1
7281,2
7282,1
7283,2
7284,2
7285,2
7286,3
7287,2
7288,2
7289,2
7290,3
7291,3
7292,1
7293,1
7294,1
7295,1
7296,2
7297,2
7298,1
7299,1
7300,1
7302,4
7303,1
7304,2
7305,3
7306,1
7310,10
7311,9
7312,9
7313,8
7314,8
7315,8
7316,8
7317,7
7318,6
7319,7
7320,7
7321,6
