class,min_reV_cf_ac,max_reV_cf_ac,access_case
1,0.17292416,0.2333499,open
2,0.2333499,0.25758904,open
3,0.25758904,0.2838251,open
4,0.2838251,0.3151456,open
5,0.3151456,0.36206228,open
1,0.17133507,0.24073146,reference
2,0.24073146,0.26597708,reference
3,0.26597708,0.29071134,reference
4,0.29071134,0.31913534,reference
5,0.31913534,0.36206236,reference
1,0.17163317,0.24197683,limited
2,0.24197683,0.26599154,limited
3,0.26599154,0.289969,limited
4,0.289969,0.31802168,limited
5,0.31802168,0.3605814,limited
