class,min_reV_cf_ac,max_reV_cf_ac,subtech,access_case
1,0.0624,0.2945,fixed,reference
2,0.2945,0.3714,fixed,reference
3,0.3714,0.4384,fixed,reference
4,0.4384,0.4954,fixed,reference
5,0.4954,0.5404,fixed,reference
6,0.042,0.323,floating,reference
7,0.323,0.3846,floating,reference
8,0.3846,0.4434,floating,reference
9,0.4434,0.4975,floating,reference
10,0.4975,0.6036,floating,reference
1,0.0518,0.2934,fixed,open
2,0.2934,0.3711,fixed,open
3,0.3711,0.4354,fixed,open
4,0.4354,0.4923,fixed,open
5,0.4923,0.5404,fixed,open
6,0.0399,0.213,floating,open
7,0.213,0.3447,floating,open
8,0.3447,0.427,floating,open
9,0.427,0.4938,floating,open
10,0.4938,0.6035,floating,open
1,0.2211,0.2934,fixed,limited
2,0.2934,0.3644,fixed,limited
3,0.3644,0.4325,fixed,limited
4,0.4325,0.4976,fixed,limited
5,0.4976,0.5404,fixed,limited
6,0.0887,0.2916,floating,limited
7,0.2916,0.3546,floating,limited
8,0.3546,0.4294,floating,limited
9,0.4294,0.4951,floating,limited
10,0.4951,0.6,floating,limited
