class,min_reV_cf_ac,max_reV_cf_ac,access_case
1,0.011816599,0.13728884,open
2,0.13728884,0.18770167,open
3,0.18770167,0.22804889,open
4,0.22804889,0.26338413,open
5,0.26338413,0.29581222,open
6,0.29581222,0.32797864,open
7,0.32797864,0.35999376,open
8,0.35999376,0.39183393,open
9,0.39183393,0.42661887,open
10,0.42661887,0.5372164,open
1,0.030835668,0.15525597,reference
2,0.15525597,0.20079276,reference
3,0.20079276,0.24005309,reference
4,0.24005309,0.2752154,reference
5,0.2752154,0.30670252,reference
6,0.30670252,0.33793247,reference
7,0.33793247,0.36873865,reference
8,0.36873865,0.39896378,reference
9,0.39896378,0.4322083,reference
10,0.4322083,0.5388614,reference
1,0.04177457,0.17111617,limited
2,0.17111617,0.21632065,limited
3,0.21632065,0.25719017,limited
4,0.25719017,0.29577166,limited
5,0.29577166,0.33172017,limited
6,0.33172017,0.36388177,limited
7,0.36388177,0.39218462,limited
8,0.39218462,0.41959623,limited
9,0.41959623,0.45079517,limited
10,0.45079517,0.5417073,limited
