r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p53007,0.092,0.184,0.398,0.892,1.35,2.046,3.473,3.073689108,3.131961014,3.131961014,3.131961014,3.131961014,3.131961014,3.131961014,3.131961014,3.131961014,3.131961014,3.131961014,3.131961014,3.131961014,3.131961014
p53029,0.1125,0.225,0.486,1.174,1.85,2.838,4.848,4.294785678,4.384161864,4.384161864,4.384161864,4.384161864,4.384161864,4.384161864,4.384161864,4.384161864,4.384161864,4.384161864,4.384161864,4.384161864,4.384161864
p53033,2.6285,5.257,11.367,26.837,50.081,76.746,129.632,115.437054,118.5593869,118.5593869,118.5593869,118.5593869,118.5593869,118.5593869,118.5593869,118.5593869,118.5593869,118.5593869,118.5593869,118.5593869,118.5593869
p53035,0.2965,0.593,1.282,2.923,4.512,6.859,11.616,10.28071347,10.47826973,10.47826973,10.47826973,10.47826973,10.47826973,10.47826973,10.47826973,10.47826973,10.47826973,10.47826973,10.47826973,10.47826973,10.47826973
p53037,0.06025,0.1205,0.261,0.621,0.982,1.52,2.607,2.320594403,2.381558241,2.381558241,2.381558241,2.381558241,2.381558241,2.381558241,2.381558241,2.381558241,2.381558241,2.381558241,2.381558241,2.381558241,2.381558241
p53053,0.928,1.856,4.013,9.005,13.837,21.006,35.503,31.44298123,32.0666617,32.0666617,32.0666617,32.0666617,32.0666617,32.0666617,32.0666617,32.0666617,32.0666617,32.0666617,32.0666617,32.0666617,32.0666617
p53055,0.03475,0.0695,0.15,0.362,0.569,0.873,1.491,1.319193031,1.352157053,1.352157053,1.352157053,1.352157053,1.352157053,1.352157053,1.352157053,1.352157053,1.352157053,1.352157053,1.352157053,1.352157053,1.352157053
p53057,0.1385,0.277,0.599,1.398,2.195,3.346,5.675,5.02233443,5.120731077,5.120731077,5.120731077,5.120731077,5.120731077,5.120731077,5.120731077,5.120731077,5.120731077,5.120731077,5.120731077,5.120731077,5.120731077
p53061,0.84425,1.6885,3.651,8.434,13.207,20.347,34.692,30.83907489,31.57433393,31.57433393,31.57433393,31.57433393,31.57433393,31.57433393,31.57433393,31.57433393,31.57433393,31.57433393,31.57433393,31.57433393,31.57433393
p53067,0.322,0.644,1.392,3.185,4.95,7.544,12.765,11.29744241,11.51957703,11.51957703,11.51957703,11.51957703,11.51957703,11.51957703,11.51957703,11.51957703,11.51957703,11.51957703,11.51957703,11.51957703,11.51957703
p53073,0.25025,0.5005,1.082,2.529,3.939,6.019,10.233,9.05859506,9.243057572,9.243057572,9.243057572,9.243057572,9.243057572,9.243057572,9.243057572,9.243057572,9.243057572,9.243057572,9.243057572,9.243057572,9.243057572
p53003,0.035,0.07,0.151,0.364,0.569,0.886,1.492,1.343717147,1.38722164,1.38722164,1.38722164,1.38722164,1.38722164,1.38722164,1.38722164,1.38722164,1.38722164,1.38722164,1.38722164,1.38722164,1.38722164
p53005,0.1985,0.397,0.858,1.994,3.126,4.813,8.186,7.2509634,7.411762126,7.411762126,7.411762126,7.411762126,7.411762126,7.411762126,7.411762126,7.411762126,7.411762126,7.411762126,7.411762126,7.411762126,7.411762126
p53009,0.09025,0.1805,0.39,0.886,1.363,2.069,3.524,3.126824691,3.192997745,3.192997745,3.192997745,3.192997745,3.192997745,3.192997745,3.192997745,3.192997745,3.192997745,3.192997745,3.192997745,3.192997745,3.192997745
p53011,0.48025,0.9605,2.077,4.756,7.371,11.207,18.979,16.79799709,17.11698877,17.11698877,17.11698877,17.11698877,17.11698877,17.11698877,17.11698877,17.11698877,17.11698877,17.11698877,17.11698877,17.11698877,17.11698877
p53013,0.00575,0.0115,0.025,0.057,0.087,0.133,0.226,0.200280274,0.204607538,0.204607538,0.204607538,0.204607538,0.204607538,0.204607538,0.204607538,0.204607538,0.204607538,0.204607538,0.204607538,0.204607538,0.204607538
p53015,0.1235,0.247,0.534,1.199,1.839,2.794,4.727,4.193623703,4.278960864,4.278960864,4.278960864,4.278960864,4.278960864,4.278960864,4.278960864,4.278960864,4.278960864,4.278960864,4.278960864,4.278960864,4.278960864
p53023,0.003,0.006,0.013,0.031,0.048,0.071,0.122,0.108314842,0.110368307,0.110368307,0.110368307,0.110368307,0.110368307,0.110368307,0.110368307,0.110368307,0.110368307,0.110368307,0.110368307,0.110368307,0.110368307
p53027,0.10275,0.2055,0.444,1.047,1.638,2.493,4.238,3.751167791,3.822283537,3.822283537,3.822283537,3.822283537,3.822283537,3.822283537,3.822283537,3.822283537,3.822283537,3.822283537,3.822283537,3.822283537,3.822283537
p53031,0.0465,0.093,0.201,0.483,0.762,1.165,1.986,1.757561591,1.791942545,1.791942545,1.791942545,1.791942545,1.791942545,1.791942545,1.791942545,1.791942545,1.791942545,1.791942545,1.791942545,1.791942545,1.791942545
p53039,0.02675,0.0535,0.116,0.276,0.439,0.681,1.168,1.037165706,1.063192097,1.063192097,1.063192097,1.063192097,1.063192097,1.063192097,1.063192097,1.063192097,1.063192097,1.063192097,1.063192097,1.063192097,1.063192097
p53041,0.094,0.188,0.406,0.905,1.367,2.069,3.506,3.103322414,3.162156116,3.162156116,3.162156116,3.162156116,3.162156116,3.162156116,3.162156116,3.162156116,3.162156116,3.162156116,3.162156116,3.162156116,3.162156116
