legacy_ba,FIPS,i,fracdata
p1,p53007,hydUD,0
p1,p53033,hydUD,0
p1,p53057,hydUD,0
p1,p53061,hydUD,0
p1,p53073,hydUD,0
p10,p06051,hydUD,1
p10,p06111,hydUD,0
p101,p12039,hydUD,1
p103,p26069,hydUD,1
p118,p51089,hydUD,0
p118,p51141,hydUD,0
p118,p51680,hydUD,0
p122,p42103,hydUD,1
p127,p36001,hydUD,0
p127,p36043,hydUD,0
p127,p36045,hydUD,0
p127,p36049,hydUD,0
p127,p36083,hydUD,0
p127,p36089,hydUD,1
p127,p36091,hydUD,0
p127,p36113,hydUD,0
p129,p50001,hydUD,0
p129,p50019,hydUD,0
p129,p50023,hydUD,0
p129,p50025,hydUD,1
p13,p32003,hydUD,1
p130,p33001,hydUD,1
p131,p25003,hydUD,0
p131,p25011,hydUD,1
p132,p09120,hydUD,0
p132,p09140,hydUD,1
p134,p23001,hydUD,0
p134,p23003,hydUD,0
p134,p23009,hydUD,0
p134,p23011,hydUD,0
p134,p23019,hydUD,0
p134,p23025,hydUD,1
p134,p23031,hydUD,0
p14,p16017,hydUD,1
p14,p16055,hydUD,0
p15,p16001,hydUD,0
p15,p16035,hydUD,0
p15,p16039,hydUD,0
p15,p16045,hydUD,0
p15,p16067,hydUD,0
p15,p16073,hydUD,0
p15,p16087,hydUD,1
p16,p16019,hydUD,1
p16,p16029,hydUD,0
p17,p30007,hydUD,0
p17,p30029,hydUD,0
p17,p30039,hydUD,0
p17,p30053,hydUD,0
p17,p30057,hydUD,0
p17,p30089,hydUD,0
p18,p30003,hydUD,0
p18,p30013,hydUD,0
p18,p30049,hydUD,0
p19,p30105,hydUD,1
p2,p53005,hydUD,0
p2,p53015,hydUD,0
p2,p53041,hydUD,1
p2,p53045,hydUD,0
p2,p53059,hydUD,0
p21,p56013,hydUD,0
p21,p56029,hydUD,1
p24,p56007,hydUD,0
p24,p56025,hydUD,0
p24,p56031,hydUD,0
p25,p49003,hydUD,1
p26,p49009,hydUD,1
p26,p49051,hydUD,0
p27,p04015,hydUD,1
p28,p04005,hydUD,1
p28,p04012,hydUD,0
p28,p04013,hydUD,0
p3,p53043,hydUD,0
p3,p53051,hydUD,1
p33,p08013,hydUD,0
p33,p08019,hydUD,0
p33,p08069,hydUD,1
p33,p08077,hydUD,0
p33,p08117,hydUD,0
p34,p08051,hydUD,0
p34,p08067,hydUD,0
p34,p08083,hydUD,0
p34,p08085,hydUD,1
p34,p08113,hydUD,0
p36,p38057,hydUD,1
p38,p46023,hydUD,0
p38,p46065,hydUD,0
p38,p46085,hydUD,0
p4,p53017,hydUD,0
p4,p53025,hydUD,1
p40,p31141,hydUD,1
p43,p27017,hydUD,1
p43,p27075,hydUD,0
p43,p27137,hydUD,0
p46,p55017,hydUD,1
p5,p41031,hydUD,0
p5,p41039,hydUD,0
p5,p41047,hydUD,0
p5,p41063,hydUD,0
p50,p40061,hydUD,0
p50,p40089,hydUD,0
p50,p40135,hydUD,0
p51,p40097,hydUD,1
p55,p29213,hydUD,1
p56,p05015,hydUD,1
p56,p05023,hydUD,0
p6,p41019,hydUD,1
p6,p41029,hydUD,0
p63,p48181,hydUD,1
p63,p48217,hydUD,0
p66,p48241,hydUD,1
p66,p48373,hydUD,0
p7,p41001,hydUD,1
p70,p19125,hydUD,1
p72,p29131,hydUD,1
p74,p26071,hydUD,1
p74,p26103,hydUD,0
p75,p55069,hydUD,1
p75,p55073,hydUD,0
p75,p55075,hydUD,0
p75,p55097,hydUD,0
p76,p55001,hydUD,0
p76,p55057,hydUD,0
p76,p55141,hydUD,0
p85,p05005,hydUD,1
p85,p05051,hydUD,0
p85,p05059,hydUD,0
p89,p01077,hydUD,1
p89,p01095,hydUD,0
p89,p01125,hydUD,0
p89,p01127,hydUD,0
p9,p06005,hydUD,0
p9,p06007,hydUD,0
p9,p06009,hydUD,0
p9,p06017,hydUD,0
p9,p06019,hydUD,0
p9,p06039,hydUD,0
p9,p06063,hydUD,0
p9,p06067,hydUD,0
p9,p06089,hydUD,0
p9,p06103,hydUD,0
p9,p06105,hydUD,0
p9,p06109,hydUD,0
p90,p01015,hydUD,0
p90,p01019,hydUD,0
p90,p01051,hydUD,0
p90,p01081,hydUD,0
p90,p01085,hydUD,0
p90,p01111,hydUD,0
p90,p01121,hydUD,0
p92,p47001,hydUD,0
p92,p47009,hydUD,0
p92,p47019,hydUD,0
p92,p47051,hydUD,0
p92,p47057,hydUD,0
p92,p47065,hydUD,0
p92,p47071,hydUD,0
p92,p47105,hydUD,0
p92,p47123,hydUD,0
p92,p47139,hydUD,0
