t,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
default,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1995411300,1932904440,1870397580,1807890720,1745383860,1682877000,1625178360,1567479720,1509781080,1452082440,1394383800,1345099545,1295815290,1246531035,1197246780,1147962525,1098678270,1049394015,1000109760,950825505,901541250,852256995,802972740,753688485,704404230,655119975,605835720,556551465,507267210,457982955,408698700
90_by_2050,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1449363000,1372063640,1285101860,1207802500,1130503140,1043541360,966242000,886043914,804879586,724681500,644483414,563319086,483121000,466694886,451235014,434808900,418382786,402922914,386496800,370070686,354610814,338184700,321758586,306298714,289872600,273446486,257986614,241560500
95_by_2050,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1449363000,1401050900,1352738800,1304426700,1256114600,1207802500,1149827980,1101515880,1053203780,1004891680,957545822,908267480,858989138,809710796,760432454,711154112,661875770,613563670,564285328,515006986,465728644,416450302,367171960,317893618,268615276,219336934,170058592,120780250
2050_linear,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1450000000,1401666667,1353333333,1305000000,1256666667,1208333333,1160000000,1111666667,1063333333,1015000000,966666667,918333333,870000000,821666667,773333333,725000000,676666667,628333333,580000000,531666667,483333333,435000000,386666667,338333333,290000000,241666667,193333333,145000000,96666667,48333333,0
start2023_100pct2035,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1327059692,1216471385,1105883077,995294769,884706462,774118154,663529846,552941538,442353231,331764923,221176615,110588308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
start2023_95pct2035_100pct2050,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1340000000,1235019246,1133704869,1032390492,931076115,829761738,728447362,627132985,525818608,424504231,323189854,221875477,120561100,112523693,104486287,96448880,88411473,80374067,72336660,64299253,56261847,48224440,40187033,32149627,24112220,16074813,8037407,0
start2023_95pct2050,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1390609182,1343570364,1296531546,1249492729,1202453911,1155415093,1108376275,1061337457,1014298639,967259821,920221004,873182186,826143368,779104550,732065732,685026914,637988096,590949279,543910461,496871643,449832825,402794007,355755189,308716371,261677554,214638736,167599918,120561100
start2023_90pct2035_100pct2050,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1207802500,1127282333,1046762167,966242000,885721833,805201667,724681500,644161333,563641167,483121000,402600833,322080667,241560500,225456467,209352433,193248400,177144367,161040333,144936300,128832267,112728233,96624200,80520167,64416133,48312100,32208067,16104033,0
start2023_80pct2035_100pct2050,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1256114600,1191698467,1127282333,1062866200,998450067,934033933,869617800,805201667,740785533,676369400,611953267,547537133,483121000,450912933,418704867,386496800,354288733,322080667,289872600,257664533,225456467,193248400,161040333,128832267,96624200,64416133,32208067,0
start2023_70pct2035_100pct2050,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1304426700,1256114600,1207802500,1159490400,1111178300,1062866200,1014554100,966242000,917929900,869617800,821305700,772993600,724681500,676369400,628057300,579745200,531433100,483121000,434808900,386496800,338184700,289872600,241560500,193248400,144936300,96624200,48312100,0
start2023_60pct2035_100pct2050,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1352738800,1320530733,1288322667,1256114600,1223906533,1191698467,1159490400,1127282333,1095074267,1062866200,1030658133,998450067,966242000,901825867,837409733,772993600,708577467,644161333,579745200,515329067,450912933,386496800,322080667,257664533,193248400,128832267,64416133,0
start2023_50pct2035_100pct2050,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1401050900,1384946867,1368842833,1352738800,1336634767,1320530733,1304426700,1288322667,1272218633,1256114600,1240010567,1223906533,1207802500,1127282333,1046762167,966242000,885721833,805201667,724681500,644161333,563641167,483121000,402600833,322080667,241560500,161040333,80520167,0
2035_exponential,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1400000000,986563326,695219425,489912849,345235750,243283521,171439000,120811021,96000000,72000000,48000000,24000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
