i,r,etype,SO2,NOx,CO2,N2O,CH4
CoalOldUns,p31039,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p53069,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p35011,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p31109,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p31129,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p46099,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p48327,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p06091,process,0.177201123,0.999626455,1.008830478,0.850340136,0.989486704
CoalOldUns,p21053,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p39063,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p48189,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p01027,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p48011,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p39003,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p13189,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p55111,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p05137,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p41063,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p42007,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p28061,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p29083,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p08109,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p37037,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p49033,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p40001,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p39085,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p51775,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p51121,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p47065,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p35035,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p35003,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p01091,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p56023,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p29011,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p48057,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p51735,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p54075,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p48077,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p51095,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
