t,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,4.683875,4.711561,4.274321,4.662091,5.211406,4.137875,3.986710,4.348849,4.172505
2011,1.816976,3.561499,3.232510,3.611184,3.674277,2.927834,3.128780,3.072886,2.283109
2012,0.608251,2.046154,1.835805,2.023828,2.358643,1.657892,1.846135,1.711281,0.855820
2013,2.752755,2.919933,2.717594,2.958827,2.911481,2.513758,2.646791,2.527450,1.493476
2014,3.290931,3.226643,3.473377,3.696555,3.347307,2.970544,3.142849,2.832534,1.899157
2015,1.075644,1.335855,1.425834,1.745417,1.933619,1.389863,1.571988,1.280899,0.350386
2016,0.754709,1.178246,1.317182,1.120631,1.462783,1.059534,1.171322,0.798265,0.154124
2017,1.026074,1.563513,1.772829,1.783923,1.739925,1.557646,1.649825,1.303398,0.634368
2018,1.135924,1.494355,1.570148,1.592755,1.526521,1.430502,1.569901,1.231903,0.575436
2019,1.046551,0.989434,0.871148,0.883068,1.038924,0.898527,0.937050,0.538674,0.198684
2020,0.582678,0.537067,0.455373,0.539248,0.676152,0.555079,0.622535,0.269587,-0.114265
2021,2.557165,2.060217,2.207225,2.345259,2.666629,2.555236,2.531617,2.261829,1.958033
2022,2.984546,2.443258,3.035049,3.401063,3.716462,3.666597,3.614057,3.100001,2.729747
2023,0.616932,0.568648,0.482152,0.570962,0.715908,0.587715,0.659140,0.285439,-0.120976
2024,-0.484707,-0.029711,0.215051,0.187075,0.490094,0.339058,0.400083,-0.191824,-0.544057
2025,0.320668,0.889994,1.169469,1.126793,1.370276,1.322634,1.365049,0.743120,0.468185
2026,0.993648,1.277484,1.435401,1.432441,1.674898,1.591261,1.515472,1.117014,0.752048
2027,0.980905,1.273043,1.502568,1.511037,1.757396,1.668365,1.596232,1.214643,0.838834
2028,1.115336,1.426261,1.681291,1.729195,1.990057,1.917707,1.845684,1.497429,1.103785
2029,1.380942,1.682775,1.977326,2.076482,2.297298,2.224647,2.187165,1.860526,1.387974
2030,1.840662,2.120230,2.498073,2.597319,2.855960,2.814701,2.806373,2.476454,1.950263
2031,2.351311,2.540952,2.922170,3.044480,3.339785,3.231337,3.234114,2.981482,2.424394
2032,2.669670,2.992064,3.379454,3.481538,3.697091,3.625742,3.664041,3.420201,2.877220
2033,3.059481,3.288055,3.661245,3.739282,3.982265,3.901682,3.892631,3.630120,3.098685
2034,3.327007,3.470360,3.835762,3.868858,4.168600,4.056546,4.057258,3.855987,3.313662
2035,3.407640,3.607970,3.940490,3.954335,4.302966,4.191552,4.110478,4.031437,3.491140
2036,3.491305,3.658682,4.100178,4.105921,4.517574,4.374171,4.338926,4.314109,3.745742
2037,3.563082,3.640128,4.073614,4.119122,4.676863,4.422630,4.451877,4.387943,3.863371
2038,3.496389,3.579627,4.013947,4.087316,4.663879,4.282977,4.440391,4.456922,3.936299
2039,3.442832,3.570535,3.965983,3.972211,4.789079,4.428681,4.607058,4.655245,4.161951
2040,3.426911,3.551047,4.031987,4.088288,4.760876,4.429668,4.625246,4.705194,4.199913
2041,3.355756,3.562317,4.022913,4.099254,4.802329,4.621356,4.622140,4.565469,4.239417
2042,3.316872,3.460866,3.963444,4.055829,4.750108,4.518745,4.571450,4.480272,4.109517
2043,3.212400,3.392686,3.895821,4.008246,4.675000,4.415660,4.488237,4.357078,4.036913
2044,3.171646,3.403920,3.905402,4.001124,4.676325,4.547160,4.638910,4.514365,4.149064
2045,3.150600,3.423385,3.930714,4.048498,4.583925,4.517120,4.686094,4.607649,4.239064
2046,3.230419,3.472359,4.060075,4.183568,4.623913,4.547413,4.733054,4.655728,4.276129
2047,3.330979,3.606305,4.195563,4.287413,4.773827,4.762990,4.918477,4.865448,4.463472
2048,3.450908,3.740855,4.353308,4.443471,4.956059,4.887999,5.152434,5.097561,4.618085
2049,3.627606,3.934228,4.524340,4.607130,5.109198,5.046874,5.350720,5.257141,4.741983
2050,3.805277,4.124450,4.696611,4.764436,5.306124,5.230470,5.537398,5.452070,4.890810
