r,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
p01001,0.016,0.633,0.001,0.0,0.0,0.0,0.256,0.025,0.07
p01003,0.003,0.428,0.0,0.0,0.0,0.0,0.369,0.006,0.194
p01005,0.006,0.507,0.001,0.0,0.0,0.0,0.436,0.009,0.042
p01007,0.025,0.65,0.001,0.0,0.0,0.0,0.211,0.04,0.072
p01009,0.04,0.561,0.002,0.0,0.0,0.0,0.286,0.051,0.061
p01011,0.008,0.554,0.001,0.0,0.0,0.0,0.377,0.012,0.048
p01013,0.008,0.569,0.0,0.0,0.0,0.0,0.317,0.013,0.092
p01015,0.026,0.514,0.002,0.0,0.0,0.0,0.393,0.03,0.035
p01017,0.012,0.5,0.001,0.0,0.0,0.0,0.445,0.016,0.025
p01019,0.029,0.474,0.003,0.0,0.0,0.0,0.431,0.03,0.032
p01021,0.02,0.63,0.001,0.0,0.0,0.0,0.255,0.031,0.063
p01023,0.011,0.562,0.0,0.0,0.0,0.0,0.232,0.023,0.172
p01025,0.008,0.524,0.0,0.0,0.0,0.0,0.304,0.015,0.148
p01027,0.019,0.541,0.002,0.0,0.0,0.0,0.382,0.025,0.031
p01029,0.021,0.487,0.002,0.0,0.0,0.0,0.439,0.024,0.027
p01031,0.005,0.529,0.0,0.0,0.0,0.0,0.386,0.008,0.071
p01033,0.079,0.522,0.002,0.0,0.0,0.0,0.144,0.118,0.135
p01035,0.006,0.508,0.0,0.0,0.0,0.0,0.364,0.01,0.112
p01037,0.018,0.59,0.001,0.0,0.0,0.0,0.319,0.026,0.045
p01039,0.005,0.493,0.0,0.0,0.0,0.0,0.405,0.008,0.09
p01041,0.007,0.575,0.0,0.0,0.0,0.0,0.325,0.012,0.079
p01043,0.048,0.565,0.002,0.0,0.0,0.0,0.247,0.063,0.075
p01045,0.005,0.538,0.0,0.0,0.0,0.0,0.391,0.007,0.058
p01047,0.015,0.636,0.001,0.0,0.0,0.0,0.228,0.025,0.096
p01049,0.038,0.479,0.003,0.0,0.0,0.0,0.402,0.038,0.04
p01051,0.014,0.593,0.001,0.0,0.0,0.0,0.323,0.02,0.049
p01053,0.004,0.453,0.0,0.0,0.0,0.0,0.41,0.008,0.125
p01055,0.033,0.52,0.002,0.0,0.0,0.0,0.363,0.038,0.043
p01057,0.044,0.616,0.001,0.0,0.0,0.0,0.154,0.075,0.11
p01059,0.068,0.545,0.002,0.0,0.0,0.0,0.142,0.108,0.135
p01061,0.004,0.48,0.0,0.0,0.0,0.0,0.444,0.006,0.066
p01063,0.025,0.662,0.001,0.0,0.0,0.0,0.155,0.046,0.111
p01065,0.022,0.663,0.001,0.0,0.0,0.0,0.169,0.04,0.103
p01067,0.004,0.499,0.0,0.0,0.0,0.0,0.447,0.006,0.043
