year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,3.224292076,3.717842219,3.849379854,2.543552647,4.950540956,2.622243961,4.819639449,2.043890473,2.512131765
2011,3.520752563,3.746905482,3.857193863,2.628506642,5.101817621,2.732026717,5.004607445,2.224951364,2.655063278
2012,3.418743971,3.572899341,3.874587949,2.795095886,5.989059335,2.702752254,4.927106122,2.325482539,2.869433747
2013,3.291880056,3.411375048,3.49363587,2.588001986,5.519319262,2.836593796,4.605631422,2.383151832,2.933761427
2014,3.210207857,3.495949837,3.712248585,2.624967002,3.876209338,2.997612787,4.075957715,2.596661902,3.083856492
2015,3.017565672,3.238050623,3.592916303,2.481480365,3.80780875,2.849711568,3.737856935,2.503988254,2.972403991
2016,2.801140978,2.986922899,3.322892321,2.443742795,3.513000639,2.598507096,3.59539616,2.284447583,2.865516413
2017,2.666621829,2.830636109,2.828759188,2.3456106,3.416412371,2.590635945,3.444279409,2.114408664,2.569340694
2018,2.664933112,2.833474536,2.915717252,2.356843962,3.661992089,2.708010128,3.374094572,2.192220258,2.656043979
2019,2.48491897,2.451514174,3.382047988,2.376397712,3.421041841,2.540641003,3.096757112,2.287477139,2.40223515
2020,2.432139633,2.273486583,2.832800216,2.36748694,3.31514474,2.253485067,3.152060058,1.841053371,2.125024799
2021,2.395739035,2.251026867,2.690270874,2.413618261,3.309033174,2.271611182,3.087368195,1.875807651,2.14813497
2022,2.342179348,2.207679942,2.295619621,2.365141588,3.850966118,2.496613139,2.846127615,1.931176886,2.276826038
2023,2.290773953,2.1538105,2.268199673,2.255401353,3.804968391,2.435919759,2.68961334,1.873354197,2.205481862
2024,2.741501754,2.40260472,2.257185636,2.097526698,3.720559176,2.183603994,3.720559176,2.076230016,2.219228766
2025,2.696674,2.478701,2.608568,2.471174,2.608568,2.552525,3.730905,1.797321,2.073799
2026,2.664435,2.407584,2.586529,2.348744,2.586529,2.614501,3.63111,1.802897,2.066433
2027,2.589188,2.342201,2.591892,2.413531,2.591892,2.639512,3.349658,1.87295,2.204021
2028,2.600635,2.343247,2.558006,2.315373,2.558006,2.653075,3.229552,1.895456,2.254482
2029,2.592192,2.343984,2.5345,2.305234,2.5345,2.661994,3.219424,1.891759,2.256867
2030,2.58273,2.339671,2.528745,2.351599,2.528745,2.648286,3.230093,1.888688,2.240847
2031,2.563478,2.319687,2.509408,1.983413,2.509408,2.626866,3.249327,1.869732,2.1265
2032,2.565951,2.315695,2.517221,1.97391,2.517221,2.624111,3.206125,1.865713,2.153457
2033,2.550725,2.31492,2.488566,1.985037,2.488566,2.625256,3.139448,1.868353,2.140137
2034,2.546102,2.307602,2.432665,1.993185,2.432665,2.623763,3.122672,1.86952,2.118297
2035,2.545326,2.300222,2.414622,1.983858,2.414622,2.623056,3.110127,1.853602,2.105928
2036,2.549724,2.298846,2.402569,1.984207,2.402569,2.632611,3.102695,1.859341,2.116696
2037,2.566749,2.301688,2.537275,2.001463,2.537275,2.648494,3.10704,1.877252,2.296756
2038,2.580917,2.303939,2.53267,2.003024,2.53267,2.666843,3.116571,1.89193,2.309759
2039,2.596149,2.30511,2.520226,2.010546,2.520226,2.686291,3.121426,1.906917,2.343749
2040,2.610074,2.304987,2.59136,2.033732,2.59136,2.701919,3.094911,1.920162,2.358888
2041,2.624459,2.325017,2.577563,2.050715,2.577563,2.719554,3.109776,1.933933,2.366216
2042,2.638127,2.337488,2.573824,2.069321,2.573824,2.735152,3.118578,1.947265,2.367849
2043,2.651603,2.348259,2.574839,2.082585,2.574839,2.749991,3.119632,1.960137,2.359388
2044,2.662392,2.339498,2.543496,2.093113,2.543496,2.76328,3.10563,1.970987,2.3502
2045,2.671464,2.333806,2.398671,2.104572,2.398671,2.776207,3.080047,1.981464,2.358245
2046,2.685396,2.338267,2.364229,2.10537,2.364229,2.791546,3.083927,1.995102,2.361401
2047,2.700309,2.350808,2.352297,2.118672,2.352297,2.808261,3.093796,2.008181,2.34796
2048,2.713355,2.359891,2.342263,2.130679,2.342263,2.82296,3.106794,2.020095,2.356044
2049,2.728504,2.386774,2.261732,2.145234,2.261732,2.841563,3.120025,2.034285,2.368422
2050,2.730916,2.404197,2.270392,2.152194,2.270392,2.857189,3.147612,2.048594,2.372569
