year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,3.224292076,3.717842219,3.849379854,2.543552647,4.950540956,2.622243961,4.819639449,2.043890473,2.512131765
2011,3.520752563,3.746905482,3.857193863,2.628506642,5.101817621,2.732026717,5.004607445,2.224951364,2.655063278
2012,3.418743971,3.572899341,3.874587949,2.795095886,5.989059335,2.702752254,4.927106122,2.325482539,2.869433747
2013,3.291880056,3.411375048,3.49363587,2.588001986,5.519319262,2.836593796,4.605631422,2.383151832,2.933761427
2014,3.210207857,3.495949837,3.712248585,2.624967002,3.876209338,2.997612787,4.075957715,2.596661902,3.083856492
2015,3.017565672,3.238050623,3.592916303,2.481480365,3.80780875,2.849711568,3.737856935,2.503988254,2.972403991
2016,2.801140978,2.986922899,3.322892321,2.443742795,3.513000639,2.598507096,3.59539616,2.284447583,2.865516413
2017,2.666621829,2.830636109,2.828759188,2.3456106,3.416412371,2.590635945,3.444279409,2.114408664,2.569340694
2018,2.664933112,2.833474536,2.915717252,2.356843962,3.661992089,2.708010128,3.374094572,2.192220258,2.656043979
2019,2.48491897,2.451514174,3.382047988,2.376397712,3.421041841,2.540641003,3.096757112,2.287477139,2.40223515
2020,2.432139633,2.273486583,2.832800216,2.36748694,3.31514474,2.253485067,3.152060058,1.841053371,2.125024799
2021,2.395739035,2.251026867,2.690270874,2.413618261,3.309033174,2.271611182,3.087368195,1.875807651,2.14813497
2022,2.342179348,2.207679942,2.295619621,2.365141588,3.850966118,2.496613139,2.846127615,1.931176886,2.276826038
2023,2.290773953,2.1538105,2.268199673,2.255401353,3.804968391,2.435919759,2.68961334,1.873354197,2.205481862
2024,2.741501754,2.40260472,2.257185636,2.097526698,3.720559176,2.183603994,3.720559176,2.076230016,2.219228766
2025,2.697991,2.478127,2.610825,2.459127,2.610825,2.547656,3.728853,1.797461,2.074193
2026,2.678993,2.411469,2.609556,2.32962,2.609556,2.61463,3.648981,1.803064,2.073156
2027,2.588603,2.349643,2.577045,2.393302,2.577045,2.638686,3.350258,1.872733,2.19397
2028,2.600813,2.340981,2.55784,2.303188,2.55784,2.651147,3.241633,1.903674,2.247226
2029,2.590306,2.345229,2.52293,2.296779,2.52293,2.660305,3.237127,1.898496,2.228578
2030,2.58059,2.333144,2.518117,2.439893,2.518117,2.64647,3.173115,1.882441,2.237984
2031,2.561357,2.318848,2.417819,1.968821,2.417819,2.623801,3.210659,1.861227,2.197295
2032,2.589286,2.358742,2.065758,2.877009,2.065758,2.629092,3.019993,1.857804,2.410654
2033,2.589104,2.357557,2.059539,2.86228,2.059539,2.633603,3.016599,1.867814,2.416533
2034,2.580561,2.353566,2.046952,2.852402,2.046952,2.633142,2.98306,1.87117,2.416349
2035,2.567396,2.346812,2.032553,2.839798,2.032553,2.627857,2.967977,1.870677,2.412443
2036,2.561525,2.345188,2.02427,2.848332,2.02427,2.638476,2.937563,1.87957,2.422616
2037,2.578872,2.342707,2.780539,2.865445,2.780539,2.654427,2.939031,1.891564,2.43772
2038,2.579348,2.346733,2.792268,2.840283,2.792268,2.647292,2.948851,1.906695,2.456602
2039,2.570332,2.443903,2.100127,2.840283,2.100127,2.627124,2.847225,1.926676,2.482872
2040,2.560712,2.433394,2.095068,2.840283,2.095068,2.612675,2.837137,1.940794,2.496761
2041,2.55301,2.430461,2.078361,2.840283,2.078361,2.620838,2.82242,1.94982,2.506227
2042,2.54104,2.297371,2.07276,2.840283,2.07276,2.601753,2.81536,1.958098,2.511419
2043,2.539342,2.29952,2.06317,2.840283,2.06317,2.619181,2.806508,1.968459,2.522819
2044,2.485923,2.256552,1.027306,2.840283,1.027306,2.548782,2.550491,1.977339,2.533907
2045,2.467135,2.251078,1.026189,2.840283,1.026189,2.524989,2.106682,1.98793,1.905336
2046,2.416172,2.025176,1.01394,2.840283,1.01394,2.51396,2.106682,1.99214,1.905336
2047,2.416172,2.025176,1.01394,2.840283,1.01394,2.504147,2.106682,2.000725,1.905336
2048,2.416172,2.025176,1.01394,2.840283,1.01394,2.505794,2.106682,2.010402,1.905336
2049,2.416172,2.025176,1.01394,2.840283,1.01394,2.536341,2.106682,2.023221,1.905336
2050,2.416172,2.025176,1.01394,2.840283,1.01394,2.546657,2.106682,2.036995,1.905336
