param,California,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Northwest,South_Atlantic,Southwest,West_North_Central,West_South_Central
beta_CDD,0.03,0.009,0.01,0.035,0.029,0.05,0.031,0.019,0.02,0.01,0.011
beta_HDD,0.016,0.011,0.011,0.029,0.012,0.036,0.02,0.022,0.015,0.015,0.014
alpha,-0.321,-0.208,-0.092,-0.448,-0.383,-0.844,-0.554,-0.227,-0.436,-0.273,-0.18
alpha_JAN,0.122,-0.214,-0.072,-0.201,0.046,-0.01,0.054,-0.05,0.227,-0.351,-0.066
alpha_FEB,0.094,-0.156,-0.047,-0.354,0.049,-0.122,0.029,-0.06,0.22,-0.277,-0.028
alpha_MAR,-0.03,-0.193,-0.075,-0.481,-0.085,-0.308,-0.089,-0.114,0.037,-0.267,-0.072
alpha_APR,-0.015,-0.113,-0.002,-0.224,-0.059,-0.159,-0.08,-0.026,0.045,-0.159,-0.022
alpha_MAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpha_JUN,-0.044,0.046,-0.077,0.029,0.015,0.143,0.099,-0.064,-0.08,0.045,-0.056
alpha_JUL,-0.045,0.059,-0.113,-0.088,-0.001,0.04,0.222,-0.083,-0.002,0.069,-0.056
alpha_AUG,0.05,0.117,-0.12,-0.066,0.104,0.08,0.318,-0.077,0.111,0.133,-0.006
alpha_SEP,0.079,0.118,-0.134,-0.076,0.153,0.144,0.296,-0.062,0.121,0.12,0.051
alpha_OCT,0.182,0.01,-0.205,-0.271,0.093,-0.032,0.208,-0.086,0.203,-0.018,0.071
alpha_NOV,0.19,-0.083,-0.078,-0.319,0.095,-0.147,0.213,-0.043,0.262,-0.156,0.045
alpha_DEC,0.247,-0.197,-0.098,-0.367,0.105,-0.102,0.16,-0.066,0.315,-0.31,-0.056
