t,ddtype,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,California,Mountain,Northwest,Southwest
2010,CDD,634,913,963,1095,2271,1974,2754,568,294,105,1075
2010,HDD,5935,5539,6188,6570,3163,3954,2450,1303,3624,2324,1436
2011,CDD,553,840,858,1074,2260,1725,3112,622,310,111,1151
2011,HDD,6113,5471,6173,6570,2564,3347,2113,1314,3797,2508,1507
2012,CDD,563,819,974,1221,2163,1760,2913,780,387,136,1193
2012,HDD,5563,4960,5356,5520,2305,2880,1648,1117,3288,2300,1272
2013,CDD,540,685,689,892,2001,1438,2535,714,346,174,1123
2013,HDD,6425,5827,6623,7140,2736,3651,2325,1094,3772,2272,1491
2014,CDD,420,600,609,812,2000,1491,2474,850,314,217,1123
2014,HDD,6676,6190,7196,7309,2961,3935,2421,811,3504,1965,1234
2015,CDD,556,809,729,941,2397,1717,2742,831,341,236,1142
2015,HDD,6520,5762,6165,6093,2496,3224,2085,959,3285,1942,1311
2016,CDD,625,891,958,1072,2404,1956,2882,782,334,146,1166
2016,HDD,5928,5338,5701,5792,2464,3095,1750,991,3388,2043,1231
2017,CDD,451,665,708,910,2247,1585,2718,846,346,209,1202
2017,HDD,6037,5318,5684,6004,2239,2837,1580,965,3443,2224,1130
2018,CDD,668,890,972,1134,2411,1928,2855,815,372,188,1200
2018,HDD,6323,5769,6434,6975,2638,3479,2252,1033,3516,2138,1293
2019,CDD,536,787,832,951,2503,1886,2759,694,305,150,1091
2019,HDD,6538,5736,6427,7082,2392,3181,2143,1218,3831,2328,1478
2020,CDD,645,848,831,964,2335,1636,2735,913,378,157,1303
2020,HDD,5822,5198,5855,6326,2263,3064,1812,1053,3465,2165,1318
2021,CDD,604,837,911,1093,2226,1611,2644,817,408,222,1174
2021,HDD,5799,5261,5747,6061,2366,3166,1911,1111,3418,2226,1275
2022,CDD,647,838,816,1050,2302,1728,2992,853,394,234,1191
2022,HDD,6019,5635,6344,6905,2523,3438,2200,1085,3663,2279,1461
2023,CDD,518,683,713,1042,2258,1669,3117,616,308,214,1173
2023,HDD,5564,4954,5417,5929,2150,2826,1725,1329,3674,2277,1439
2024,CDD,620,867,899,1046,2399,1859,3073,861,405,200,1300
2024,HDD,5643,4981,5306,5716,2271,3024,1844,1130,3343,2180,1331
2025,CDD,609,845,851,1046,2400,1773,2901,665,346,221,1168
2025,HDD,5924,5319,5952,6383,2344,3161,1949,1074,3489,2176,1244
2026,CDD,615,853,856,1051,2415,1781,2915,780,367,259,1240
2026,HDD,5901,5298,5937,6376,2329,3148,1942,1087,3562,2203,1270
2027,CDD,621,860,861,1056,2430,1788,2928,787,369,261,1247
2027,HDD,5879,5277,5923,6369,2313,3136,1935,1085,3556,2199,1268
2028,CDD,627,868,866,1061,2445,1796,2942,794,371,263,1255
2028,HDD,5856,5256,5908,6362,2298,3123,1928,1083,3549,2195,1266
2029,CDD,633,876,871,1066,2460,1803,2955,800,373,266,1262
2029,HDD,5833,5235,5894,6355,2283,3111,1921,1081,3542,2190,1264
2030,CDD,640,884,876,1071,2476,1811,2969,807,375,268,1269
2030,HDD,5810,5214,5879,6348,2267,3098,1914,1079,3536,2186,1262
2031,CDD,646,892,881,1076,2491,1818,2982,814,378,270,1276
2031,HDD,5787,5193,5864,6341,2251,3086,1907,1076,3530,2182,1259
2032,CDD,652,900,886,1081,2507,1826,2996,821,380,272,1283
2032,HDD,5764,5172,5850,6334,2235,3073,1900,1074,3524,2177,1257
2033,CDD,659,908,890,1086,2522,1834,3010,827,382,275,1290
2033,HDD,5741,5151,5835,6327,2220,3060,1893,1072,3518,2172,1255
2034,CDD,665,915,895,1092,2538,1841,3023,834,384,277,1297
2034,HDD,5718,5130,5820,6319,2204,3048,1886,1069,3512,2168,1253
2035,CDD,671,923,900,1097,2553,1849,3037,841,386,279,1304
2035,HDD,5695,5109,5806,6312,2188,3035,1879,1067,3506,2163,1251
2036,CDD,678,931,905,1102,2569,1857,3050,848,388,282,1312
2036,HDD,5672,5088,5791,6304,2173,3022,1872,1065,3500,2158,1249
2037,CDD,684,939,910,1107,2585,1864,3064,855,390,284,1319
2037,HDD,5649,5068,5776,6297,2157,3009,1865,1062,3494,2153,1247
2038,CDD,690,947,915,1112,2600,1872,3077,862,392,286,1326
2038,HDD,5626,5047,5762,6289,2141,2996,1858,1060,3489,2148,1244
2039,CDD,697,955,920,1117,2616,1879,3091,869,394,288,1333
2039,HDD,5603,5026,5747,6282,2125,2984,1852,1057,3483,2144,1242
2040,CDD,703,963,925,1122,2632,1887,3104,876,396,290,1340
2040,HDD,5579,5005,5732,6274,2110,2971,1845,1055,3477,2139,1240
2041,CDD,710,971,930,1128,2648,1895,3118,883,399,293,1346
2041,HDD,5556,4984,5717,6267,2094,2958,1838,1052,3471,2134,1238
2042,CDD,716,978,935,1133,2663,1902,3131,890,401,295,1353
2042,HDD,5533,4963,5703,6259,2079,2945,1831,1050,3465,2129,1236
2043,CDD,722,986,940,1138,2679,1910,3145,897,403,297,1360
2043,HDD,5510,4943,5688,6252,2063,2933,1825,1048,3459,2124,1234
2044,CDD,729,994,945,1143,2695,1918,3158,903,405,300,1367
2044,HDD,5487,4922,5673,6244,2047,2920,1818,1045,3454,2119,1232
2045,CDD,735,1002,950,1148,2711,1925,3172,910,407,302,1374
2045,HDD,5464,4901,5658,6236,2032,2907,1811,1043,3448,2114,1230
2046,CDD,741,1010,955,1153,2727,1933,3185,918,409,304,1381
2046,HDD,5440,4880,5644,6229,2016,2894,1805,1041,3442,2109,1228
2047,CDD,748,1018,960,1159,2742,1940,3199,924,411,307,1388
2047,HDD,5417,4859,5629,6221,2001,2881,1798,1038,3437,2104,1226
2048,CDD,754,1026,965,1164,2758,1948,3212,931,413,309,1395
2048,HDD,5394,4838,5614,6213,1985,2869,1791,1036,3431,2099,1224
2049,CDD,760,1033,970,1169,2774,1956,3226,938,415,311,1402
2049,HDD,5371,4818,5599,6206,1970,2856,1785,1033,3425,2095,1222
2050,CDD,767,1041,975,1174,2790,1963,3239,945,417,313,1409
2050,HDD,5348,4797,5585,6198,1955,2843,1778,1031,3420,2090,1220
