year,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,7.770430,7.816360,7.090990,7.734290,8.645590,6.864630,6.613850,7.214630,6.922080
2011,6.976610,7.181610,6.415240,7.187830,7.612680,6.035800,6.021930,6.759040,6.523090
2012,5.125690,4.920950,4.318400,4.836970,5.744140,4.171340,4.086240,4.812690,4.981960
2013,8.068120,6.221770,5.644570,6.217400,6.488060,5.425660,5.311730,6.026710,5.966590
2014,8.769200,6.749790,6.901570,7.398620,7.217680,6.196130,6.141910,6.533250,6.652870
2015,5.664140,3.850320,3.728470,4.428220,5.209640,3.831860,3.709610,4.283490,4.318230
2016,5.148300,3.661070,3.604330,3.500410,4.514280,3.348940,3.097470,3.544380,3.667090
2017,5.355280,4.159690,4.251330,4.469500,4.872570,4.060240,3.814340,4.195250,4.189160
2018,5.881250,4.228360,4.083060,4.334410,4.693190,4.025980,3.784560,4.311700,4.317320
2019,5.476460,3.569320,3.074150,3.352610,4.098980,3.292140,2.850900,3.555690,3.748840
2020,4.894560,2.922260,2.433600,2.854160,3.535610,2.771320,2.372950,3.117010,3.305040
2021,7.947850,5.323930,5.212050,5.658210,6.632820,5.940870,5.441230,6.295940,6.712710
2022,8.928910,6.175170,6.736810,7.627990,8.543690,7.910930,7.360520,7.816440,8.040400
2023,5.182360,3.094090,2.576700,3.021990,3.743500,2.934270,2.512480,3.300290,3.499380
2024,3.914745,2.269530,2.285080,2.605072,3.581676,2.645327,2.199480,2.841191,3.178771
2025,3.945919,2.724665,2.837277,3.162053,3.846201,3.142428,2.702884,3.296411,3.449765
2026,3.819109,2.780215,2.763278,3.076137,3.765639,3.055122,2.602545,3.156343,3.232441
2027,3.435360,2.636923,2.703812,3.054238,3.837702,2.988694,2.549224,3.122164,3.154894
2028,3.240752,2.576812,2.762565,3.195382,3.785440,3.127218,2.701754,3.269873,3.344125
2029,3.229812,2.643674,2.918250,3.398271,4.085795,3.306478,2.910596,3.513918,3.634970
2030,3.129285,2.773706,3.049576,3.646155,4.087484,3.512392,3.163967,3.861304,4.019860
2031,3.326129,2.866469,3.170081,3.762861,4.101537,3.613755,3.303848,4.079747,4.274564
2032,3.779099,3.222987,3.635774,4.423059,4.559186,4.085257,3.843493,4.733683,4.891140
2033,4.071227,3.483385,3.881344,4.704285,4.842482,4.388517,4.214373,5.040173,5.191451
2034,4.168971,3.598001,3.987692,4.772688,4.962396,4.544195,4.409548,5.230925,5.384827
2035,4.199443,3.631619,4.045470,4.784186,5.016607,4.609845,4.425838,5.303466,5.412060
2036,4.265835,3.610814,4.036805,4.780307,5.044314,4.556694,4.374448,5.251937,5.282920
2037,4.120316,3.518157,3.899876,4.672058,4.979167,4.464017,4.317363,5.176685,5.104523
2038,3.993610,3.376865,3.733063,4.566430,4.909653,4.376263,4.273121,5.154803,5.010477
2039,3.816716,3.256926,3.681409,4.408439,4.850672,4.286094,4.233821,5.160571,4.923649
2040,3.872509,3.215503,3.662889,4.491251,4.854046,4.299133,4.305593,5.306404,5.055543
2041,3.966687,3.252421,3.723782,4.649086,4.880734,4.361627,4.432408,5.505489,5.287903
2042,4.091134,3.298153,3.773970,4.751801,4.925858,4.390012,4.548378,5.683669,5.408764
2043,4.169929,3.344024,3.805754,4.807343,5.008918,4.522407,4.704851,5.836872,5.563621
2044,4.087124,3.347215,3.800041,4.817755,5.012309,4.578125,4.813431,5.905303,5.645613
2045,3.891919,3.329523,3.798050,4.839172,4.970164,4.596054,4.858135,5.945200,5.636967
2046,3.902629,3.393556,3.810532,4.945189,4.994895,4.665256,4.923351,6.013248,5.758965
2047,3.945969,3.383668,3.770669,4.909540,4.917217,4.652761,5.001916,6.069484,5.808951
2048,3.787596,3.349662,3.740844,4.859097,4.802450,4.571362,5.000763,6.010077,5.813332
2049,3.870886,3.274235,3.685088,4.774216,4.690213,4.388964,4.946911,5.912456,5.796697
2050,3.788044,3.161351,3.642668,4.791852,4.578797,4.235358,4.904408,5.972120,5.745820
