year,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,0.420000,0.890000,0.326000,0.124000,1.544000,0.567000,2.049000,0.641000,0.989000
2011,0.456000,0.965000,0.395000,0.117000,1.671000,0.639000,2.188000,0.567000,0.766000
2012,0.448000,1.154000,0.656000,0.171000,2.043000,0.797000,2.337000,0.663000,1.045000
2013,0.372000,1.066000,0.475000,0.140000,1.883000,0.629000,2.075000,0.651000,1.069000
2014,0.341750,1.131480,0.482860,0.108070,1.896250,0.671910,2.025670,0.648910,1.073730
2015,0.397610,1.236450,0.713310,0.147160,2.330100,0.875420,2.434110,0.750920,1.084430
2016,0.393180,1.344500,0.912140,0.191920,2.469830,0.961900,2.351840,0.765760,0.917910
2017,0.371410,1.196160,0.810260,0.172190,2.475890,0.910900,2.063170,0.690330,0.840900
2018,0.400410,1.300060,1.002570,0.189610,2.535530,0.994600,2.661310,0.760260,0.871740
2019,0.338650,1.451550,1.185720,0.228310,2.790260,1.029820,2.928260,0.988210,0.834000
2020,0.360850,1.684220,1.262780,0.247310,2.768040,1.047200,2.940390,0.954760,0.847680
2021,0.344590,1.654780,1.082250,0.195060,2.468730,0.913910,2.732240,0.947250,0.887030
2022,0.366770,1.998290,1.477690,0.257510,2.605340,0.900480,2.797010,0.947740,0.850180
2023,0.382070,1.783250,1.337030,0.261850,2.930800,1.108780,3.113280,1.010900,0.897520
2024,0.446506,1.951789,1.807217,0.328414,2.772431,1.120767,3.282638,1.198553,1.018170
2025,0.400232,1.590906,1.721987,0.316580,2.802444,1.101454,3.123186,1.094271,0.854088
2026,0.311662,1.697816,2.042994,0.339554,2.951403,1.240576,3.375084,1.131739,0.761514
2027,0.268560,1.701938,2.206338,0.389654,3.033981,1.345413,3.394222,1.092678,0.750901
2028,0.244934,1.644293,2.334784,0.376410,3.015770,1.306726,3.293242,1.079716,0.780610
2029,0.241361,1.630497,2.512054,0.398223,2.969723,1.324362,3.188257,1.073624,0.828471
2030,0.196057,1.778863,2.602928,0.427727,2.868471,1.249770,3.244220,1.176084,0.901304
2031,0.174589,1.787377,2.751464,0.491814,2.697150,1.181122,3.251625,1.214582,0.966842
2032,0.193283,1.845946,3.253971,0.599109,2.864202,1.202948,3.415374,1.326644,1.003485
2033,0.185470,1.848220,3.239930,0.497179,2.768513,1.226310,3.408022,1.274809,1.094409
2034,0.187396,1.843454,3.205562,0.490385,2.743542,1.228781,3.366460,1.246807,1.119302
2035,0.192078,1.710656,3.212188,0.484944,2.655394,1.185304,3.317858,1.197920,1.137609
2036,0.199700,1.642419,3.132051,0.420684,2.550056,1.137773,2.939176,1.329532,1.008565
2037,0.206521,1.644400,3.140409,0.416561,2.471244,1.144755,2.535467,1.326660,1.047966
2038,0.197384,1.590891,2.716094,0.376668,2.439109,1.158549,2.472733,1.171483,1.034278
2039,0.185696,1.437783,2.581804,0.354041,2.377795,1.105213,2.369297,1.016782,1.041979
2040,0.191300,1.440836,2.550396,0.359027,2.495180,1.084304,2.332093,1.072407,1.048653
2041,0.196422,1.471445,2.603838,0.366828,2.572892,1.106517,2.428086,1.044572,1.087787
2042,0.208031,1.400841,2.774909,0.382864,2.560002,1.088461,2.434259,1.070091,1.072913
2043,0.215927,1.453301,2.887747,0.405494,2.604740,1.150788,2.535568,1.107367,1.047360
2044,0.195102,1.539554,2.989638,0.410800,2.585567,1.153446,2.570477,1.171576,1.045559
2045,0.159384,1.580606,3.061960,0.439917,2.561460,1.184258,2.601221,1.259128,1.036926
2046,0.161159,1.648451,3.099662,0.463651,2.573675,1.255747,2.629858,1.248391,1.048170
2047,0.167061,1.739527,2.979110,0.466230,2.549114,1.305926,2.650514,1.285874,1.030689
2048,0.168816,1.745558,2.855375,0.474269,2.529676,1.313169,2.607504,1.325776,1.004289
2049,0.167950,1.680766,2.984837,0.425213,2.625262,1.298944,2.676126,1.364214,1.004726
2050,0.156610,1.685399,2.927017,0.381755,2.632061,1.317363,2.658570,1.455590,0.990377
