year,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,0.420000,0.890000,0.326000,0.124000,1.544000,0.567000,2.049000,0.641000,0.989000
2011,0.456000,0.965000,0.395000,0.117000,1.671000,0.639000,2.188000,0.567000,0.766000
2012,0.448000,1.154000,0.656000,0.171000,2.043000,0.797000,2.337000,0.663000,1.045000
2013,0.372000,1.066000,0.475000,0.140000,1.883000,0.629000,2.075000,0.651000,1.069000
2014,0.341750,1.131480,0.482860,0.108070,1.896250,0.671910,2.025670,0.648910,1.073730
2015,0.397610,1.236450,0.713310,0.147160,2.330100,0.875420,2.434110,0.750920,1.084430
2016,0.393180,1.344500,0.912140,0.191920,2.469830,0.961900,2.351840,0.765760,0.917910
2017,0.371410,1.196160,0.810260,0.172190,2.475890,0.910900,2.063170,0.690330,0.840900
2018,0.400410,1.300060,1.002570,0.189610,2.535530,0.994600,2.661310,0.760260,0.871740
2019,0.338650,1.451550,1.185720,0.228310,2.790260,1.029820,2.928260,0.988210,0.834000
2020,0.360850,1.684220,1.262780,0.247310,2.768040,1.047200,2.940390,0.954760,0.847680
2021,0.344590,1.654780,1.082250,0.195060,2.468730,0.913910,2.732240,0.947250,0.887030
2022,0.366770,1.998290,1.477690,0.257510,2.605340,0.900480,2.797010,0.947740,0.850180
2023,0.382070,1.783250,1.337030,0.261850,2.930800,1.108780,3.113280,1.010900,0.897520
2024,0.452001,1.954733,1.804559,0.330010,2.774692,1.121850,3.271640,1.202133,1.018694
2025,0.400253,1.720835,1.748320,0.311531,2.728033,1.053865,3.139995,1.072385,0.786553
2026,0.251434,1.490830,1.402841,0.199013,2.304525,0.872166,2.062922,0.829442,0.687765
2027,0.211858,1.467800,1.498055,0.238384,2.249545,0.930938,2.132700,0.809352,0.664922
2028,0.194398,1.385326,1.509668,0.246067,2.034196,0.907154,1.991213,0.783828,0.704409
2029,0.192247,1.412108,1.496857,0.275980,1.846410,0.871673,1.856138,0.776658,0.741716
2030,0.174559,1.373499,1.534067,0.437111,1.719123,0.808875,1.857033,0.770984,0.772348
2031,0.157962,1.197684,1.384653,0.358888,1.451879,0.668381,1.640671,0.692458,0.789767
2032,0.176228,1.132102,1.565061,0.451031,1.585336,0.734924,1.789956,0.847123,0.815216
2033,0.166235,1.060135,1.333007,0.368381,1.433254,0.691406,1.579497,0.820230,0.797631
2034,0.161400,0.929961,1.233128,0.308266,1.357102,0.634744,1.513954,0.759908,0.756096
2035,0.165505,0.893260,1.111427,0.275428,1.358099,0.637080,1.327169,0.722170,0.688957
2036,0.162913,0.788534,1.031229,0.261540,1.244350,0.549481,1.226203,0.653720,0.632692
2037,0.137538,0.586714,0.854965,0.271243,1.119637,0.482770,1.115833,0.626503,0.554879
2038,0.132298,0.522783,0.732474,0.254090,1.064564,0.435245,1.057815,0.527240,0.494092
2039,0.134267,0.549630,0.758101,0.266654,0.993744,0.374653,1.017851,0.545790,0.454257
2040,0.136717,0.527879,0.698537,0.271079,0.974679,0.296413,1.049425,0.509211,0.467174
2041,0.137923,0.488661,0.664124,0.224717,0.975145,0.238602,0.994796,0.438115,0.449188
2042,0.135460,0.463385,0.615075,0.206150,0.974492,0.237566,0.978935,0.395162,0.437638
2043,0.138723,0.473387,0.606697,0.213672,0.925296,0.257154,0.991719,0.383094,0.435116
2044,0.103130,0.474389,0.587082,0.236184,0.871767,0.247615,1.000719,0.395633,0.442636
2045,0.087387,0.444759,0.607441,0.234486,0.779892,0.218179,1.004305,0.407519,0.440998
2046,0.092547,0.450912,0.663438,0.237393,0.730188,0.209494,0.993623,0.364727,0.441239
2047,0.092992,0.450285,0.687064,0.263399,0.693493,0.198955,1.047300,0.383422,0.446543
2048,0.093810,0.473709,0.734405,0.265423,0.714790,0.201429,1.086109,0.416587,0.465141
2049,0.095297,0.480987,0.789578,0.270487,0.700422,0.213645,1.095479,0.453987,0.473856
2050,0.096417,0.472205,0.816287,0.278686,0.698386,0.217900,1.125022,0.486470,0.488408
