year,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,0.420000,0.890000,0.326000,0.124000,1.544000,0.567000,2.049000,0.641000,0.989000
2011,0.456000,0.965000,0.395000,0.117000,1.671000,0.639000,2.188000,0.567000,0.766000
2012,0.448000,1.154000,0.656000,0.171000,2.043000,0.797000,2.337000,0.663000,1.045000
2013,0.372000,1.066000,0.475000,0.140000,1.883000,0.629000,2.075000,0.651000,1.069000
2014,0.341750,1.131480,0.482860,0.108070,1.896250,0.671910,2.025670,0.648910,1.073730
2015,0.397610,1.236450,0.713310,0.147160,2.330100,0.875420,2.434110,0.750920,1.084430
2016,0.393180,1.344500,0.912140,0.191920,2.469830,0.961900,2.351840,0.765760,0.917910
2017,0.371410,1.196160,0.810260,0.172190,2.475890,0.910900,2.063170,0.690330,0.840900
2018,0.400410,1.300060,1.002570,0.189610,2.535530,0.994600,2.661310,0.760260,0.871740
2019,0.338650,1.451550,1.185720,0.228310,2.790260,1.029820,2.928260,0.988210,0.834000
2020,0.360850,1.684220,1.262780,0.247310,2.768040,1.047200,2.940390,0.954760,0.847680
2021,0.344590,1.654780,1.082250,0.195060,2.468730,0.913910,2.732240,0.947250,0.887030
2022,0.366770,1.998290,1.477690,0.257510,2.605340,0.900480,2.797010,0.947740,0.850180
2023,0.382070,1.783250,1.337030,0.261850,2.930800,1.108780,3.113280,1.010900,0.897520
2024,0.451624,1.947869,1.803768,0.328229,2.771119,1.120752,3.278091,1.202134,1.026979
2025,0.402601,1.629397,1.779150,0.333078,2.839481,1.098819,3.062861,1.095031,0.855043
2026,0.307184,1.645651,1.709301,0.292994,2.802256,1.090066,2.831672,1.009045,0.751345
2027,0.263452,1.664455,1.930932,0.347046,2.786452,1.157464,2.922580,1.012900,0.718387
2028,0.243434,1.601191,2.042475,0.365627,2.676992,1.160019,2.856328,0.970603,0.776476
2029,0.223449,1.567711,2.250298,0.403164,2.548651,1.124709,2.763967,0.961866,0.824927
2030,0.172437,1.638802,2.271644,0.456933,2.418587,1.037678,2.771827,1.036249,0.894584
2031,0.193628,1.537363,2.249849,0.434738,2.196743,0.989105,2.681658,1.062644,0.947843
2032,0.210223,1.631743,2.753094,0.589867,2.304419,1.045986,2.831487,1.131738,1.000090
2033,0.202380,1.585095,2.610210,0.553112,2.088257,0.955824,2.650223,0.945356,0.930929
2034,0.189251,1.527352,2.315766,0.410186,1.922410,0.866626,2.548273,0.872272,0.947975
2035,0.192515,1.546738,2.128180,0.374010,1.878592,0.824893,2.161885,0.893621,0.933309
2036,0.197367,1.530112,1.923508,0.346125,1.926551,0.771852,1.876698,0.882123,0.888036
2037,0.189569,1.373293,1.718799,0.332811,1.718812,0.714015,1.742069,0.846004,0.825748
2038,0.194608,1.208284,1.530699,0.307617,1.718832,0.654886,1.661109,0.834513,0.784750
2039,0.183550,1.129269,1.492246,0.271675,1.680835,0.603034,1.621889,0.853311,0.737564
2040,0.191371,1.131776,1.538328,0.272217,1.617794,0.603428,1.688687,0.863450,0.723354
2041,0.192375,1.157560,1.606427,0.285775,1.619307,0.615171,1.746875,0.862811,0.729275
2042,0.203848,1.098378,1.636847,0.264481,1.598931,0.615970,1.757097,0.915820,0.673652
2043,0.207948,1.162631,1.703603,0.265405,1.554882,0.590668,1.737841,0.912592,0.706872
2044,0.183532,1.205421,1.783943,0.239437,1.479005,0.604031,1.767898,0.939069,0.684177
2045,0.141631,1.299167,1.743539,0.278295,1.469072,0.610125,1.725534,0.952057,0.662889
2046,0.157335,1.281461,1.815236,0.288586,1.423282,0.608258,1.737410,0.916862,0.618836
2047,0.158988,1.377790,1.637457,0.303452,1.396680,0.593526,1.773730,0.906929,0.640318
2048,0.162292,1.420297,1.609448,0.320825,1.344266,0.605255,1.755996,0.957831,0.637655
2049,0.174212,1.345600,1.616478,0.320191,1.313927,0.636592,1.718013,0.998673,0.629154
2050,0.165085,1.342685,1.626209,0.331866,1.359366,0.643452,1.536503,1.036890,0.621188
