year,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,0.858180,2.642740,3.358270,1.549810,2.864660,1.354120,5.379280,4.756300,2.707130
2011,0.915350,2.719850,3.525400,1.555520,2.934920,1.416260,5.529350,4.793510,2.548560
2012,0.879080,2.770950,3.547680,1.491080,3.280120,1.540450,5.730930,4.903690,2.803610
2013,0.859500,2.891800,3.818100,1.645920,3.261050,1.455900,5.577360,4.972180,2.896840
2014,0.857730,3.120450,4.045160,1.680470,3.326570,1.544660,5.646740,5.000560,2.784840
2015,0.905920,3.099140,3.886720,1.574980,3.663950,1.696390,5.951670,5.255470,2.763970
2016,0.856640,3.156140,3.920960,1.638640,3.735140,1.746690,5.803450,1.581650,2.775400
2017,0.879540,3.113560,3.997110,1.729600,3.888780,1.767730,5.922210,1.576460,2.827700
2018,0.930980,3.316360,4.395240,1.846240,4.067650,1.912480,6.697610,1.676030,2.952350
2019,0.884970,3.507680,4.665440,1.972420,4.325760,1.962090,7.134520,1.985240,2.949310
2020,0.849800,3.615310,4.578500,1.915620,4.221530,1.967890,7.066120,1.900720,2.847720
2021,0.878470,3.665610,4.418460,1.893200,3.971680,1.844550,6.865970,1.921410,2.947450
2022,0.923150,4.044720,4.940080,1.998680,4.159860,1.892740,7.156390,1.914710,2.857150
2023,0.914370,3.709180,4.648730,1.877740,4.158050,1.861390,6.910270,1.734920,2.869450
2024,0.962553,3.909995,4.964130,2.049968,4.378995,2.098575,7.414999,2.159559,2.974449
2025,0.930546,3.749795,5.087374,2.005418,4.343349,2.031063,7.370770,2.058202,2.728772
2026,0.781939,3.475330,4.620926,1.842845,3.891988,1.784934,5.958117,1.781902,2.557914
2027,0.742323,3.444869,4.707423,1.880801,3.828328,1.835414,6.003426,1.754856,2.526092
2028,0.725009,3.364414,4.696098,1.881701,3.591180,1.783213,5.845942,1.713990,2.556307
2029,0.720008,3.386134,4.647316,1.897199,3.361863,1.719558,5.699160,1.696235,2.585802
2030,0.699351,3.335698,4.641392,2.038857,3.190711,1.629336,5.668550,1.677637,2.614153
2031,0.679255,3.142804,4.456717,1.944253,2.885270,1.470770,5.419774,1.608598,2.628891
2032,0.694852,3.056186,4.594091,2.025953,2.987373,1.521027,5.548148,1.763594,2.637849
2033,0.682768,2.965106,4.325788,1.940535,2.804255,1.469214,5.332105,1.746244,2.634555
2034,0.676451,2.821101,4.196589,1.874597,2.729338,1.399418,5.265339,1.690408,2.577221
2035,0.679203,2.774165,4.056654,1.840279,2.722006,1.387416,5.066918,1.656034,2.517057
2036,0.675569,2.661531,3.955245,1.820973,2.598980,1.295392,4.959162,1.584508,2.446003
2037,0.649520,2.454186,3.762507,1.831730,2.459701,1.225727,4.837954,1.567165,2.364758
2038,0.645287,2.387821,3.630200,1.815282,2.406118,1.169368,4.794869,1.473797,2.291434
2039,0.653401,2.414410,3.649924,1.826088,2.401801,1.127985,4.765383,1.487857,2.252511
2040,0.655786,2.393730,3.580663,1.829875,2.404084,1.060108,4.802187,1.457779,2.281605
2041,0.656713,2.350435,3.536101,1.785332,2.420143,1.008874,4.750147,1.393410,2.238770
2042,0.654128,2.321419,3.480375,1.763587,2.433650,1.021078,4.739210,1.361234,2.244678
2043,0.657176,2.332030,3.467469,1.775419,2.402768,1.043947,4.753344,1.362778,2.247817
2044,0.621498,2.330870,3.439527,1.802037,2.371214,1.045289,4.766046,1.392945,2.278843
2045,0.605406,2.309155,3.448897,1.802026,2.302510,1.024428,4.775317,1.404418,2.285449
2046,0.609633,2.310539,3.494394,1.805467,2.268174,1.023384,4.763526,1.375992,2.290656
2047,0.609062,2.304937,3.507108,1.829551,2.242798,1.011038,4.806602,1.401801,2.294402
2048,0.608704,2.319615,3.543561,1.830128,2.267759,1.015026,4.840192,1.456912,2.322879
2049,0.608873,2.317298,3.585941,1.837048,2.260479,1.036841,4.846149,1.501403,2.333663
2050,0.608951,2.297522,3.602013,1.850036,2.244589,1.030486,4.884940,1.540658,2.361397
