t,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,California,Mountain,Northwest,Southwest
2010,634,913,963,1095,2271,1974,2754,568,294,105,1075
2011,553,840,858,1074,2260,1725,3112,622,310,111,1151
2012,563,819,974,1221,2163,1760,2913,780,387,136,1193
2013,540,685,689,892,2001,1438,2535,714,346,174,1123
2014,420,600,609,812,2000,1491,2474,850,314,217,1123
2015,556,809,729,941,2397,1717,2742,831,341,236,1142
2016,625,891,958,1072,2404,1956,2882,782,334,146,1166
2017,451,665,708,910,2247,1585,2718,846,346,209,1202
2018,668,890,972,1134,2411,1928,2855,815,372,188,1200
2019,536,787,832,951,2503,1886,2759,694,305,150,1091
2020,645,848,831,964,2335,1636,2735,913,378,157,1303
2021,604,837,911,1093,2226,1611,2644,817,408,222,1174
2022,647,838,816,1050,2302,1728,2992,853,394,234,1191
2023,518,683,713,1042,2258,1669,3117,616,308,214,1173
2024,620,867,899,1046,2399,1859,3073,861,405,200,1300
2025,609,845,851,1046,2400,1773,2901,665,346,221,1168
2026,615,853,856,1051,2415,1781,2915,780,367,259,1240
2027,621,860,861,1056,2430,1788,2928,787,369,261,1247
2028,627,868,866,1061,2445,1796,2942,794,371,263,1255
2029,633,876,871,1066,2460,1803,2955,800,373,266,1262
2030,640,884,876,1071,2476,1811,2969,807,375,268,1269
2031,646,892,881,1076,2491,1818,2982,814,378,270,1276
2032,652,900,886,1081,2507,1826,2996,821,380,272,1283
2033,659,908,890,1086,2522,1834,3010,827,382,275,1290
2034,665,915,895,1092,2538,1841,3023,834,384,277,1297
2035,671,923,900,1097,2553,1849,3037,841,386,279,1304
2036,678,931,905,1102,2569,1857,3050,848,388,282,1312
2037,684,939,910,1107,2585,1864,3064,855,390,284,1319
2038,690,947,915,1112,2600,1872,3077,862,392,286,1326
2039,697,955,920,1117,2616,1879,3091,869,394,288,1333
2040,703,963,925,1122,2632,1887,3104,876,396,290,1340
2041,710,971,930,1128,2648,1895,3118,883,399,293,1346
2042,716,978,935,1133,2663,1902,3131,890,401,295,1353
2043,722,986,940,1138,2679,1910,3145,897,403,297,1360
2044,729,994,945,1143,2695,1918,3158,903,405,300,1367
2045,735,1002,950,1148,2711,1925,3172,910,407,302,1374
2046,741,1010,955,1153,2727,1933,3185,918,409,304,1381
2047,748,1018,960,1159,2742,1940,3199,924,411,307,1388
2048,754,1026,965,1164,2758,1948,3212,931,413,309,1395
2049,760,1033,970,1169,2774,1956,3226,938,415,311,1402
2050,767,1041,975,1174,2790,1963,3239,945,417,313,1409
