t,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,California,Mountain,Northwest,Southwest
2010,5935,5539,6188,6570,3163,3954,2450,1303,3624,2324,1436
2011,6113,5471,6173,6570,2564,3347,2113,1314,3797,2508,1507
2012,5563,4960,5356,5520,2305,2880,1648,1117,3288,2300,1272
2013,6425,5827,6623,7140,2736,3651,2325,1094,3772,2272,1491
2014,6676,6190,7196,7309,2961,3935,2421,811,3504,1965,1234
2015,6520,5762,6165,6093,2496,3224,2085,959,3285,1942,1311
2016,5928,5338,5701,5792,2464,3095,1750,991,3388,2043,1231
2017,6037,5318,5684,6004,2239,2837,1580,965,3443,2224,1130
2018,6323,5769,6434,6975,2638,3479,2252,1033,3516,2138,1293
2019,6538,5736,6427,7082,2392,3181,2143,1218,3831,2328,1478
2020,5822,5198,5855,6326,2263,3064,1812,1053,3465,2165,1318
2021,5799,5261,5747,6061,2366,3166,1911,1111,3418,2226,1275
2022,6019,5635,6344,6905,2523,3438,2200,1085,3663,2279,1461
2023,5564,4954,5417,5929,2150,2826,1725,1329,3674,2277,1439
2024,5643,4981,5306,5716,2271,3024,1844,1130,3343,2180,1331
2025,5924,5319,5952,6383,2344,3161,1949,1074,3489,2176,1244
2026,5901,5298,5937,6376,2329,3148,1942,1087,3562,2203,1270
2027,5879,5277,5923,6369,2313,3136,1935,1085,3556,2199,1268
2028,5856,5256,5908,6362,2298,3123,1928,1083,3549,2195,1266
2029,5833,5235,5894,6355,2283,3111,1921,1081,3542,2190,1264
2030,5810,5214,5879,6348,2267,3098,1914,1079,3536,2186,1262
2031,5787,5193,5864,6341,2251,3086,1907,1076,3530,2182,1259
2032,5764,5172,5850,6334,2235,3073,1900,1074,3524,2177,1257
2033,5741,5151,5835,6327,2220,3060,1893,1072,3518,2172,1255
2034,5718,5130,5820,6319,2204,3048,1886,1069,3512,2168,1253
2035,5695,5109,5806,6312,2188,3035,1879,1067,3506,2163,1251
2036,5672,5088,5791,6304,2173,3022,1872,1065,3500,2158,1249
2037,5649,5068,5776,6297,2157,3009,1865,1062,3494,2153,1247
2038,5626,5047,5762,6289,2141,2996,1858,1060,3489,2148,1244
2039,5603,5026,5747,6282,2125,2984,1852,1057,3483,2144,1242
2040,5579,5005,5732,6274,2110,2971,1845,1055,3477,2139,1240
2041,5556,4984,5717,6267,2094,2958,1838,1052,3471,2134,1238
2042,5533,4963,5703,6259,2079,2945,1831,1050,3465,2129,1236
2043,5510,4943,5688,6252,2063,2933,1825,1048,3459,2124,1234
2044,5487,4922,5673,6244,2047,2920,1818,1045,3454,2119,1232
2045,5464,4901,5658,6236,2032,2907,1811,1043,3448,2114,1230
2046,5440,4880,5644,6229,2016,2894,1805,1041,3442,2109,1228
2047,5417,4859,5629,6221,2001,2881,1798,1038,3437,2104,1226
2048,5394,4838,5614,6213,1985,2869,1791,1036,3431,2099,1224
2049,5371,4818,5599,6206,1970,2856,1785,1033,3425,2095,1222
2050,5348,4797,5585,6198,1955,2843,1778,1031,3420,2090,1220
