year,cost
2010,1.123390915
2011,1.10841237
2012,1.122513648
2013,1.044133643
2014,1.0525315
2015,0.723787582
2016,0.846924443
2017,0.848235471
2018,0.850857529
2019,0.850504921
2020,0.852679613
2021,0.850653728
2022,0.781276702
2023,0.781197571
2024,0.772914528
2025,0.549997
2026,0.545068
2027,0.544083
2028,0.542111
2029,0.54014
2030,0.538169
2031,0.535212
2032,0.532255
2033,0.529298
2034,0.525355
2035,0.521413
2036,0.51747
2037,0.514513
2038,0.511556
2039,0.508599
2040,0.504656
2041,0.5017
2042,0.497757
2043,0.4948
2044,0.490857
2045,0.486915
2046,0.482972
2047,0.480015
2048,0.476072
2049,0.47213
2050,0.468187
