tech,geoscen,geo_class,ref_depth,year,occ_usd_per_kw
egs,geo_ATB_2024_moderate,1,7000,2035,4886
egs,geo_ATB_2024_moderate,2,7000,2035,5367
egs,geo_ATB_2024_moderate,3,6500,2035,5561
egs,geo_ATB_2024_moderate,4,6000,2035,5796
egs,geo_ATB_2024_moderate,5,6000,2035,6490
egs,geo_ATB_2024_moderate,6,6000,2035,7499
egs,geo_ATB_2024_moderate,7,5500,2035,8622
egs,geo_ATB_2024_moderate,8,5500,2035,10737
egs,geo_ATB_2024_moderate,9,5500,2035,13986
egs,geo_ATB_2024_conservative,1,7000,2021,10502
egs,geo_ATB_2024_conservative,2,7000,2021,11038
egs,geo_ATB_2024_conservative,3,6500,2021,11103
egs,geo_ATB_2024_conservative,4,6000,2021,11237
egs,geo_ATB_2024_conservative,5,6000,2021,12706
egs,geo_ATB_2024_conservative,6,6000,2021,14803
egs,geo_ATB_2024_conservative,7,5500,2021,17650
egs,geo_ATB_2024_conservative,8,5500,2021,21344
egs,geo_ATB_2024_conservative,9,5500,2021,26785
egs,geo_ATB_2024_advanced,1,7000,2035,2086
egs,geo_ATB_2024_advanced,2,7000,2035,2337
egs,geo_ATB_2024_advanced,3,6500,2035,2574
egs,geo_ATB_2024_advanced,4,6000,2035,2857
egs,geo_ATB_2024_advanced,5,6000,2035,3285
egs,geo_ATB_2024_advanced,6,6000,2035,3909
egs,geo_ATB_2024_advanced,7,5500,2035,4322
egs,geo_ATB_2024_advanced,8,5500,2035,5304
egs,geo_ATB_2024_advanced,9,5500,2035,6970
geohydro,geo_ATB_2024_moderate,2,2286,2035,2831
geohydro,geo_ATB_2024_moderate,3,2438,2035,3088
geohydro,geo_ATB_2024_moderate,4,2743,2035,3400
geohydro,geo_ATB_2024_moderate,5,1930,2035,3472
geohydro,geo_ATB_2024_moderate,6,1846,2035,4107
geohydro,geo_ATB_2024_moderate,7,1575,2035,4409
geohydro,geo_ATB_2024_moderate,8,1214,2035,5589
geohydro,geo_ATB_2024_moderate,9,1589,2035,7814
geohydro,geo_ATB_2024_moderate,10,1393,2035,12866
geohydro,geo_ATB_2024_conservative,2,2286,2021,3119
geohydro,geo_ATB_2024_conservative,3,2438,2021,3463
geohydro,geo_ATB_2024_conservative,4,2743,2021,3926
geohydro,geo_ATB_2024_conservative,5,1930,2021,3784
geohydro,geo_ATB_2024_conservative,6,1846,2021,4525
geohydro,geo_ATB_2024_conservative,7,1575,2021,5163
geohydro,geo_ATB_2024_conservative,8,1214,2021,6666
geohydro,geo_ATB_2024_conservative,9,1589,2021,10034
geohydro,geo_ATB_2024_conservative,10,1393,2021,18268
geohydro,geo_ATB_2024_advanced,2,2286,2035,2641
geohydro,geo_ATB_2024_advanced,3,2438,2035,2858
geohydro,geo_ATB_2024_advanced,4,2743,2035,3101
geohydro,geo_ATB_2024_advanced,5,1930,2035,3248
geohydro,geo_ATB_2024_advanced,6,1846,2035,3813
geohydro,geo_ATB_2024_advanced,7,1575,2035,3994
geohydro,geo_ATB_2024_advanced,8,1214,2035,4864
geohydro,geo_ATB_2024_advanced,9,1589,2035,6539
geohydro,geo_ATB_2024_advanced,10,1393,2035,10239
