ba,nercr,transreg,transgrp,cendiv,st,interconnect,st_interconnect,country,usda_region,h2ptcreg,hurdlereg,aggreg,transgrp_nercr
p1,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,WA,western,WA,USA,pacific,Northwest,Puget_Sound_Energy_Inc,p1,WECC_NW
p2,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,WA,western,WA,USA,pacific,Northwest,Bonneville_Power_Administration,p2,WECC_NW
p3,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,WA,western,WA,USA,pacific,Northwest,Avista_Corp,p3,WECC_NW
p4,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,WA,western,WA,USA,pacific,Northwest,PUD_No2_of_Grant_County,p4,WECC_NW
p5,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,OR,western,OR,USA,pacific,Northwest,Bonneville_Power_Administration,p5,WECC_NW
p6,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,OR,western,OR,USA,pacific,Northwest,PacifiCorp_West,p6,WECC_NW
p7,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,OR,western,OR,USA,pacific,Northwest,Bonneville_Power_Administration,p7,WECC_NW
p8,WECC_NW,NorthernGrid,NorthernGrid_South,Pacific,CA,western,CA,USA,pacific,California,PacifiCorp_West,p8,WECC_NW
p9,WECC_CA,CAISO,CAISO,Pacific,CA,western,CA,USA,pacific,California,CAISO,p9,WECC_CA
p10,WECC_CA,CAISO,CAISO,Pacific,CA,western,CA,USA,pacific,California,CAISO,p10,WECC_CA
p11,WECC_CA,CAISO,CAISO,Pacific,CA,western,CA,USA,pacific,California,CAISO,p11,WECC_CA
p12,WECC_NW,NorthernGrid,NorthernGrid_South,Mountain,NV,western,NV,USA,mountain,Mountain,Nevada_Power_Co,p12,WECC_NW
p13,WECC_NW,NorthernGrid,NorthernGrid_South,Mountain,NV,western,NV,USA,mountain,Mountain,Nevada_Power_Co,p13,WECC_NW
p14,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,ID,western,ID,USA,mountain,Northwest,Avista_Corp,p14,WECC_NW
p15,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,ID,western,ID,USA,mountain,Northwest,Idaho_Power_Co,p15,WECC_NW
p16,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,ID,western,ID,USA,mountain,Northwest,Idaho_Power_Co,p16,WECC_NW
p17,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,MT,western,MT_western,USA,mountain,Mountain,Northwestern_Energy,p17,WECC_NW
p18,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,MT,western,MT_western,USA,mountain,Mountain,Northwestern_Energy,p18,WECC_NW
