*i,RE,Nuclear,NuclearCCS,RE_NoCombust
can-imports,1,1,1,1
coal-CCS_mod,0,0,1,0
coal-CCS_max,0,0,1,0
coal-CCS-F1,0,0,1,0
coal-CCS-F2,0,0,1,0
coal-CCS-F3,0,0,1,0
Coal-IGCC,0,0,0,0
coal-new,0,0,0,0
CoalOldScr,0,0,0,0
CoalOldUns,0,0,0,0
CofireNew,0,0,0,0
CofireOld,0,0,0,0
Gas-CC,0,0,0,0
Gas-CC_H_1x1,0,0,0,0
Gas-CC_H_2x1,0,0,0,0
Gas-CC-CCS_mod,0,0,1,0
Gas-CC-CCS_max,0,0,1,0
Gas-CC_H_1x1-CCS_mod,0,0,1,0
Gas-CC_H_1x1-CCS_max,0,0,1,0
Gas-CC_H_2x1-CCS_mod,0,0,1,0
Gas-CC_H_2x1-CCS_max,0,0,1,0
Gas-CC-CCS-F1,0,0,1,0
Gas-CC-CCS-F2,0,0,1,0
Gas-CC-CCS-F3,0,0,1,0
Gas-CT,0,0,0,0
Gas-CT_aero,0,0,0,0
o-g-s,0,0,0,0
Nuclear,0,1,1,0
Nuclear-SMR,0,1,1,0
H2-CT,1,1,1,0
H2-CC,1,1,1,0
ng-fuel-cell,0,0,0,0
biopower,1,1,1,0
beccs_mod,1,1,1,0
beccs_max,1,1,1,0
geothermal,1,1,1,1
Hydro,1,1,1,1
lfill-gas,1,1,1,0
battery_li,0,0,0,0
pumped-hydro,0,0,0,0
pumped-hydro-flex,0,0,0,0
distpv,1,1,1,1
upv_1,1,1,1,1
upv_2,1,1,1,1
upv_3,1,1,1,1
upv_4,1,1,1,1
upv_5,1,1,1,1
upv_6,1,1,1,1
upv_7,1,1,1,1
upv_8,1,1,1,1
upv_9,1,1,1,1
upv_10,1,1,1,1
wind-ofs_1,1,1,1,1
wind-ofs_2,1,1,1,1
wind-ofs_3,1,1,1,1
wind-ofs_4,1,1,1,1
wind-ofs_5,1,1,1,1
wind-ofs_6,1,1,1,1
wind-ofs_7,1,1,1,1
wind-ofs_8,1,1,1,1
wind-ofs_9,1,1,1,1
wind-ofs_10,1,1,1,1
wind-ons_1,1,1,1,1
wind-ons_2,1,1,1,1
wind-ons_3,1,1,1,1
wind-ons_4,1,1,1,1
wind-ons_5,1,1,1,1
wind-ons_6,1,1,1,1
wind-ons_7,1,1,1,1
wind-ons_8,1,1,1,1
wind-ons_9,1,1,1,1
wind-ons_10,1,1,1,1
csp1_1,1,1,1,1
csp1_2,1,1,1,1
csp1_3,1,1,1,1
csp1_4,1,1,1,1
csp1_5,1,1,1,1
csp1_6,1,1,1,1
csp1_7,1,1,1,1
csp1_8,1,1,1,1
csp1_9,1,1,1,1
csp1_10,1,1,1,1
csp1_11,1,1,1,1
csp1_12,1,1,1,1
csp2_1,1,1,1,1
csp2_2,1,1,1,1
csp2_3,1,1,1,1
csp2_4,1,1,1,1
csp2_5,1,1,1,1
csp2_6,1,1,1,1
csp2_7,1,1,1,1
csp2_8,1,1,1,1
csp2_9,1,1,1,1
csp2_10,1,1,1,1
csp2_11,1,1,1,1
csp2_12,1,1,1,1
egs1_1,1,1,1,1
egs1_2,1,1,1,1
egs1_3,1,1,1,1
egs1_4,1,1,1,1
egs1_5,1,1,1,1
egs1_6,1,1,1,1
egs1_7,1,1,1,1
egs1_8,1,1,1,1
egs1_9,1,1,1,1
egs1_10,1,1,1,1
egs2_1,1,1,1,1
egs2_2,1,1,1,1
egs2_3,1,1,1,1
egs2_4,1,1,1,1
egs2_5,1,1,1,1
egs2_6,1,1,1,1
egs2_7,1,1,1,1
egs2_8,1,1,1,1
egs2_9,1,1,1,1
egs2_10,1,1,1,1
egs3_1,1,1,1,1
egs3_2,1,1,1,1
egs3_3,1,1,1,1
egs3_4,1,1,1,1
egs3_5,1,1,1,1
egs3_6,1,1,1,1
egs3_7,1,1,1,1
egs3_8,1,1,1,1
egs3_9,1,1,1,1
egs3_10,1,1,1,1
egs4_1,1,1,1,1
egs4_2,1,1,1,1
egs4_3,1,1,1,1
egs4_4,1,1,1,1
egs4_5,1,1,1,1
egs4_6,1,1,1,1
egs4_7,1,1,1,1
egs4_8,1,1,1,1
egs4_9,1,1,1,1
egs5_10,1,1,1,1
egs5_1,1,1,1,1
egs5_2,1,1,1,1
egs5_3,1,1,1,1
egs5_4,1,1,1,1
egs5_5,1,1,1,1
egs5_6,1,1,1,1
egs5_7,1,1,1,1
egs5_8,1,1,1,1
egs5_9,1,1,1,1
egs5_10,1,1,1,1
geohydro1_1,1,1,1,1
geohydro1_2,1,1,1,1
geohydro1_3,1,1,1,1
geohydro1_4,1,1,1,1
geohydro1_5,1,1,1,1
geohydro1_6,1,1,1,1
geohydro1_7,1,1,1,1
geohydro1_8,1,1,1,1
geohydro1_9,1,1,1,1
geohydro1_10,1,1,1,1
geohydro2_1,1,1,1,1
geohydro2_2,1,1,1,1
geohydro2_3,1,1,1,1
geohydro2_4,1,1,1,1
geohydro2_5,1,1,1,1
geohydro2_6,1,1,1,1
geohydro2_7,1,1,1,1
geohydro2_8,1,1,1,1
geohydro2_9,1,1,1,1
geohydro2_10,1,1,1,1
geohydro3_1,1,1,1,1
geohydro3_2,1,1,1,1
geohydro3_3,1,1,1,1
geohydro3_4,1,1,1,1
geohydro3_5,1,1,1,1
geohydro3_6,1,1,1,1
geohydro3_7,1,1,1,1
geohydro3_8,1,1,1,1
geohydro3_9,1,1,1,1
geohydro3_10,1,1,1,1
geohydro4_1,1,1,1,1
geohydro4_2,1,1,1,1
geohydro4_3,1,1,1,1
geohydro4_4,1,1,1,1
geohydro4_5,1,1,1,1
geohydro4_6,1,1,1,1
geohydro4_7,1,1,1,1
geohydro4_8,1,1,1,1
geohydro4_9,1,1,1,1
geohydro4_10,1,1,1,1
geohydro5_1,1,1,1,1
geohydro5_2,1,1,1,1
geohydro5_3,1,1,1,1
geohydro5_4,1,1,1,1
geohydro5_5,1,1,1,1
geohydro5_6,1,1,1,1
geohydro5_7,1,1,1,1
geohydro5_8,1,1,1,1
geohydro5_9,1,1,1,1
geohydro5_10,1,1,1,1
egs_nearfield_1,1,1,1,1
egs_nearfield_2,1,1,1,1
egs_nearfield_3,1,1,1,1
egs_nearfield_4,1,1,1,1
egs_nearfield_5,1,1,1,1
egs_nearfield_6,1,1,1,1
egs_nearfield_7,1,1,1,1
egs_nearfield_8,1,1,1,1
egs_nearfield_9,1,1,1,1
egs_nearfield_10,1,1,1,1
dr_shed_1,1,1,1,1
dr_shed_2,1,1,1,1
hydD,1,1,1,1
hydND,1,1,1,1
hydSD,1,1,1,1
hydSND,1,1,1,1
hydUD,1,1,1,1
hydUND,1,1,1,1
hydNPD,1,1,1,1
hydNPND,1,1,1,1
hydED,1,1,1,1
hydEND,1,1,1,1
