i,t,capcost,fom,vom,heatrate
fuel-cell,2010,1352.0840064286374,30.978663561235294,1.7054,9.0268
fuel-cell,2011,1352.0840064286374,30.978663561235294,1.7054,9.0268
fuel-cell,2012,1352.0840064286374,30.978663561235294,1.7054,9.0268
fuel-cell,2013,1352.0840064286374,30.978663561235294,1.7054,9.0268
fuel-cell,2014,1352.0840064286374,30.978663561235294,1.7054,9.0268
fuel-cell,2015,1352.0840064286374,30.978663561235294,1.7054,9.0268
fuel-cell,2016,1352.0840064286374,30.978663561235294,1.7054,9.0268
fuel-cell,2017,1352.0840064286374,30.978663561235294,1.7054,9.0268
fuel-cell,2018,1352.0840064286374,30.978663561235294,1.7054,9.0268
fuel-cell,2019,1352.0840064286374,30.978663561235294,1.7054,9.0268
fuel-cell,2020,1352.0840064286374,30.978663561235294,1.7054,9.0268
fuel-cell,2021,1352.0840064286374,30.978663561235294,1.7054,9.0268
fuel-cell,2022,1352.0840064286374,30.978663561235294,1.7054,9.0268
fuel-cell,2023,1352.0840064286374,30.978663561235294,1.7054,9.0268
fuel-cell,2024,1352.0840064286374,30.978663561235294,1.7054,9.0268
fuel-cell,2025,1352.0840064286374,30.978663561235294,1.7054,9.0268
fuel-cell,2026,1331.683747348637,30.650692761235295,1.7054,9.0268
fuel-cell,2027,1311.2834882686373,30.322721961235292,1.7054,9.0268
fuel-cell,2028,1290.8832291886372,29.994751161235293,1.7054,9.0268
fuel-cell,2029,1270.4829701086371,29.6667803612353,1.7054,9.0268
fuel-cell,2030,1250.0827110286373,29.338809561235294,1.7054,9.0268
fuel-cell,2031,1239.1795682686377,29.163521961235293,1.7054,9.0268
fuel-cell,2032,1228.2764255086372,28.988234361235296,1.7054,9.0268
fuel-cell,2033,1217.3732827486374,28.812946761235295,1.7054,9.0268
fuel-cell,2034,1206.4701399886371,28.637659161235295,1.7054,9.0268
fuel-cell,2035,1195.566997228637,28.46237156123529,1.7054,9.0268
fuel-cell,2036,1192.0055786086373,28.40511536123529,1.7054,9.0268
fuel-cell,2037,1188.4441599886372,28.347859161235288,1.7054,9.0268
fuel-cell,2038,1184.8827413686372,28.290602961235294,1.7054,9.0268
fuel-cell,2039,1181.3213227486372,28.233346761235296,1.7054,9.0268
fuel-cell,2040,1177.7599041286371,28.17609056123529,1.7054,9.0268
fuel-cell,2041,1174.198485508637,28.118834361235294,1.7054,9.0268
fuel-cell,2042,1170.6370668886373,28.061578161235293,1.7054,9.0268
fuel-cell,2043,1167.0756482686372,28.00432196123529,1.7054,9.0268
fuel-cell,2044,1163.5142296486374,27.94706576123529,1.7054,9.0268
fuel-cell,2045,1159.9528110286374,27.889809561235296,1.7054,9.0268
fuel-cell,2046,1156.391392408637,27.832553361235288,1.7054,9.0268
fuel-cell,2047,1152.8299737886373,27.775297161235297,1.7054,9.0268
fuel-cell,2048,1149.2685551686372,27.718040961235296,1.7054,9.0268
fuel-cell,2049,1145.7071365486372,27.660784761235295,1.7054,9.0268
fuel-cell,2050,1142.1457179286372,27.603528561235294,1.7054,9.0268
