i,t,capcost,fom,vom,heatrate
h2-fuel-cell,2010,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2011,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2012,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2013,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2014,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2015,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2016,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2017,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2018,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2019,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2020,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2021,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2022,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2023,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2024,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2025,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2026,1331.683747,30.65069276,1.7054,8.461
h2-fuel-cell,2027,1311.283488,30.32272196,1.7054,8.461
h2-fuel-cell,2028,1290.883229,29.99475116,1.7054,8.461
h2-fuel-cell,2029,1270.48297,29.66678036,1.7054,8.461
h2-fuel-cell,2030,1250.082711,29.33880956,1.7054,8.461
h2-fuel-cell,2031,1239.179568,29.16352196,1.7054,8.461
h2-fuel-cell,2032,1228.276426,28.98823436,1.7054,8.461
h2-fuel-cell,2033,1217.373283,28.81294676,1.7054,8.461
h2-fuel-cell,2034,1206.47014,28.63765916,1.7054,8.461
h2-fuel-cell,2035,1195.566997,28.46237156,1.7054,8.461
h2-fuel-cell,2036,1192.005579,28.40511536,1.7054,8.461
h2-fuel-cell,2037,1188.44416,28.34785916,1.7054,8.461
h2-fuel-cell,2038,1184.882741,28.29060296,1.7054,8.461
h2-fuel-cell,2039,1181.321323,28.23334676,1.7054,8.461
h2-fuel-cell,2040,1177.759904,28.17609056,1.7054,8.461
h2-fuel-cell,2041,1174.198486,28.11883436,1.7054,8.461
h2-fuel-cell,2042,1170.637067,28.06157816,1.7054,8.461
h2-fuel-cell,2043,1167.075648,28.00432196,1.7054,8.461
h2-fuel-cell,2044,1163.51423,27.94706576,1.7054,8.461
h2-fuel-cell,2045,1159.952811,27.88980956,1.7054,8.461
h2-fuel-cell,2046,1156.391392,27.83255336,1.7054,8.461
h2-fuel-cell,2047,1152.829974,27.77529716,1.7054,8.461
h2-fuel-cell,2048,1149.268555,27.71804096,1.7054,8.461
h2-fuel-cell,2049,1145.707137,27.66078476,1.7054,8.461
h2-fuel-cell,2050,1142.145718,27.60352856,1.7054,8.461
