i,t,capcost,fom,vom,heatrate
h2-fuel-cell,2010,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2011,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2012,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2013,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2014,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2015,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2016,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2017,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2018,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2019,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2020,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2021,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2022,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2023,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2024,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2025,1352.084006,30.97866356,1.7054,8.461
h2-fuel-cell,2026,1305.170964,30.22445216,1.7054,8.461
h2-fuel-cell,2027,1258.257922,29.47024076,1.7054,8.461
h2-fuel-cell,2028,1211.34488,28.71602936,1.7054,8.461
h2-fuel-cell,2029,1164.431838,27.96181796,1.7054,8.461
h2-fuel-cell,2030,1117.518796,27.20760656,1.7054,8.461
h2-fuel-cell,2031,1105.428513,27.01323356,1.7054,8.461
h2-fuel-cell,2032,1093.338231,26.81886056,1.7054,8.461
h2-fuel-cell,2033,1081.247949,26.62448756,1.7054,8.461
h2-fuel-cell,2034,1069.157667,26.43011456,1.7054,8.461
h2-fuel-cell,2035,1057.067384,26.23574156,1.7054,8.461
h2-fuel-cell,2036,1053.317637,26.17545764,1.7054,8.461
h2-fuel-cell,2037,1049.56789,26.11517372,1.7054,8.461
h2-fuel-cell,2038,1045.818143,26.0548898,1.7054,8.461
h2-fuel-cell,2039,1042.068395,25.99460588,1.7054,8.461
h2-fuel-cell,2040,1038.318648,25.93432196,1.7054,8.461
h2-fuel-cell,2041,1034.52933,25.87340186,1.7054,8.461
h2-fuel-cell,2042,1030.740011,25.81248176,1.7054,8.461
h2-fuel-cell,2043,1026.950693,25.75156166,1.7054,8.461
h2-fuel-cell,2044,1023.161374,25.69064156,1.7054,8.461
h2-fuel-cell,2045,1019.372056,25.62972146,1.7054,8.461
h2-fuel-cell,2046,1015.622309,25.56943754,1.7054,8.461
h2-fuel-cell,2047,1011.872561,25.50915362,1.7054,8.461
h2-fuel-cell,2048,1008.122814,25.4488697,1.7054,8.461
h2-fuel-cell,2049,1004.373067,25.38858578,1.7054,8.461
h2-fuel-cell,2050,1000.62332,25.32830186,1.7054,8.461
