Turbine,Year,CF_mult,Overnight Cap Cost $/kW,Fixed O&M $/(kW-yr),Var O&M $/MWh
115hh_170rd,2010,0.61277,2639.12325,47.01292,0.0
115hh_170rd,2011,0.60304,2466.78385,47.01292,0.0
115hh_170rd,2012,0.69848,2294.44446,47.01292,0.0
115hh_170rd,2013,0.79294,2157.98645,47.01292,0.0
115hh_170rd,2014,0.87144,2021.52845,47.01292,0.0
115hh_170rd,2015,0.82324,1909.53503,47.01292,0.0
115hh_170rd,2016,0.89312,1797.54161,47.01292,0.0
115hh_170rd,2017,0.85843,1795.05224,47.01292,0.0
115hh_170rd,2018,0.92017,1649.67472,47.01292,0.0
115hh_170rd,2019,0.85963,1504.29721,47.01292,0.0
115hh_170rd,2020,0.83469,1517.57908,46.44,0.0
115hh_170rd,2021,0.76975,1386.59368,32.724,0.0
115hh_170rd,2022,0.93873,1471.55594,32.44305,0.0
115hh_170rd,2023,0.94588,1585.2649,32.04564,0.0
115hh_170rd,2024,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2025,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2026,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2027,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2028,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2029,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2030,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2031,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2032,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2033,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2034,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2035,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2036,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2037,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2038,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2039,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2040,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2041,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2042,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2043,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2044,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2045,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2046,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2047,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2048,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2049,0.95304,1481.28109,31.64823,0.0
115hh_170rd,2050,0.95304,1481.28109,31.64823,0.0
