*i,geotech
egs1_1,egs1
egs1_2,egs1
egs1_3,egs1
egs1_4,egs1
egs1_5,egs1
egs1_6,egs1
egs1_7,egs1
egs1_8,egs1
egs1_9,egs1
egs1_10,egs1
egs2_1,egs2
egs2_2,egs2
egs2_3,egs2
egs2_4,egs2
egs2_5,egs2
egs2_6,egs2
egs2_7,egs2
egs2_8,egs2
egs2_9,egs2
egs2_10,egs2
egs3_1,egs3
egs3_2,egs3
egs3_3,egs3
egs3_4,egs3
egs3_5,egs3
egs3_6,egs3
egs3_7,egs3
egs3_8,egs3
egs3_9,egs3
egs3_10,egs3
egs4_1,egs4
egs4_2,egs4
egs4_3,egs4
egs4_4,egs4
egs4_5,egs4
egs4_6,egs4
egs4_7,egs4
egs4_8,egs4
egs4_9,egs4
egs4_10,egs4
egs5_1,egs5
egs5_2,egs5
egs5_3,egs5
egs5_4,egs5
egs5_5,egs5
egs5_6,egs5
egs5_7,egs5
egs5_8,egs5
egs5_9,egs5
egs5_10,egs5
geohydro1_1,geohydro1
geohydro1_2,geohydro1
geohydro1_3,geohydro1
geohydro1_4,geohydro1
geohydro1_5,geohydro1
geohydro1_6,geohydro1
geohydro1_7,geohydro1
geohydro1_8,geohydro1
geohydro1_9,geohydro1
geohydro1_10,geohydro1
geohydro2_1,geohydro2
geohydro2_2,geohydro2
geohydro2_3,geohydro2
geohydro2_4,geohydro2
geohydro2_5,geohydro2
geohydro2_6,geohydro2
geohydro2_7,geohydro2
geohydro2_8,geohydro2
geohydro2_9,geohydro2
geohydro2_10,geohydro2
geohydro3_1,geohydro3
geohydro3_2,geohydro3
geohydro3_3,geohydro3
geohydro3_4,geohydro3
geohydro3_5,geohydro3
geohydro3_6,geohydro3
geohydro3_7,geohydro3
geohydro3_8,geohydro3
geohydro3_9,geohydro3
geohydro3_10,geohydro3
geohydro4_1,geohydro4
geohydro4_2,geohydro4
geohydro4_3,geohydro4
geohydro4_4,geohydro4
geohydro4_5,geohydro4
geohydro4_6,geohydro4
geohydro4_7,geohydro4
geohydro4_8,geohydro4
geohydro4_9,geohydro4
geohydro4_10,geohydro4
geohydro5_1,geohydro5
geohydro5_2,geohydro5
geohydro5_3,geohydro5
geohydro5_4,geohydro5
geohydro5_5,geohydro5
geohydro5_6,geohydro5
geohydro5_7,geohydro5
geohydro5_8,geohydro5
geohydro5_9,geohydro5
geohydro5_10,geohydro5
egs_nearfield_1,egs_nearfield
egs_nearfield_2,egs_nearfield
egs_nearfield_3,egs_nearfield
egs_nearfield_4,egs_nearfield
egs_nearfield_5,egs_nearfield
egs_nearfield_6,egs_nearfield
egs_nearfield_7,egs_nearfield
egs_nearfield_8,egs_nearfield
egs_nearfield_9,egs_nearfield
egs_nearfield_10,egs_nearfield
