sc_point_gid,fed_frac
37804,0.0
37805,0.0
37806,0.0
37807,0.0
37808,0.0
38488,0.0
38489,0.0
38490,0.0
38491,0.0
38492,0.0
39158,0.005532
39173,0.0
39174,0.0
39175,0.0
39176,0.832251
39842,0.001394
39843,0.0
39857,0.0
39858,0.0
39859,0.0
40525,0.01875
40526,0.000537
40527,0.00027
40528,0.013205
40539,0.0
40540,0.0
40541,0.0
40542,0.0
40543,0.0
40544,0.289696
40545,0.016767
41209,0.0
41210,0.0
41211,0.015304
41212,0.205641
41213,0.227488
41214,0.043554
41224,0.0
41225,0.0
41226,0.0
41227,0.0
41228,0.0
41229,0.0
41230,1.0
41231,1.0
41236,1.0
41241,0.0
41242,0.0
41243,0.000828
41244,0.010136
41245,0.0
41246,0.0
41893,0.040366
41894,0.0
41895,0.108831
41896,1.0
41897,1.0
41898,0.856287
41899,0.010648
41900,0.043788
41906,0.429717
41907,0.053126
41908,0.0
41909,0.0
41910,0.0
41911,0.044477
41912,0.0
41913,0.0
41914,0.000338
41915,0.025359
41921,1.0
41923,1.0
41925,0.0
41926,0.0
41927,0.023301
41928,0.027015
41929,0.097708
41930,0.001881
41931,0.450569
41932,0.063753
41933,0.591105
41934,0.016612
42578,0.0
42579,0.0
42580,0.0
42584,0.0
42585,0.0
42586,0.019781
42587,0.0
42590,0.63089
42591,0.0
42592,0.0
42593,0.0
42594,0.0
42595,0.0
42596,0.0
42597,0.024688
42598,0.0
42605,0.729407
42606,0.776276
42607,1.0
42609,0.02514
42610,0.0
42611,0.0
42612,0.0
42613,0.16157
42614,0.707476
42615,0.505472
42616,0.651705
42617,0.160463
42618,0.366151
42619,1.0
42620,0.412436
42621,1.0
42622,0.0
42623,0.0
43262,0.000376
43263,0.0
43264,0.0
43265,0.0
43270,0.117871
43271,0.352529
43272,0.067236
43274,0.0
43276,0.0
43277,0.0
43278,0.00164
43279,0.056951
43280,0.009592
43281,0.028378
43282,0.0
43289,0.0
43290,0.059643
43291,0.829906
43292,1.0
43293,0.448244
43294,0.0
43295,0.000209
43296,0.000725
43297,0.221202
43298,0.344099
43299,0.441921
43300,0.374428
43301,0.17642
43302,0.735795
43303,0.773541
43304,0.193533
43305,0.268874
43306,0.024069
43307,0.000666
