sc_point_gid,fed_frac
37120,0.0
37807,0.0
37808,0.0
38474,0.0
38492,0.0
39158,0.004156
39159,0.0
39176,1.0
39180,0.0
39182,1.0
39841,0.010246
39842,0.001217
39843,0.0
39844,0.0
39856,0.0
39857,0.0
39858,0.0
39868,0.0
39870,0.0
39871,0.0
40525,0.001255
40526,0.000991
40527,0.0
40528,0.0
40529,0.0
40539,0.0
40540,0.0
40541,0.0
40542,0.0
40543,0.0
40544,0.0
40545,0.003817
40556,0.0
40557,0.0
40558,0.0
41209,0.0
41210,0.0
41211,0.0
41212,0.02492
41213,0.017436
41214,0.023113
41215,0.0
41216,0.0
41223,0.0
41224,0.0
41225,0.0
41226,0.0
41227,0.0
41228,0.0
41229,0.0
41230,0.0
41231,0.962963
41236,1.0
41241,0.0
41242,0.051399
41243,0.314319
41244,0.242558
41245,0.0
41246,0.0
41893,0.002475
41894,0.0
41895,0.001199
41896,0.001513
41897,0.0
41898,0.0
41899,0.004362
41900,0.0
41905,0.25
41907,0.655738
41908,0.0
41909,0.0
41910,0.0
41911,0.0
41912,0.0
41913,0.008649
41914,0.0
41915,0.0
41923,1.0
41925,0.0
41926,0.101243
41927,0.283343
41928,0.205397
41929,0.025538
41930,0.001298
41931,0.527959
41932,0.070637
41933,0.514258
41934,0.522989
42577,0.0
42578,0.000623
42579,0.016016
42580,0.0
42581,0.0
42584,0.0
42585,0.0
42586,0.0
42587,0.0
42588,0.0
42589,0.0
42590,0.571429
42591,0.0
42592,0.0
42593,0.0
42594,0.0
42595,0.0
42596,0.0
42597,0.104336
42598,0.0
42605,0.913043
42606,0.567708
42607,1.0
42608,0.0
42609,0.001294
42610,0.006456
42611,0.01191
42612,0.043288
42613,0.217801
42614,0.595095
42615,0.567265
42616,0.441043
42617,0.123193
42618,0.500444
42619,0.934884
42620,0.245405
42621,0.71134
42622,0.0
42623,0.0
43262,0.0
43263,0.0
43264,0.001052
43265,0.002584
43270,0.0
43271,0.015152
43272,0.000444
43273,0.0
43274,0.0
43275,0.0
43276,0.0
43277,0.0
43278,0.006499
43279,0.07965
43280,0.0
43281,0.090465
43282,0.0
43289,0.0
43290,0.215171
43291,0.867841
43292,0.812865
43293,0.271407
43294,0.004705
43295,0.137883
43296,0.050179
43297,0.310382
43298,0.258042
43299,0.179592
43300,0.382731
43301,0.304415
43302,0.462323
43303,0.696162
43304,0.119018
43305,0.124951
43306,0.022192
43307,0.024743
43308,0.06044
43309,0.928934
43310,0.814815
43311,0.0
43946,0.001261
43947,0.0
43948,0.000762
43949,0.008646
43955,0.0
43956,0.0
43957,0.0
43958,0.0
43959,0.0
43960,0.0
43961,0.0
43962,0.0
43963,0.000737
43965,1.0
43973,0.993399
43974,0.618729
43975,0.712121
43976,0.037736
43977,0.076923
43978,0.008925
43979,0.007687
43980,0.050043
43981,0.38009
43982,0.538953
43983,0.390964
43984,0.012203
43985,0.506646
43986,1.0
43987,0.788255
43988,0.043195
43989,0.015723
43990,0.026521
43991,0.096667
43992,0.0
43993,0.340594
43994,1.0
43995,1.0
43996,0.886525
43997,1.0
43999,1.0
44000,1.0
44629,0.0
44630,0.002678
44631,0.000918
44632,0.147541
44639,0.0
44640,0.0
44641,0.0
44642,0.0
44643,0.0
44644,0.0
44645,0.0
44646,0.0
44647,0.011747
44648,0.0125
44657,1.0
44658,0.467091
44659,0.199647
44660,0.089799
44661,0.0
44662,0.115007
44663,0.0
44664,0.057953
44665,0.1934
44666,0.33299
44667,0.728748
44668,0.653757
44669,0.577754
44670,0.994398
44671,0.836325
44672,0.003796
44673,0.06595
44674,0.232378
44675,0.21486
44676,0.530345
44677,0.266129
44678,1.0
44679,0.980173
44680,0.075734
44681,0.752788
44682,0.0
44683,0.154983
44684,0.538182
44685,0.116883
44686,0.0
44687,0.0
44688,0.783133
45313,0.0
45314,0.0
45315,0.0
45316,0.0
45317,0.0
45322,0.0
45323,0.0
45324,0.0
45325,0.0
45326,0.0
45329,0.0
45330,0.0
45331,0.006061
45332,0.0
45341,1.0
45342,0.040156
45343,0.35791
45344,0.109351
45345,0.048839
45346,0.0
45347,0.0
45348,0.0
45349,0.0
45350,0.0
45351,0.014189
45352,0.028897
45353,0.031852
45354,0.660211
45355,0.130898
45356,0.0
45357,0.0
45358,0.474701
45359,0.496489
45360,0.340741
45361,0.285624
45362,0.136364
45363,0.99359
45364,0.014035
45365,0.09732
45366,0.054545
45367,0.120226
45368,0.680115
45369,1.0
45370,1.0
45371,1.0
45372,0.885555
45373,0.937622
45374,0.619197
45375,0.891176
45377,0.25
45997,0.0
