scenario,t,capcost,fom,vom,heatrate
reference,2010,1056.716968,28.93517877,1.844220186,6.5375
reference,2011,1052.477382,28.93517877,1.844220186,6.518111111
reference,2012,1048.237795,28.93517877,1.844220186,6.498722222
reference,2013,1043.998209,28.93517877,1.844220186,6.479333333
reference,2014,1039.758622,28.93517877,1.844220186,6.459944444
reference,2015,1035.519035,28.93517877,1.844220186,6.440555556
reference,2016,1031.279449,28.93517877,1.844220186,6.421166667
reference,2017,1027.039862,28.93517877,1.844220186,6.401777778
reference,2018,1022.800275,28.93517877,1.844220186,6.382388889
reference,2019,1018.560689,28.93517877,1.844220186,6.363
reference,2020,991.4902767,29.31544641,1.821745598,6.363
reference,2021,1116.4,31.1,1.96,6.363
reference,2022,1116.4,31.1,1.96,6.363
reference,2023,1106.8,30.8,1.94,6.348
reference,2024,1097.1,30.5,1.93,6.332
reference,2025,1087.5,30.2,1.91,6.316
reference,2026,1077.8,29.9,1.9,6.3
reference,2027,1068.2,29.6,1.89,6.285
reference,2028,1058.6,29.3,1.87,6.269
reference,2029,1048.9,29,1.86,6.253
reference,2030,1039.3,28.7,1.84,6.238
reference,2031,1029.6,28.4,1.83,6.222
reference,2032,1020,28.1,1.81,6.206
reference,2033,1010.4,27.7,1.8,6.19
reference,2034,1000.7,27.4,1.79,6.175
reference,2035,991.1,27.1,1.77,6.159
reference,2036,982.9,26.9,1.76,6.159
reference,2037,974.8,26.7,1.75,6.159
reference,2038,966.6,26.5,1.74,6.159
reference,2039,958.5,26.3,1.73,6.159
reference,2040,950.3,26.1,1.72,6.159
reference,2041,942.2,25.9,1.71,6.159
reference,2042,934,25.7,1.7,6.159
reference,2043,925.9,25.5,1.69,6.159
reference,2044,917.7,25.3,1.68,6.159
reference,2045,909.5,25.1,1.67,6.159
reference,2046,901.4,24.9,1.66,6.159
reference,2047,893.2,24.7,1.65,6.159
reference,2048,885.1,24.5,1.64,6.159
reference,2049,876.9,24.3,1.63,6.159
reference,2050,868.8,24.1,1.62,6.159
conservative,2010,1056.716968,28.93517877,1.844220186,6.5375
conservative,2011,1052.477382,28.93517877,1.844220186,6.518111111
conservative,2012,1048.237795,28.93517877,1.844220186,6.498722222
conservative,2013,1043.998209,28.93517877,1.844220186,6.479333333
conservative,2014,1039.758622,28.93517877,1.844220186,6.459944444
conservative,2015,1035.519035,28.93517877,1.844220186,6.440555556
conservative,2016,1031.279449,28.93517877,1.844220186,6.421166667
conservative,2017,1027.039862,28.93517877,1.844220186,6.401777778
conservative,2018,1022.800275,28.93517877,1.844220186,6.382388889
conservative,2019,1018.560689,28.93517877,1.844220186,6.363
conservative,2020,991.4902767,29.31544641,1.821745598,6.363
conservative,2021,1116.4,31.1,1.96,6.363
conservative,2022,1116.4,31.1,1.96,6.363
conservative,2023,1109,30.9,1.95,6.363
conservative,2024,1101.6,30.8,1.94,6.363
conservative,2025,1094.1,30.6,1.93,6.363
conservative,2026,1086.7,30.4,1.92,6.363
conservative,2027,1079.3,30.2,1.91,6.363
conservative,2028,1071.9,30,1.9,6.363
conservative,2029,1064.5,29.9,1.89,6.363
conservative,2030,1057.1,29.7,1.88,6.363
conservative,2031,1049.7,29.5,1.87,6.363
conservative,2032,1042.2,29.3,1.86,6.363
conservative,2033,1034.8,29.1,1.85,6.363
conservative,2034,1027.4,29,1.84,6.363
conservative,2035,1020,28.8,1.84,6.363
conservative,2036,1012.6,28.6,1.83,6.363
conservative,2037,1005.2,28.4,1.82,6.363
conservative,2038,997.7,28.2,1.81,6.363
conservative,2039,990.3,28,1.8,6.363
conservative,2040,982.9,27.9,1.79,6.363
conservative,2041,975.5,27.7,1.78,6.363
conservative,2042,968.1,27.5,1.77,6.363
conservative,2043,960.7,27.3,1.76,6.363
conservative,2044,953.3,27.1,1.75,6.363
conservative,2045,945.8,27,1.74,6.363
conservative,2046,938.4,26.8,1.73,6.363
conservative,2047,931,26.6,1.72,6.363
conservative,2048,923.6,26.4,1.71,6.363
conservative,2049,916.2,26.2,1.7,6.363
conservative,2050,908.8,26.1,1.69,6.363
