*i,resourceclass
csp1_1,1
csp1_2,2
csp1_3,3
csp1_4,4
csp1_5,5
csp1_6,6
csp1_7,7
csp1_8,8
csp1_9,9
csp1_10,10
csp1_11,11
csp1_12,12
csp2_1,1
csp2_2,2
csp2_3,3
csp2_4,4
csp2_5,5
csp2_6,6
csp2_7,7
csp2_8,8
csp2_9,9
csp2_10,10
csp2_11,11
csp2_12,12
csp3_1,1
csp3_2,2
csp3_3,3
csp3_4,4
csp3_5,5
csp3_6,6
csp3_7,7
csp3_8,8
csp3_9,9
csp3_10,10
csp3_11,11
csp3_12,12
csp4_1,1
csp4_2,2
csp4_3,3
csp4_4,4
csp4_5,5
csp4_6,6
csp4_7,7
csp4_8,8
csp4_9,9
csp4_10,10
csp4_11,11
csp4_12,12
egs1_1,1
egs1_2,2
egs1_3,3
egs1_4,4
egs1_5,5
egs1_6,6
egs1_7,7
egs1_8,8
egs1_9,9
egs1_10,10
egs2_1,1
egs2_2,2
egs2_3,3
egs2_4,4
egs2_5,5
egs2_6,6
egs2_7,7
egs2_8,8
egs2_9,9
egs2_10,10
egs3_1,1
egs3_2,2
egs3_3,3
egs3_4,4
egs3_5,5
egs3_6,6
egs3_7,7
egs3_8,8
egs3_9,9
egs3_10,10
egs4_1,1
egs4_2,2
egs4_3,3
egs4_4,4
egs4_5,5
egs4_6,6
egs4_7,7
egs4_8,8
egs4_9,9
egs4_10,10
egs5_1,1
egs5_2,2
egs5_3,3
egs5_4,4
egs5_5,5
egs5_6,6
egs5_7,7
egs5_8,8
egs5_9,9
egs5_10,10
geohydro1_1,1
geohydro1_2,2
geohydro1_3,3
geohydro1_4,4
geohydro1_5,5
geohydro1_6,6
geohydro1_7,7
geohydro1_8,8
geohydro1_9,9
geohydro1_10,10
geohydro2_1,1
geohydro2_2,2
geohydro2_3,3
geohydro2_4,4
geohydro2_5,5
geohydro2_6,6
geohydro2_7,7
geohydro2_8,8
geohydro2_9,9
geohydro2_10,10
geohydro3_1,1
geohydro3_2,2
geohydro3_3,3
geohydro3_4,4
geohydro3_5,5
geohydro3_6,6
geohydro3_7,7
geohydro3_8,8
geohydro3_9,9
geohydro3_10,10
geohydro4_1,1
geohydro4_2,2
geohydro4_3,3
geohydro4_4,4
geohydro4_5,5
geohydro4_6,6
geohydro4_7,7
geohydro4_8,8
geohydro4_9,9
geohydro4_10,10
geohydro5_1,1
geohydro5_2,2
geohydro5_3,3
geohydro5_4,4
geohydro5_5,5
geohydro5_6,6
geohydro5_7,7
geohydro5_8,8
geohydro5_9,9
geohydro5_10,10
egs_nearfield_1,1
egs_nearfield_2,2
egs_nearfield_3,3
egs_nearfield_4,4
egs_nearfield_5,5
egs_nearfield_6,6
egs_nearfield_7,7
egs_nearfield_8,8
egs_nearfield_9,9
egs_nearfield_10,10
