*r,rtscbin,sc_cat,value
p1,bin1,cost,65
p1,bin1,cap,1000
p1,bin2,cost,200
p1,bin2,cap,2000
p1,bin3,cost,2000
p1,bin3,cap,20000
p2,bin1,cost,65
p2,bin1,cap,1000
p2,bin2,cost,200
p2,bin2,cap,2000
p2,bin3,cost,2000
p2,bin3,cap,20000
p3,bin1,cost,65
p3,bin1,cap,1000
p3,bin2,cost,200
p3,bin2,cap,2000
p3,bin3,cost,2000
p3,bin3,cap,20000
p4,bin1,cost,65
p4,bin1,cap,1000
p4,bin2,cost,200
p4,bin2,cap,2000
p4,bin3,cost,2000
p4,bin3,cap,20000
p5,bin1,cost,65
p5,bin1,cap,1000
p5,bin2,cost,200
p5,bin2,cap,2000
p5,bin3,cost,2000
p5,bin3,cap,20000
p6,bin1,cost,65
p6,bin1,cap,1000
p6,bin2,cost,200
p6,bin2,cap,2000
p6,bin3,cost,2000
p6,bin3,cap,20000
p7,bin1,cost,65
p7,bin1,cap,1000
p7,bin2,cost,200
p7,bin2,cap,2000
p7,bin3,cost,2000
p7,bin3,cap,20000
p8,bin1,cost,65
p8,bin1,cap,1000
p8,bin2,cost,200
p8,bin2,cap,2000
p8,bin3,cost,2000
p8,bin3,cap,20000
p9,bin1,cost,65
p9,bin1,cap,1000
p9,bin2,cost,200
p9,bin2,cap,2000
p9,bin3,cost,2000
p9,bin3,cap,20000
p10,bin1,cost,65
p10,bin1,cap,1000
p10,bin2,cost,200
p10,bin2,cap,2000
p10,bin3,cost,2000
p10,bin3,cap,20000
p11,bin1,cost,65
p11,bin1,cap,1000
p11,bin2,cost,200
p11,bin2,cap,2000
p11,bin3,cost,2000
p11,bin3,cap,20000
p12,bin1,cost,65
p12,bin1,cap,1000
p12,bin2,cost,200
p12,bin2,cap,2000
p12,bin3,cost,2000
p12,bin3,cap,20000
p13,bin1,cost,65
p13,bin1,cap,1000
p13,bin2,cost,200
p13,bin2,cap,2000
p13,bin3,cost,2000
p13,bin3,cap,20000
p14,bin1,cost,65
p14,bin1,cap,1000
p14,bin2,cost,200
p14,bin2,cap,2000
p14,bin3,cost,2000
p14,bin3,cap,20000
p15,bin1,cost,65
p15,bin1,cap,1000
p15,bin2,cost,200
p15,bin2,cap,2000
p15,bin3,cost,2000
p15,bin3,cap,20000
p16,bin1,cost,65
p16,bin1,cap,1000
p16,bin2,cost,200
p16,bin2,cap,2000
p16,bin3,cost,2000
p16,bin3,cap,20000
p17,bin1,cost,65
p17,bin1,cap,1000
p17,bin2,cost,200
p17,bin2,cap,2000
p17,bin3,cost,2000
p17,bin3,cap,20000
p18,bin1,cost,65
p18,bin1,cap,1000
p18,bin2,cost,200
p18,bin2,cap,2000
p18,bin3,cost,2000
p18,bin3,cap,20000
p19,bin1,cost,65
p19,bin1,cap,1000
p19,bin2,cost,200
p19,bin2,cap,2000
p19,bin3,cost,2000
p19,bin3,cap,20000
p20,bin1,cost,65
p20,bin1,cap,1000
p20,bin2,cost,200
p20,bin2,cap,2000
p20,bin3,cost,2000
p20,bin3,cap,20000
p21,bin1,cost,65
p21,bin1,cap,1000
p21,bin2,cost,200
p21,bin2,cap,2000
p21,bin3,cost,2000
p21,bin3,cap,20000
p22,bin1,cost,65
p22,bin1,cap,1000
p22,bin2,cost,200
p22,bin2,cap,2000
p22,bin3,cost,2000
p22,bin3,cap,20000
p23,bin1,cost,65
p23,bin1,cap,1000
p23,bin2,cost,200
p23,bin2,cap,2000
p23,bin3,cost,2000
p23,bin3,cap,20000
p24,bin1,cost,65
p24,bin1,cap,1000
p24,bin2,cost,200
p24,bin2,cap,2000
p24,bin3,cost,2000
p24,bin3,cap,20000
p25,bin1,cost,65
p25,bin1,cap,1000
p25,bin2,cost,200
p25,bin2,cap,2000
p25,bin3,cost,2000
p25,bin3,cap,20000
p26,bin1,cost,65
p26,bin1,cap,1000
p26,bin2,cost,200
p26,bin2,cap,2000
p26,bin3,cost,2000
p26,bin3,cap,20000
p27,bin1,cost,65
p27,bin1,cap,1000
p27,bin2,cost,200
p27,bin2,cap,2000
p27,bin3,cost,2000
p27,bin3,cap,20000
p28,bin1,cost,65
p28,bin1,cap,1000
p28,bin2,cost,200
p28,bin2,cap,2000
p28,bin3,cost,2000
p28,bin3,cap,20000
p29,bin1,cost,65
p29,bin1,cap,1000
p29,bin2,cost,200
p29,bin2,cap,2000
p29,bin3,cost,2000
p29,bin3,cap,20000
p30,bin1,cost,65
p30,bin1,cap,1000
p30,bin2,cost,200
p30,bin2,cap,2000
p30,bin3,cost,2000
p30,bin3,cap,20000
p31,bin1,cost,65
p31,bin1,cap,1000
p31,bin2,cost,200
p31,bin2,cap,2000
p31,bin3,cost,2000
p31,bin3,cap,20000
p32,bin1,cost,65
p32,bin1,cap,1000
p32,bin2,cost,200
p32,bin2,cap,2000
p32,bin3,cost,2000
