*r,rtscbin,sc_cat,value
p53007,bin1,cost,65
p53007,bin1,cap,1000
p53007,bin2,cost,200
p53007,bin2,cap,2000
p53007,bin3,cost,2000
p53007,bin3,cap,20000
p53029,bin1,cost,65
p53029,bin1,cap,1000
p53029,bin2,cost,200
p53029,bin2,cap,2000
p53029,bin3,cost,2000
p53029,bin3,cap,20000
p53033,bin1,cost,65
p53033,bin1,cap,1000
p53033,bin2,cost,200
p53033,bin2,cap,2000
p53033,bin3,cost,2000
p53033,bin3,cap,20000
p53035,bin1,cost,65
p53035,bin1,cap,1000
p53035,bin2,cost,200
p53035,bin2,cap,2000
p53035,bin3,cost,2000
p53035,bin3,cap,20000
p53037,bin1,cost,65
p53037,bin1,cap,1000
p53037,bin2,cost,200
p53037,bin2,cap,2000
p53037,bin3,cost,2000
p53037,bin3,cap,20000
p53053,bin1,cost,65
p53053,bin1,cap,1000
p53053,bin2,cost,200
p53053,bin2,cap,2000
p53053,bin3,cost,2000
p53053,bin3,cap,20000
p53055,bin1,cost,65
p53055,bin1,cap,1000
p53055,bin2,cost,200
p53055,bin2,cap,2000
p53055,bin3,cost,2000
p53055,bin3,cap,20000
p53057,bin1,cost,65
p53057,bin1,cap,1000
p53057,bin2,cost,200
p53057,bin2,cap,2000
p53057,bin3,cost,2000
p53057,bin3,cap,20000
p53061,bin1,cost,65
p53061,bin1,cap,1000
p53061,bin2,cost,200
p53061,bin2,cap,2000
p53061,bin3,cost,2000
p53061,bin3,cap,20000
p53067,bin1,cost,65
p53067,bin1,cap,1000
p53067,bin2,cost,200
p53067,bin2,cap,2000
p53067,bin3,cost,2000
p53067,bin3,cap,20000
p53073,bin1,cost,65
p53073,bin1,cap,1000
p53073,bin2,cost,200
p53073,bin2,cap,2000
p53073,bin3,cost,2000
p53073,bin3,cap,20000
p53003,bin1,cost,65
p53003,bin1,cap,1000
p53003,bin2,cost,200
p53003,bin2,cap,2000
p53003,bin3,cost,2000
p53003,bin3,cap,20000
p53005,bin1,cost,65
p53005,bin1,cap,1000
p53005,bin2,cost,200
p53005,bin2,cap,2000
p53005,bin3,cost,2000
p53005,bin3,cap,20000
p53009,bin1,cost,65
p53009,bin1,cap,1000
p53009,bin2,cost,200
p53009,bin2,cap,2000
p53009,bin3,cost,2000
p53009,bin3,cap,20000
p53011,bin1,cost,65
p53011,bin1,cap,1000
p53011,bin2,cost,200
p53011,bin2,cap,2000
p53011,bin3,cost,2000
p53011,bin3,cap,20000
p53013,bin1,cost,65
p53013,bin1,cap,1000
p53013,bin2,cost,200
p53013,bin2,cap,2000
p53013,bin3,cost,2000
p53013,bin3,cap,20000
p53015,bin1,cost,65
p53015,bin1,cap,1000
p53015,bin2,cost,200
p53015,bin2,cap,2000
p53015,bin3,cost,2000
p53015,bin3,cap,20000
p53023,bin1,cost,65
p53023,bin1,cap,1000
p53023,bin2,cost,200
p53023,bin2,cap,2000
p53023,bin3,cost,2000
p53023,bin3,cap,20000
p53027,bin1,cost,65
p53027,bin1,cap,1000
p53027,bin2,cost,200
p53027,bin2,cap,2000
p53027,bin3,cost,2000
p53027,bin3,cap,20000
p53031,bin1,cost,65
p53031,bin1,cap,1000
p53031,bin2,cost,200
p53031,bin2,cap,2000
p53031,bin3,cost,2000
p53031,bin3,cap,20000
p53039,bin1,cost,65
p53039,bin1,cap,1000
p53039,bin2,cost,200
p53039,bin2,cap,2000
p53039,bin3,cost,2000
p53039,bin3,cap,20000
p53041,bin1,cost,65
p53041,bin1,cap,1000
p53041,bin2,cost,200
p53041,bin2,cap,2000
p53041,bin3,cost,2000
p53041,bin3,cap,20000
p53045,bin1,cost,65
p53045,bin1,cap,1000
p53045,bin2,cost,200
p53045,bin2,cap,2000
p53045,bin3,cost,2000
p53045,bin3,cap,20000
p53049,bin1,cost,65
p53049,bin1,cap,1000
p53049,bin2,cost,200
p53049,bin2,cap,2000
p53049,bin3,cost,2000
p53049,bin3,cap,20000
p53059,bin1,cost,65
p53059,bin1,cap,1000
p53059,bin2,cost,200
p53059,bin2,cap,2000
p53059,bin3,cost,2000
p53059,bin3,cap,20000
p53069,bin1,cost,65
p53069,bin1,cap,1000
p53069,bin2,cost,200
p53069,bin2,cap,2000
p53069,bin3,cost,2000
p53069,bin3,cap,20000
p53071,bin1,cost,65
p53071,bin1,cap,1000
p53071,bin2,cost,200
p53071,bin2,cap,2000
p53071,bin3,cost,2000
p53071,bin3,cap,20000
p53077,bin1,cost,65
p53077,bin1,cap,1000
p53077,bin2,cost,200
p53077,bin2,cap,2000
p53077,bin3,cost,2000
p53077,bin3,cap,20000
p53001,bin1,cost,65
p53001,bin1,cap,1000
p53001,bin2,cost,200
p53001,bin2,cap,2000
p53001,bin3,cost,2000
p53001,bin3,cap,20000
