region,capacity_MW,cum_cost_$,slope_$/kW
p64,18.395181,0.0,
p64,18.694236,114463990.559,382.7523049572831
p64,20.748264,907304811.9760001,385.9931906561159
p64,22.622047,1643645994.469,392.9703612921028
p64,23.772958,2628994319.4110003,856.1464135298033
p64,24.000448,3067805398.096,1928.9246942063426
p64,24.02535,3151327929.3240004,3354.0491216768633
p64,24.025789,3175874437.8830004,55914.59808427253
p60,10.122161,1970438554.769,
p60,11.8691,0.0,-1127.9378128080034
p60,12.4329,767976587.457,1362.1436457201123
p60,12.476908,855604755.6110001,1991.1872421832484
p60,12.754935,1563955258.588,2547.7759461383266
p60,12.78238,1671172354.938,3906.616737110558
p65,16.944069,0.0,
p65,18.384130000000003,241383980.851,167.62066388229346
p65,18.817252,602090435.2969999,832.8056631757383
p65,18.894895,837427049.8929999,3031.008778589109
p65,19.289016,5245451591.69,11184.44473092532
p63,23.089008999999997,0.0,
p63,28.493168,386234699.833,71.46989935584793
p63,28.961292,687741382.969,644.0743972451749
p63,29.187818,1233062578.915,2407.322761828667
p63,29.491341000000002,2193757029.823,3165.145477963758
p63,29.742103999999998,4116689919.9049997,7668.327823809866
p61,4.410552,0.0,
p61,6.210939000000001,248345397.42,137.940008131585
p61,6.624522,332116199.004,202.5489480563761
p61,7.396416,738882603.4430001,526.9718438529122
p61,7.962903,1487868578.0720003,1322.1591574546296
p62,4.2794229999999995,345584498.255,
p62,5.357201,0.0,-320.6453446396195
p62,5.940863,1187948171.1699998,2035.3358127991871
p62,6.078123,1517508685.445,2400.9945670625184
p62,6.079435999999999,1803040982.712,217465.5729376013
