r,rr,status,trtype,t,MW
p3,p17,Possible,VSC,0,100000
p5,p10,Possible,LCC,0,100000
p9,p12,Possible,VSC,0,100000
p10,p25,Possible,LCC,0,100000
p10,p27,Possible,VSC,0,100000
p10,p28,Possible,VSC,0,100000
p12,p25,Possible,VSC,0,100000
p13,p25,Possible,VSC,0,100000
p15,p21,Possible,VSC,0,100000
p16,p21,Possible,VSC,0,100000
p17,p20,Possible,VSC,0,100000
p20,p35,Possible,VSC,0,100000
p21,p24,Possible,VSC,0,100000
p21,p25,Possible,VSC,0,100000
p24,p39,Possible,VSC,0,100000
p27,p28,Possible,VSC,0,100000
p28,p31,Possible,VSC,0,100000
p31,p34,Possible,VSC,0,100000
p31,p47,Possible,VSC,0,100000
p31,p48,Possible,VSC,0,100000
p33,p34,Possible,VSC,0,100000
p34,p52,Possible,VSC,0,100000
p35,p36,Possible,VSC,0,100000
p36,p37,Possible,VSC,0,100000
p37,p42,Possible,VSC,0,100000
p37,p43,Possible,LCC,0,100000
p37,p43,Possible,VSC,0,100000
p38,p39,Possible,VSC,0,100000
p38,p43,Possible,VSC,0,100000
p38,p45,Possible,VSC,0,100000
p39,p40,Possible,VSC,0,100000
p40,p41,Possible,VSC,0,100000
p40,p52,Possible,VSC,0,100000
p41,p70,Possible,VSC,0,100000
p44,p68,Possible,VSC,0,100000
p45,p70,Possible,VSC,0,100000
p47,p48,Possible,VSC,0,100000
p48,p49,Possible,VSC,0,100000
p48,p50,Possible,VSC,0,100000
p49,p53,Possible,VSC,0,100000
p50,p51,Possible,VSC,0,100000
p50,p53,Possible,VSC,0,100000
p50,p57,Possible,VSC,0,100000
p50,p60,Possible,VSC,0,100000
p50,p85,Possible,VSC,0,100000
p51,p55,Possible,VSC,0,100000
p52,p53,Possible,VSC,0,100000
p53,p54,Possible,VSC,0,100000
p54,p55,Possible,VSC,0,100000
p54,p70,Possible,VSC,0,100000
p54,p71,Possible,VSC,0,100000
p55,p85,Possible,VSC,0,100000
p57,p63,Possible,VSC,0,100000
p57,p85,Possible,VSC,0,100000
p58,p87,Possible,VSC,0,100000
p60,p61,Possible,VSC,0,100000
p60,p62,Possible,VSC,0,100000
p63,p64,Possible,VSC,0,100000
p63,p67,Possible,VSC,0,100000
p64,p65,Possible,VSC,0,100000
p70,p80,Possible,VSC,0,100000
p70,p81,Possible,VSC,0,100000
p71,p81,Possible,VSC,0,100000
p72,p81,Possible,VSC,0,100000
p72,p84,Possible,VSC,0,100000
p80,p81,Possible,VSC,0,100000
p80,p105,Possible,VSC,0,100000
p81,p82,Possible,VSC,0,100000
p82,p83,Possible,VSC,0,100000
p83,p107,Possible,VSC,0,100000
p84,p85,Possible,VSC,0,100000
p85,p87,Possible,VSC,0,100000
p85,p92,Possible,VSC,0,100000
p87,p90,Possible,VSC,0,100000
p90,p91,Possible,VSC,0,100000
p91,p101,Possible,VSC,0,100000
p92,p93,Possible,VSC,0,100000
p92,p94,Possible,VSC,0,100000
p92,p108,Possible,VSC,0,100000
p92,p109,Possible,VSC,0,100000
p94,p97,Possible,VSC,0,100000
p94,p101,Possible,VSC,0,100000
p97,p98,Possible,VSC,0,100000
p98,p99,Possible,VSC,0,100000
p105,p112,Possible,VSC,0,100000
p107,p108,Possible,VSC,0,100000
p107,p112,Possible,VSC,0,100000
p112,p115,Possible,VSC,0,100000
p112,p116,Possible,VSC,0,100000
p115,z122,Possible,VSC,0,100000
z122,p127,Possible,VSC,0,100000
p127,p128,Possible,VSC,0,100000
p127,p131,Possible,VSC,0,100000
p127,p132,Possible,VSC,0,100000
