t,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
8_linear_2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,8000,8000,16000,24000,32000,40000,48000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000
8_linear_2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,8000,8000,16000,24000,32000,40000,48000,56000,64000,72000,80000,88000,96000,104000,112000,120000,128000,136000,144000,152000,160000,168000,176000,184000,192000,200000
aggressive,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,16000,24000,32000,40000,48000,700000,700000,700000,700000,1000000,1000000,1000000,1000000,1000000,1300000,1300000,1300000,1300000,1300000,1500000,1500000,1500000,1500000,1500000
2_linear_2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2000,2000,4000,6000,8000,10000,12000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
2_linear_2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2000,2000,4000,6000,8000,10000,12000,14000,16000,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,46000,48000,50000
4_linear_2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,4000,4000,8000,12000,16000,20000,24000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
4_linear_2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,4000,4000,8000,12000,16000,20000,24000,28000,32000,36000,40000,44000,48000,52000,56000,60000,64000,68000,72000,76000,80000,84000,88000,92000,96000,100000
6_linear_2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,6000,12000,18000,24000,30000,36000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000
6_linear_2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,6000,12000,18000,24000,30000,36000,42000,48000,54000,60000,66000,72000,78000,84000,90000,96000,102000,108000,114000,120000,126000,132000,138000,144000,150000
2_linear_unconstrained_after_2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2000,2000,4000,6000,8000,10000,12000,14000,16000,18000,20000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000
4_linear_unconstrained_after_2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,4000,4000,8000,12000,16000,20000,24000,28000,32000,36000,40000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000
6_linear_unconstrained_after_2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,6000,12000,18000,24000,30000,36000,42000,48000,54000,60000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000
8_linear_unconstrained_after_2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,8000,8000,16000,24000,32000,40000,48000,56000,64000,72000,80000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000
6_midpoint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2292.852664,11599.99552,21242.85266,31221.42408,41535.70979,52185.70978,63171.42407,74492.85263,86149.99549,98142.85262,110471.424,123135.7098,136135.7098,149471.424,163142.8526,177149.9955,191492.8526,206171.424,221185.7097,236535.7097,252221.424,268242.8526,284599.9954,301292.8526
6_weighted_high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9039.993723,20139.99372,31709.99371,43749.9937,56259.9937,69239.99369,82689.99369,96609.99368,110999.9937,125859.9937,141189.9937,156989.9937,173259.9936,189999.9936,207209.9936,224889.9936,243039.9936,261659.9936,280749.9936,300309.9936,320339.9936,340839.9936,361809.9936,383249.9936
6_weighted_low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6175.711598,14159.99731,22345.71159,30732.85445,39321.42587,48111.42587,57102.85444,66295.71158,75689.99729,85285.71157,95082.85443,105081.4259,115281.4259,125682.8544,136285.7116,147089.9973,158095.7116,169302.8544,180711.4258,192321.4258,204132.8544,216145.7115,228359.9973,240775.7115,253392.8544
