tech,year,lcoe_base
Onshore Wind,2022,33.04181395
Onshore Wind,2023,34.47051781
Onshore Wind,2024,32.49719387
Onshore Wind,2025,30.60014924
Onshore Wind,2026,29.81034435
Onshore Wind,2027,29.03213901
Onshore Wind,2028,28.26527955
Onshore Wind,2029,27.50951962
Onshore Wind,2030,26.76461999
Onshore Wind,2031,26.48965316
Onshore Wind,2032,26.21513014
Onshore Wind,2033,25.94104983
Onshore Wind,2034,25.66741119
Onshore Wind,2035,25.39421314
Onshore Wind,2036,25.12145462
Onshore Wind,2037,24.84913456
Onshore Wind,2038,24.57725192
Onshore Wind,2039,24.30580564
Onshore Wind,2040,24.03479466
Onshore Wind,2041,23.76421795
Onshore Wind,2042,23.49407446
Onshore Wind,2043,23.22436314
Onshore Wind,2044,22.95508298
Onshore Wind,2045,22.68623292
Onshore Wind,2046,22.41781194
Onshore Wind,2047,22.14981902
Onshore Wind,2048,21.88225313
Onshore Wind,2049,21.61511325
Onshore Wind,2050,21.34839837
Offshore Wind,2022,120.5254272
Offshore Wind,2023,115.3521461
Offshore Wind,2024,111.7232518
Offshore Wind,2025,108.9901157
Offshore Wind,2026,106.7799135
Offshore Wind,2027,104.9562256
Offshore Wind,2028,98.02549082
Offshore Wind,2029,91.33034691
Offshore Wind,2030,84.8095987
Offshore Wind,2031,77.75321521
Offshore Wind,2032,71.00501969
Offshore Wind,2033,69.77642358
Offshore Wind,2034,68.71942454
Offshore Wind,2035,67.76372779
Offshore Wind,2036,67.14444577
Offshore Wind,2037,66.5495617
Offshore Wind,2038,66.00234138
Offshore Wind,2039,65.48491326
Offshore Wind,2040,65.00753946
Offshore Wind,2041,64.553796
Offshore Wind,2042,64.12135391
Offshore Wind,2043,63.72140511
Offshore Wind,2044,63.32574568
Offshore Wind,2045,62.9591605
Offshore Wind,2046,62.60716029
Offshore Wind,2047,62.26854677
Offshore Wind,2048,61.95509231
Offshore Wind,2049,61.64027474
Offshore Wind,2050,61.34871671
UPV,2022,46.83847599
UPV,2023,49.0151942
UPV,2024,46.99917725
UPV,2025,45.00891914
UPV,2026,43.04390981
UPV,2027,41.10365359
UPV,2028,39.1876686
UPV,2029,37.29548627
UPV,2030,35.42665079
UPV,2031,33.58071865
UPV,2032,31.75725818
UPV,2033,29.95584913
UPV,2034,28.17608223
UPV,2035,26.41755884
UPV,2036,25.93020828
UPV,2037,25.44683877
UPV,2038,24.96740124
UPV,2039,24.49184747
UPV,2040,24.02013001
UPV,2041,23.5522022
UPV,2042,23.08801814
UPV,2043,22.62753268
UPV,2044,22.17070139
UPV,2045,21.71748057
UPV,2046,21.26782722
UPV,2047,20.82169902
UPV,2048,20.37905433
UPV,2049,19.93985217
UPV,2050,19.50405219
Nuclear,2022,84.3967952
Nuclear,2023,84.3967952
Nuclear,2024,84.3967952
Nuclear,2025,84.3967952
Nuclear,2026,84.3967952
Nuclear,2027,84.3967952
Nuclear,2028,84.3967952
Nuclear,2029,84.3967952
Nuclear,2030,84.3967952
Nuclear,2031,83.97000991
Nuclear,2032,83.54322463
Nuclear,2033,83.11643934
Nuclear,2034,82.68965406
Nuclear,2035,82.26286877
Nuclear,2036,80.98251292
Nuclear,2037,79.70215706
Nuclear,2038,78.42180121
Nuclear,2039,77.14144535
Nuclear,2040,75.86108949
Nuclear,2041,75.00751892
Nuclear,2042,74.15394835
Nuclear,2043,73.30037778
Nuclear,2044,72.44680721
Nuclear,2045,71.59323664
Nuclear,2046,70.73966607
Nuclear,2047,69.8860955
Nuclear,2048,69.03252493
Nuclear,2049,68.17895436
Nuclear,2050,67.32538379
Gas-CC,2022,63.03790497
Gas-CC,2023,53.89116043
Gas-CC,2024,46.44376278
Gas-CC,2025,42.33531153
Gas-CC,2026,39.06744464
Gas-CC,2027,36.99443671
Gas-CC,2028,36.03723094
Gas-CC,2029,35.81757461
Gas-CC,2030,35.8502928
Gas-CC,2031,36.08059524
Gas-CC,2032,36.39168033
