order,color
inputs/copy_files.py,#393B79
inputs/aggregate_regions.py,#5254A3
inputs/calc_financial_inputs.py,#6B6ECF
inputs/fuelcostprep.py,#9C9EDE
inputs/writecapdat.py,#637939
inputs/writesupplycurves.py,#8CA252
inputs/plantcostprep.py,#B5CF6B
inputs/climateprep.py,#CEDB9C
inputs/hourly_load.py,#8C6D31
inputs/recf.py,#BD9E39
inputs/forecast.py,#E7BA52
inputs/writehintage.py,#E7CB94
inputs/transmission.py,#7B4173
inputs/outage_rates.py,#A55194
inputs/hourly_repperiods.py,#CE6DBD
inputs/check_inputs.py,#DE9ED6
a_createmodel.gms,#31A354
d_solveoneyear.gms,#843C39
solver/barrier,#AD494A
solver/crossover,#D6616B
solver/remainder,#E7969C
ra/prep_data.py,#3182BD
ra/stress_periods.py,#6BAED6
ra/capacity_credit.py,#9ECAE1
reeds2pras,#E6550D
pras,#FD8D3C
report.gms,#74C476
report_dump.py,#A1D99B
retail_rate_calculations.py,#C7E9C0
