seed,strategy,step,n_train,n_outputs_used,r2_mean,r2_median,r2_p25,r2_p75,n_above_0_9
0,random,0,30,84,0.2789655415210527,0.2688075984775038,0.00345391377079321,0.4683861729810026,0
0,random,1,40,84,0.3318219302180613,0.31235273030001265,0.06398516391767681,0.5336719086708519,0
0,random,2,50,84,0.3574865308436661,0.38431921019302606,0.08773675071154663,0.576454683943341,0
0,random,3,60,84,-0.8892380685488019,0.4282581908355767,0.2385645450542355,0.5826452137639401,0
0,random,4,70,84,-14.843508602752928,0.5129422403035585,0.22667569967009948,0.6525338032366595,0
0,random,5,80,84,-15.717473227620522,0.5024376097644374,0.2434472135011146,0.6376535454822505,0
0,random,6,90,84,-15.356483746646884,0.5165153567983785,0.2668539891831707,0.6673136895691405,0
0,random,7,100,84,-15.92563898938333,0.5321391929193651,0.27381646593478715,0.6798096013736126,0
0,random,8,110,84,-15.03812127677255,0.5362009153085754,0.2670421068485235,0.6921770790231561,0
0,random,9,120,84,-14.011846819422473,0.5625786892530407,0.2990733478318246,0.6888021709278902,1
0,random,10,130,84,-9.511781701957247,0.5836574459801589,0.33055314969848193,0.7109670361073696,2
0,random,11,140,84,-8.783825951981182,0.597339401194507,0.34884492923785093,0.7189079311141032,3
0,random,12,150,84,-4.22932079920739,0.6023662046133,0.3338474103319258,0.729526165556343,6
0,random,13,160,84,-3.938081021413965,0.6025959714362106,0.3231842803100163,0.727943963804381,6
0,random,14,170,84,-4.133534129492283,0.6048230808298318,0.3309589665716365,0.7303725596738996,6
0,random,15,180,84,-3.6028232050827556,0.6125499139553863,0.3557194902575638,0.7400712698501859,6
0,random,16,190,84,-3.287662124864161,0.623826928855999,0.36199523163757097,0.7533909937954246,6
0,random,17,200,84,-3.4161999136763477,0.6378803090577344,0.37692437459075123,0.7561784225897081,6
0,random,18,210,84,-3.906853526880489,0.6426584861103928,0.37210946137334155,0.8055359277483802,6
0,random,19,220,84,-16.749293475609363,0.6597132412034579,0.40658662085536595,0.7618791694281247,6
0,random,20,230,84,-16.453891160064003,0.6604208817625258,0.40037646848573005,0.7616948237881508,7
0,uncertainty,0,30,84,0.2789655415210521,0.26880759847750363,0.0034539137707930434,0.4683861729810026,0
0,uncertainty,1,40,84,0.3371433037221703,0.3320798454450196,0.10228108553101423,0.5491976698538839,0
0,uncertainty,2,50,84,0.38098786375488153,0.39246282820506856,0.1893423532187077,0.5643456374639612,1
0,uncertainty,3,60,84,-14.736894026593674,0.4292810299006801,0.22409899291810284,0.6109286310228845,1
0,uncertainty,4,70,84,-16.296052024096177,0.42165846023809517,0.21480131405959269,0.6176469224611338,1
0,uncertainty,5,80,84,-35.64769097899112,0.5039265093199126,0.24475310181647347,0.6235303474163896,2
0,uncertainty,6,90,84,-38.936943059398786,0.5925162952558563,0.3221387187987354,0.7327235942591545,2
0,uncertainty,7,100,84,-36.895941231034215,0.5647115544866332,0.3236609515397585,0.6801081077234963,2
0,uncertainty,8,110,84,-28.575639603601974,0.5750257913059569,0.38322452765846393,0.7459670983972575,2
0,uncertainty,9,120,84,-29.697134337707105,0.5893162253412342,0.40997144346933556,0.7364691138736037,2
0,uncertainty,10,130,84,-27.873241416253855,0.607316267674376,0.4431472258909971,0.7534119260032852,2
0,uncertainty,11,140,84,-24.91187592971131,0.603699562515706,0.45645439500325524,0.7774728683867427,5
0,uncertainty,12,150,84,-21.561208153894306,0.6366080809594952,0.4491132648857128,0.793038301679634,5
0,uncertainty,13,160,84,-20.507208663171003,0.6322577882928933,0.48327408261595584,0.7990918063163183,5
0,uncertainty,14,170,84,-22.72920795430852,0.6499760405808309,0.46990207555252533,0.7988815010898792,5
0,uncertainty,15,180,84,-21.150294000109348,0.684142292660243,0.4377658369018672,0.8121697497413216,5
0,uncertainty,16,190,84,-20.149877238529555,0.6770039097303799,0.4402341313708201,0.8070030241224515,5
0,uncertainty,17,200,84,-19.026905522265356,0.6948305559370149,0.4254536514212086,0.8114922467597223,8
0,uncertainty,18,210,84,-19.442263336443705,0.7226836965955268,0.42912478754606986,0.822379779666793,9
0,uncertainty,19,220,84,-21.28234170517442,0.7153012982151137,0.4401639565267435,0.8539052889183045,14
0,uncertainty,20,230,84,-19.525772413557764,0.720620387025465,0.4261816931863164,0.8707823085094478,14
1,random,0,30,82,0.24405646108220155,0.13901003017126567,0.03193004619166659,0.44907883779458857,0
1,random,1,40,82,-9.273602546647547,0.29125382989280396,0.11532964358339548,0.5011300352219754,0
1,random,2,50,82,-8.115179405418624,0.3030102446463157,0.026505175963960792,0.4962075907890588,0
1,random,3,60,82,-4.6982960939510905,0.40278694800755077,0.18999628535661542,0.5580949520432481,0
1,random,4,70,82,-2.7327954492767796,0.4282568932377674,0.229153418208711,0.6199905806614504,0
1,random,5,80,82,-4.451376642196863,0.46316528498255355,0.27493647793342973,0.6763688205031101,0
1,random,6,90,82,-4.202799108818816,0.5075022277625678,0.2832359826156984,0.7200541653035422,0
1,random,7,100,82,-3.7834487581130016,0.4786594734577803,0.27082377732599444,0.7294350179455351,0
1,random,8,110,82,-4.0157608912663285,0.4784099026671178,0.24105539169761425,0.7169097365733992,0
1,random,9,120,82,-6.070215587754548,0.4606390950155048,0.24482776898136455,0.722347662053008,0
1,random,10,130,82,-6.804000684452418,0.457034106113062,0.25235670196639703,0.7367890145561926,1
1,random,11,140,82,-6.735785629483652,0.48224947714842725,0.26854312215151854,0.743855390268369,1
1,random,12,150,82,-5.617102883722134,0.48989540160783457,0.28717874346876143,0.7441895978211701,1
1,random,13,160,82,-26.95021779996767,0.5734834394778823,0.346901237355531,0.7456091848195124,1
1,random,14,170,82,-16.79773111487892,0.5591665494156985,0.3273926682278795,0.7520489338767213,3
1,random,15,180,82,-21.356373832705643,0.5851741476891734,0.31853673153276896,0.7588360155675603,3
1,random,16,190,82,-19.94423145752041,0.5866361821682564,0.3580026377216421,0.7610117004849519,4
1,random,17,200,82,-14.989229545141805,0.6219666833045945,0.3420016357440335,0.7557208164746783,5
1,random,18,210,82,-19.020903107114094,0.6386449683483685,0.3408258290355469,0.7641438949152107,5
1,random,19,220,82,-18.500716399807427,0.6430503327926576,0.3466854474583767,0.7859783670033792,5
1,random,20,230,82,-18.615176967232195,0.6486534891104931,0.3410064678672796,0.8000389366495237,7
1,uncertainty,0,30,82,0.2440564610822018,0.13901003017126567,0.03193004619166659,0.4490788377945886,0
1,uncertainty,1,40,82,-54.98487897572791,0.17055218883000206,0.021993341637384867,0.4336552326820534,0
1,uncertainty,2,50,82,-48.611143106814126,0.21694987877629773,0.07212198190054392,0.47802922211654875,0
1,uncertainty,3,60,82,-20.192977089078852,0.2662793910002126,0.10503829252445179,0.4805068817764443,0
1,uncertainty,4,70,82,-62.330014309190766,0.2777448974496347,0.07821030975740059,0.5750485785419979,0
1,uncertainty,5,80,82,-64.88736586830896,0.33587219752792996,0.17134184546443915,0.5997179209984072,0
1,uncertainty,6,90,82,-72.04160365866896,0.394776329336708,0.16972617731596942,0.6184133953845573,0
1,uncertainty,7,100,82,-71.06212379435011,0.4084543141525556,0.17527467665176913,0.6188653041745363,0
1,uncertainty,8,110,82,-67.60704607503352,0.4016619421963115,0.17493353077330387,0.6145116061431114,0
1,uncertainty,9,120,82,-65.9639615199846,0.4321333740743849,0.17193871561384158,0.6454527668661132,0
1,uncertainty,10,130,82,-69.63102592747185,0.46098743257471236,0.1757531676285534,0.6716401319812306,0
1,uncertainty,11,140,82,-34.98147479296438,0.4930081051003977,0.23310784728919243,0.6656378799400069,0
1,uncertainty,12,150,82,-35.066121067045636,0.5417386520886598,0.2721407116759626,0.7071818957169305,1
1,uncertainty,13,160,82,-36.4537714739737,0.5836533787739614,0.28428554587318,0.7353548171916968,1
1,uncertainty,14,170,82,-35.91708577098104,0.6156647358470828,0.32856921386778143,0.7623596651983714,3
1,uncertainty,15,180,82,-68.08759002113293,0.5918162819366495,0.2472970651448946,0.7469561973144009,3
1,uncertainty,16,190,82,-34.996634992518494,0.5676823060239717,0.2939621503504316,0.7802600208618267,3
1,uncertainty,17,200,82,-34.21415045016594,0.6044624446844651,0.3424273789988491,0.7991589976107951,8
1,uncertainty,18,210,82,-33.17785097292855,0.6307249185370767,0.32840615392377304,0.8088816864817345,9
1,uncertainty,19,220,82,-64.53412251704081,0.6426530436746278,0.38737908021226175,0.8221067833675615,10
1,uncertainty,20,230,82,-66.69258920090915,0.6558567247588543,0.4121827100980163,0.8197717858108483,10
2,random,0,30,85,0.3014941782972898,0.3125416316352193,0.07542639792446504,0.47849325686110633,0
2,random,1,40,85,0.3036136014996905,0.2788628036957892,0.0571988175919973,0.5129097324265012,0
2,random,2,50,85,0.3820342669580365,0.34479275424290057,0.16026063441685479,0.5873953637843208,0
2,random,3,60,85,0.41159233520886757,0.39752195149928116,0.203381822254049,0.6149854571072606,0
2,random,4,70,85,0.44013810868029435,0.4116148258782776,0.23467192768377887,0.6460142987630063,0
2,random,5,80,85,0.42888271413521645,0.39157821018611527,0.2235473391602648,0.6437425036562905,1
2,random,6,90,85,0.4481190342232354,0.46267190832649874,0.23518149807833144,0.6671215748563195,1
2,random,7,100,85,0.46900214751203706,0.5257764658348462,0.2820987415725542,0.6628970809261061,2
2,random,8,110,85,0.4552623335302147,0.5088474230647503,0.2509523953009355,0.7162091937430487,3
2,random,9,120,85,0.5068703145689031,0.590779707192106,0.3537373396017418,0.6983424103293894,6
2,random,10,130,85,0.5193624623800508,0.5847981063149944,0.32383019404351143,0.7187461778193238,5
2,random,11,140,85,0.5382416448115954,0.6069745798906427,0.3945679891180891,0.7420858656424955,8
2,random,12,150,85,0.5557764122315118,0.6502753951791669,0.36898786026153696,0.726923741713888,6
2,random,13,160,85,0.5733323050148302,0.6652150644378882,0.40541312714688094,0.7828868528868105,9
2,random,14,170,85,0.5559556915945246,0.6580471253895932,0.3791776340310773,0.7920454678950428,9
2,random,15,180,85,0.5667868959349371,0.6605091592932335,0.38955214858748033,0.7954131862835787,9
2,random,16,190,85,0.5866545287156573,0.685633247125301,0.4148780309698692,0.7721787140947094,9
2,random,17,200,85,0.5602177429778308,0.6043138863342624,0.3817091678348489,0.775927120650702,7
2,random,18,210,85,0.6053154658537602,0.665440564886876,0.446883075028057,0.7943417861707065,9
2,random,19,220,85,0.5926244213934119,0.6664128175186756,0.454475501674113,0.781939622578147,7
2,random,20,230,85,0.6085820280115981,0.6873093868519559,0.48914889388277283,0.8000010725620664,9
2,uncertainty,0,30,85,0.30149417829729,0.3125416316352193,0.07542639792446504,0.4784932568611062,0
2,uncertainty,1,40,85,0.30234039564084214,0.34135059752052854,0.048876318526489215,0.5421608622607874,0
2,uncertainty,2,50,85,0.40291101564836507,0.4410592394226813,0.22530020533789885,0.5377876441828031,0
2,uncertainty,3,60,85,0.4249715428445323,0.4852953419221375,0.24814508401275848,0.5926515393521741,0
2,uncertainty,4,70,85,0.46163747315202075,0.5268121367361007,0.2704547777680193,0.6876248137672604,0
2,uncertainty,5,80,85,0.4996093935887941,0.597938559783461,0.2925768001395208,0.7294905302750827,1
2,uncertainty,6,90,85,0.5232516306599376,0.6087433522417864,0.30712127011207,0.7289073664860583,1
2,uncertainty,7,100,85,0.5145351226881894,0.5864280147651387,0.3163550145043209,0.7341244959012155,1
2,uncertainty,8,110,85,0.5161239434391027,0.5970269273749038,0.3182825340115878,0.7530158575074689,2
2,uncertainty,9,120,85,0.5243316327430623,0.6038899529011856,0.32346085006561365,0.7531986752927358,2
2,uncertainty,10,130,85,0.550681135940536,0.6404215437517597,0.32773240094366773,0.8038249196680259,2
2,uncertainty,11,140,85,0.5484189646675476,0.613982715830534,0.33546192842733313,0.7843187875036302,4
2,uncertainty,12,150,85,0.5466723078347695,0.632066353454064,0.33488358487486736,0.7778686006398756,4
2,uncertainty,13,160,85,0.5563862445598734,0.6465925387134845,0.32718965699902536,0.8138538477211611,4
2,uncertainty,14,170,85,0.5580703730388208,0.6591633297722068,0.3571406215686942,0.8280968967975811,5
2,uncertainty,15,180,85,0.5499463954409126,0.6419186922344264,0.3547669509875717,0.8338779960767932,9
2,uncertainty,16,190,85,0.5676822915310422,0.6570497308861619,0.36450892616297614,0.8269656389185058,10
2,uncertainty,17,200,85,0.5785146778105609,0.6859009181283118,0.3802657753929387,0.8413365938046057,12
2,uncertainty,18,210,85,0.5868070581868156,0.6776490192721653,0.37224656511330967,0.8438678997339495,12
2,uncertainty,19,220,85,0.5836539063836279,0.6851388280338379,0.36703787918322917,0.8461821507910221,13
2,uncertainty,20,230,85,0.6044493241477598,0.6984467138121992,0.38190015902929886,0.8551300114029095,14
