output,r2,rmse,mae,nrmse
cap_CoalOldScr,0.6444225684041589,287.61456402856027,201.51858529710606,0.12296615772601796
cap_CoalOldScr_coal-CCS_mod,0.5992815242335447,1095.1818158612984,785.9918945250535,0.15876565744730076
cap_Gas-CC_Gas-CC-CCS_mod,0.19653911876938135,849.6683377453212,172.83557266199549,0.09090169914783217
cap_Gas-CC_H2-CC,0.4529291158697366,165.78729122037095,48.41571139403233,0.08318434478246739
cap_H2-CC,0.6036704622349629,515.356210212421,176.22641683348593,0.08343177601086484
cap_H2-CT,0.6861400493828871,887.0223450985171,283.61077450177055,0.061410725653224266
cap_battery_li,0.8466871210681527,3479.7281528144863,2619.1683640013607,0.09839600613880485
cap_coal-ccs_mod,0.773724594033594,757.9943595244952,533.2016227521484,0.12505832554578705
cap_electrolyzer,0.6919480126018612,676.3325355118635,233.90092267395173,0.07045673059845821
cap_gas-cc,0.8558573063366658,7187.295690761423,5527.414985377658,0.09485376066229093
cap_gas-cc-ccs_mod,0.6862842306122262,2342.6632927362402,1051.7580664489303,0.0753214164460916
cap_gas-ct,0.8156869170152897,5312.971456196771,4155.401650800337,0.08575981872095709
cap_hydUD,0.2483786564425059,0.9557084265524881,0.2756669410170178,0.15928473775874802
cap_nuclear,-0.5571536420096224,4.645002536627806,0.4503234040609955,0.05654579742218965
cap_nuclear-smr,-0.21523870903964126,281.28782818853233,56.77091798024593,0.09759756501009281
cap_o-g-s,0.3371501691198614,324.59287716978207,225.95916057465837,0.26479677998041484
cap_pumped-hydro,0.20224927807049375,103.23581412712707,19.61569389455577,0.076310410558012
cap_upv_2,0.5406199873643123,432.3972579702801,181.70017952236756,0.09298701605723268
cap_upv_3,0.8646262064395543,8672.031580969908,6280.455593136819,0.0827170035352024
cap_upv_4,0.8266427426340992,7594.215131488792,5733.748738913974,0.08982205163310422
cap_upv_5,0.34703045743532523,1399.2056098991613,956.183699923981,0.16368442964665733
cap_wind-ons_10,0.8851026183872769,9617.22619516192,7353.193559981214,0.08712236036965662
cap_wind-ons_3,0.6028676628933083,548.2092730006202,227.7939042943903,0.08209183483088053
cap_wind-ons_4,-0.31973798986416924,158.25340958835574,22.827582327753294,0.054382614978816406
cap_wind-ons_5,0.8189957804992044,637.8213945038685,454.5718553334376,0.17283212285460656
cap_wind-ons_6,0.752293629595987,2692.2813861703853,1908.1275203945556,0.09624461316704509
cap_wind-ons_7,0.8306658835388682,3939.4458501447343,2705.40140225904,0.11571630390508561
cap_wind-ons_8,0.8497209661219935,3940.499899685837,2653.772077647852,0.11894600893612621
cap_wind-ons_9,0.8576312560139456,2775.781475390875,2152.1248722118708,0.08615058167539584
gen_CoalOldScr,0.7959678020208211,698804.2810183233,421743.7701161789,0.08577234317312758
gen_CoalOldScr_coal-CCS_mod,0.5992815242259605,575627.5624252509,413117.33976671746,0.15876565744703225
gen_Gas-CC_Gas-CC-CCS_mod,0.19283343076673365,6163724.346961391,1244274.128507116,0.08984130242337524
gen_Gas-CC_H2-CC,0.2227071946720528,170559.86061720172,37198.31793068055,0.05957617395674056
gen_H2-CC,0.6036704622327658,270871.2240877165,92624.60468662121,0.08343177600460004
gen_H2-CT,0.6861400493914857,466218.94458201394,149065.82308218305,0.06141072565337822
gen_battery_li,0.8704227914847922,1117881.422381618,831317.6065784883,0.09516724765568549
gen_coal-ccs_mod,0.8312347333083281,3438329.0902764946,1849483.7299102328,0.08958845000697345
gen_distpv,0.8599981882889989,668709.5140317163,432850.5223331193,0.15597086414403272
gen_gas-cc,0.9112510918198813,39283337.59888625,29135876.53764917,0.09284438686387533
gen_gas-cc-ccs_mod,0.6312632461089618,14734810.96174909,5308110.477868282,0.07611844979474282
gen_gas-ct,0.7128210881317124,8634200.482357226,5201230.894608643,0.07554411390864883
gen_hydED,0.7800357904280191,12179.17406882168,7368.851322587877,0.1506492416859442
gen_hydEND,0.6675810875394947,210.7196140196544,136.03409014958885,0.17113243720881283
gen_hydUD,0.28915233562726417,1809.34315889753,522.9967109061614,0.14288505461750473
gen_lfill-gas,0.73723840141395,4076.037167714045,3175.2894932936865,0.09017724137813833
gen_nuclear,0.7408916762624962,431961.4988035116,334898.4053686999,0.08591030958728113
gen_nuclear-smr,-0.2149783657387827,2119783.868628273,427663.4010141636,0.09820981842530935
gen_o-g-s,0.5383969911776395,217107.90564044067,167670.77465458828,0.11465373884212253
gen_pumped-hydro,0.21023787964486018,62019.00494814352,12112.35512102091,0.07467238752309832
gen_upv_2,0.5353708985461538,1091139.9281141276,469154.7451746771,0.09481413330755435
gen_upv_3,0.862824763543425,22046314.458724614,15989565.632476851,0.0858664786962231
gen_upv_4,0.8126747290033962,18461986.58808455,14203347.084126756,0.0937752704530313
gen_upv_5,0.4422288498394088,3120428.9971860684,2169773.674973447,0.13567509530219768
gen_wind-ons_10,0.883968375537035,39029612.43899778,29588958.565149073,0.08611362196756836
gen_wind-ons_3,0.5934675046851421,1458551.4136584247,596300.757464195,0.08194890382335525
gen_wind-ons_4,-0.2999547126689699,287723.63548818516,42884.39851360725,0.05474508164346386
gen_wind-ons_5,0.8188155387343822,1383284.1576999822,973811.6824271299,0.13694142395810807
gen_wind-ons_6,0.7499165408962254,7696616.523474307,5136026.307962685,0.08954526756244022
gen_wind-ons_7,0.8373346741230154,12851904.09064742,8727564.517944844,0.11065959292473837
gen_wind-ons_8,0.8486509121654625,12704148.449266091,8537217.495879311,0.11585888073028394
gen_wind-ons_9,0.8634421574198837,9482494.558995795,7386190.996498837,0.08214954040225866
tran_AC_total,0.8607732471024716,4519.097773693221,2968.03202329974,0.08142365402119935
tran_total,0.8607732471024716,4519.097773693221,2968.03202329974,0.08142365402119935
cost_inv_h2_production,-0.08058004224133763,12622531.842552977,1703405.9251744882,0.056860828709451965
cost_inv_h2_storage,-0.18704437202459956,8713054.546400247,1445221.6818927708,0.0836430754505743
cost_inv_investment_capacity_costs,0.7540807933079472,2911199660.8186545,2071186567.5032697,0.08642392984091851
cost_inv_investment_refurbishment_capacity,0.3533992669888366,546682874.7722714,236217910.50566214,0.08688818197548503
cost_inv_investment_spurline_costs_rsc_technologies,0.7637965383315877,649972768.4935855,473934853.3373908,0.12762727675565583
cost_inv_itc_payments_negative,-0.003956246516348294,124.49801216827211,13.311640207671703,0.06414440817498826
cost_inv_transmission_interzone_ac_investment,0.6904461712308685,901811568.6126862,500915783.77193147,0.11840311547893476
cost_inv_transmission_intrazone_investment,0.7280378421399099,271795692.59348327,192479144.90513504,0.09914723093020197
cost_op_co2_incentive_negative,0.19217807327819392,78897397.7151243,15927756.894113475,0.0898971042719468
cost_op_co2_transport_storage,0.6529307122761372,76346969.02347338,44519542.27658624,0.09643083516843329
cost_op_consume_fom,0.6919480126028563,12009346.009913117,4153278.1064670193,0.0704567305970142
cost_op_fom_costs,0.8956292722023262,244813762.5320547,179268563.2906607,0.0736717654093383
cost_op_fuelcosts_objfn,0.8795627424729345,599265457.0284216,452121291.03036267,0.07533479508330136
cost_op_h2_storage,0.7505820061209935,3573325.845816062,1246966.4288546923,0.06728895470327917
cost_op_h2_transport_intrareg,0.6990226988467274,14962426.56026272,5212909.666318011,0.06551497209296181
cost_op_ptc_payments_negative,0.9043923196806689,163362938.93806583,81165178.95009495,0.05858750084031948
cost_op_spurline_fom,0.9165284650214987,37736457.69019688,29181833.375083204,0.06536316876449262
cost_op_startcost,0.7559852639584738,83899246.51418571,61531564.69376379,0.09785560606374592
cost_op_transmission_fom,0.8365150853875346,58797940.388136595,36973099.79182857,0.0827028635452823
cost_op_transmission_intrazone_fom,0.9133718837478106,14176297.004366733,10786593.26671176,0.06736477786684991
cost_op_vom_costs,0.8941535086268795,101937224.7795954,71474425.45966463,0.06682878831608345
cost_total,0.7825503196172631,3987765767.9156027,2876411768.400867,0.09053501091150527
runtime_seconds,0.6194080564265395,162.3969123446572,125.84041769329238,0.1039206183735926
