output,r2,rmse,mae,nrmse
cap_CoalOldScr,0.36771509377474065,383.5307473675109,305.36840005586515,0.16397397166886082
cap_CoalOldScr_coal-CCS_mod,0.449213224004278,1283.9801011962406,1006.4003010020108,0.18613525349245766
cap_Gas-CC_Gas-CC-CCS_mod,0.06226233436187478,917.9261594465823,350.10698194133255,0.09820425674252768
cap_Gas-CC_H2-CC,0.14276376485496178,207.52943085524282,107.86562269448214,0.10412860721528301
cap_H2-CC,0.26369004089748993,702.4406413438905,460.77488693334806,0.11371915014932173
cap_H2-CT,0.21778103433345708,1400.3312481303249,811.4962220910061,0.0969483560112766
cap_battery_li,0.738264755465486,4546.603700578949,3720.0955797670413,0.1285639641910066
cap_coal-ccs_mod,0.5595123214797455,1057.5823150036124,841.2798356771849,0.17448609185450648
cap_electrolyzer,0.2695255214856388,1041.4796681623272,628.7000509245443,0.10849581906916499
cap_gas-cc,0.7503386923576872,9458.991082360828,7457.358501094675,0.12483427909975782
cap_gas-cc-ccs_mod,0.45067024858465077,3099.9754764119734,2071.3412924392674,0.09967055212564281
cap_gas-ct,0.6273641261447441,7554.430534297483,6056.425174234409,0.12194053713685542
cap_hydUD,0.0488711227406845,1.0750917938703888,0.41008847622632855,0.1791819656450648
cap_nuclear,-0.006898915351437607,3.7351939637074567,0.372978010785066,0.04547027036883429
cap_nuclear-smr,0.0190728278792901,252.71936693599704,85.93249713953435,0.0876852546471153
cap_o-g-s,0.1828057792659591,360.40769411317086,280.1335361633534,0.2940138357731605
cap_pumped-hydro,0.051286913944504575,112.58077386111984,43.39562196640854,0.0832180687188798
cap_upv_2,0.348329511061941,515.0043658456277,340.0944344267257,0.11075167187975982
cap_upv_3,0.7498534612258745,11788.289698694047,9478.6320600797,0.11244101126437643
cap_upv_4,0.665321131431603,10551.787297056047,8474.443677148558,0.12480330975715924
cap_upv_5,0.2427097136468781,1506.8369757942835,1110.3704059732274,0.1762755589374436
cap_wind-ons_10,0.8490577108933952,11023.01074663743,9211.795902275546,0.09985734921263073
cap_wind-ons_3,0.30389972764283446,725.7961387802378,497.8988061411157,0.10868465690030515
cap_wind-ons_4,-0.017071132936401723,138.92643152935588,30.260030597896925,0.04774104176266525
cap_wind-ons_5,0.7667521012753089,724.0417396391728,593.1597674016909,0.19619547411782778
cap_wind-ons_6,0.6128073338157727,3366.010156778744,2382.841084611059,0.12032930403174905
cap_wind-ons_7,0.7277820688440988,4994.836385460202,4145.033712251004,0.14671708334685118
cap_wind-ons_8,0.7405142395740552,5177.962356491997,4370.983530712741,0.15629944738111162
cap_wind-ons_9,0.8592176565532339,2760.273025738817,2268.463114543591,0.08566925345476556
gen_CoalOldScr,0.5394029714425226,1049945.5296000512,780153.9580402562,0.12887197563631614
gen_CoalOldScr_coal-CCS_mod,0.44920357969911584,674865.8495828971,528969.4515062753,0.1861368831022441
gen_Gas-CC_Gas-CC-CCS_mod,0.058697229688185026,6656198.935404153,2511855.1528621544,0.09701952064754439
gen_Gas-CC_H2-CC,0.08688709688046081,184861.61737385407,76902.72595064882,0.06457174527896159
gen_H2-CC,0.2636538352581004,369211.87814928556,242223.7541308819,0.11372194599014912
gen_H2-CT,0.21775238227349292,736027.58370743,426578.7054460573,0.0969501315672611
gen_battery_li,0.7814240085504975,1451886.467959495,1149837.397845613,0.12360169540152811
gen_coal-ccs_mod,0.49967763151690925,5920124.861569531,4552931.284960796,0.1542536494530581
gen_distpv,0.8240079787944192,749751.190078581,641832.3386165804,0.17487315277531237
gen_gas-cc,0.8868389785419427,44358341.4241729,34718529.008492835,0.10483892824683358
gen_gas-cc-ccs_mod,0.28265608628746797,20551809.3908225,11945572.67214706,0.10616843849354335
gen_gas-ct,0.4100072465193547,12375683.513474206,8949599.439445613,0.10827986296468792
gen_hydED,0.5812744894058628,16803.76258114811,14027.984664592566,0.20785268984709765
gen_hydEND,0.4144460492073099,279.66979091095135,189.47533819106084,0.2271291790037453
gen_hydUD,0.09303257052352287,2043.7535194806653,997.9540315264438,0.16139659954480237
gen_lfill-gas,0.6367429234887134,4792.523261997799,3805.483773666615,0.10602860308310069
gen_nuclear,0.6315335046489312,515114.0063465691,406633.5736443183,0.10244802807786417
gen_nuclear-smr,0.01871735359672322,1905041.1878968773,647968.2143281293,0.08826076654558072
gen_o-g-s,0.4907431508824839,228039.33282638332,182117.42217105118,0.12042657790135249
gen_pumped-hydro,0.053120054912649706,67908.49463247637,26178.98593730045,0.08176347607554305
gen_upv_2,0.351163572084881,1289421.3492643952,858631.9232844872,0.11204371185468495
gen_upv_3,0.748187361621456,29870115.413579863,24097136.712244045,0.11633879366167117
gen_upv_4,0.6318174098060236,25882836.605477422,21148654.15148341,0.1314685172795419
gen_upv_5,0.35194680677383694,3363501.3692241213,2489130.0048568454,0.1462437918728723
gen_wind-ons_10,0.856220721219454,43446440.67826843,35604082.65849489,0.09585876299059821
gen_wind-ons_3,0.30065525143673766,1913021.1375236318,1305508.7514439616,0.10748334528554604
gen_wind-ons_4,-0.017195325732750177,254515.13056968723,57756.08137896795,0.0484265103174207
gen_wind-ons_5,0.7539667649502699,1611936.0836321453,1310486.5163346606,0.1595773517634097
gen_wind-ons_6,0.5772066404571398,10007404.254395826,6820205.799893725,0.11642982196556986
gen_wind-ons_7,0.7331355017006647,16461347.509709125,13780876.72846445,0.1417382203888905
gen_wind-ons_8,0.7474678843088705,16410203.41995297,14005931.943481266,0.1496572405765507
gen_wind-ons_9,0.8743198978855977,9096986.310405992,7328616.477351208,0.07880977308197182
tran_AC_total,0.7546590864952477,5998.951895859365,4771.460876223514,0.10808719087728012
tran_total,0.7546590864952477,5998.951895859365,4771.460876223514,0.10808719087728012
cost_inv_h2_production,0.004440514038777654,12115786.487747885,3095804.1387456837,0.054578088512929314
cost_inv_h2_storage,0.011196458133024945,7952285.488127026,2200376.8123286813,0.07633988878937073
cost_inv_investment_capacity_costs,0.6642922156183393,3401390334.5577145,2592601459.397375,0.10097607649237281
cost_inv_investment_refurbishment_capacity,0.1502571736402054,626702066.3768967,358236121.9760632,0.09960619895117712
