output,r2,rmse,mae,nrmse
cap_CoalOldScr,-0.004680452132025836,483.4568918604164,385.39980041176074,0.20669619641491827
cap_CoalOldScr_coal-CCS_mod,-0.006887000472077576,1736.028728734104,1396.4755577245764,0.2516675664927023
cap_Gas-CC_Gas-CC-CCS_mod,-0.0023543560422776277,949.025118951107,245.60862869844766,0.10153137643748125
cap_Gas-CC_H2-CC,-0.0032168623793464857,224.50542846001179,98.51027845992382,0.11264637252399039
cap_H2-CC,-0.004176885241134354,820.3220843058659,449.56909481957985,0.13280315059434833
cap_H2-CT,-0.004443002425093878,1586.8258185417608,723.131737232396,0.10985983108587645
cap_battery_li,-0.004568530161468631,8907.293891291534,7539.836876732561,0.2518708663200525
cap_coal-ccs_mod,-0.0052387103666355905,1597.6509416516965,1287.648587145614,0.2635897603445879
cap_electrolyzer,-0.00427597276038405,1221.1662941861287,634.1006629084047,0.12721461720050642
cap_gas-cc,-0.0033214943863018043,18962.22317858153,16369.315513016274,0.25025242544537224
cap_gas-cc-ccs_mod,-0.002426992401995731,4187.627797423281,2817.1381782401695,0.13464079888430688
cap_gas-ct,-0.0037025072585910035,12398.293282480021,9978.678617914515,0.20012819438632556
cap_hydUD,-0.005976560465931646,1.1056554067442836,0.40631310111542346,0.18427590112404726
cap_nuclear,-0.004350308318533669,3.730463810099005,0.3378792123936016,0.045412687987423254
cap_nuclear-smr,-0.00743012066107962,256.11063226813036,62.43233459049003,0.08886191145751064
cap_o-g-s,-0.0033403541125920366,399.3517119247032,310.2397630780131,0.325783634931753
cap_pumped-hydro,-0.005624854684241232,115.90836598462161,31.206137451365933,0.08567777636259859
cap_upv_2,-0.003209045227137608,638.9878541124905,366.7964716367062,0.13741431694004577
cap_upv_3,-0.005332855196204411,23632.435927562074,19478.52191768104,0.22541480250778384
cap_upv_4,-0.00348336524625692,18271.19576525372,15158.196490427237,0.21610610984935816
cap_upv_5,-0.0046951718784031815,1735.6103575026104,1307.3382632900725,0.20303834507718987
cap_wind-ons_10,-0.0032211686364544967,28417.97373810652,24509.129164388036,0.257438153033383
cap_wind-ons_3,-0.007435980301701228,873.1472295425424,525.0391465686758,0.1307498097547982
cap_wind-ons_4,-0.00488125984575416,138.0913864656801,27.504093177413715,0.047454084696110004
cap_wind-ons_5,-0.004116163298240938,1502.2655640979651,1378.0222437039388,0.407072808738857
cap_wind-ons_6,-0.0056318431470896435,5424.645584419934,4039.2437994973607,0.19392212066787817
cap_wind-ons_7,-0.005655095245031383,9600.35806786511,7955.996693592344,0.2819985333058721
cap_wind-ons_8,-0.005605307821200611,10193.325722462738,8581.858316897631,0.3076907609030933
cap_wind-ons_9,-0.004340408996975187,7372.561679938146,6059.045245230527,0.22881861659335603
gen_CoalOldScr,-0.0031484101831833478,1549490.0702090857,1134779.9365326606,0.1901868629820864
gen_CoalOldScr_coal-CCS_mod,-0.006887000471950788,912456.6998275097,733987.5531455865,0.2516675664898792
gen_Gas-CC_Gas-CC-CCS_mod,-0.0024661223681687883,6869046.832267371,1748834.3989872972,0.10012195209902466
gen_Gas-CC_H2-CC,-0.002664633195910149,193714.6011562366,67708.18099927795,0.06766407251203294
gen_H2-CC,-0.00417688524104709,431161.2875100575,236293.51623564193,0.1328031505840024
