output,r2,rmse,mae,nrmse
cap_CoalOldScr,0.45042209493947793,357.5678075448862,225.31991810082303,0.15287382809983432
cap_CoalOldScr_coal-CCS_mod,0.23390509712403362,1514.285721451993,966.7808254814814,0.21952205985114148
cap_Gas-CC_Gas-CC-CCS_mod,-0.3291859128603223,1092.848426842234,174.10958237448563,0.116918301527638
cap_Gas-CC_H2-CC,0.1397536330653255,207.89347490831182,50.90031818930041,0.10431126757364695
cap_H2-CC,0.1789759349983785,741.7494566679978,204.34481396707818,0.12008291216554265
cap_H2-CT,0.5228403069700349,1093.7006861083416,242.45798278806583,0.07571957251413192
cap_battery_li,0.620696685302884,5473.300796485747,3807.5291369423862,0.1547681069094275
cap_coal-ccs_mod,0.6553671049005327,935.4609473241566,558.3301328292181,0.15433779712981388
cap_electrolyzer,0.4617468511149656,894.0083232605439,241.40872903909462,0.09313303778455087
cap_gas-cc,0.717038244739538,10070.083368121874,7430.354564467079,0.13289912071893012
cap_gas-cc-ccs_mod,0.36384520247459784,3335.9774103844975,1418.40055954321,0.1072584970112542
cap_gas-ct,0.6398234063293651,7427.063620694845,5760.706769345679,0.11988463235519692
cap_hydUD,-0.5238931393452904,1.3608276348795434,0.30864197530864196,0.22680460581325723
cap_nuclear,-1.0041237113402057,5.269658670328957,0.3380487613168743,0.06415002990995843
cap_nuclear-smr,-1.4464739066261245,399.10800314222206,74.38350514403291,0.13847726555951045
cap_o-g-s,-0.1062167912814127,419.3257512818974,236.16170578189306,0.34207808153546143
cap_pumped-hydro,-0.4474156203404085,139.05717800316464,22.222330907407407,0.10278904113055941
cap_upv_2,-0.2443250096641827,711.6456492750274,299.04754992181074,0.15303937339201412
cap_upv_3,0.4548441231611725,17402.590472043114,12083.571885469135,0.1659922619235518
cap_upv_4,0.42318197465292073,13852.599994730539,9126.649945919755,0.16384431181310183
cap_upv_5,-0.13646429054883602,1845.9204136179771,1227.478426446502,0.2159428378063434
cap_wind-ons_10,0.43123792146223316,21397.354464181008,13162.412291763376,0.193838429995903
cap_wind-ons_3,-0.2786696930807222,983.6892774037422,384.0032748744856,0.1473029765504256
cap_wind-ons_4,-1.007498156124718,195.18066530124275,25.837004985596707,0.06707239357431022
cap_wind-ons_5,0.13991942292815718,1390.3505189224006,835.3185858271605,0.37674689774913916
cap_wind-ons_6,0.3014836514063016,4521.058725811881,3024.835361382716,0.16162038277514598
cap_wind-ons_7,0.3302711878636324,7834.52000205869,4694.974168613169,0.23012924456757988
cap_wind-ons_8,0.2641158813060339,8719.806321798013,4773.1260389465015,0.2632118226310747
cap_wind-ons_9,0.6506647445324523,4348.096309657531,3239.5599407098766,0.13494975363825779
gen_CoalOldScr,0.6647241762013956,895792.2936794916,487909.9270278807,0.10995096354211628
gen_CoalOldScr_coal-CCS_mod,0.233905097116048,795908.575203609,508140.0018725392,0.21952205984983694
gen_Gas-CC_Gas-CC-CCS_mod,-0.3254158115789614,7898374.07515355,1221507.2023273539,0.11512523500319045
gen_Gas-CC_H2-CC,-0.055105845933336894,198715.85659329116,40540.84098385391,0.06941099973653846
gen_H2-CC,0.17897593499806663,389863.5144237909,107403.6342213107,0.12008291215621571
gen_H2-CT,0.5228403069684204,574849.080625213,127435.91575384156,0.07571957251548707
gen_battery_li,0.6560774300328049,1821217.302593027,1243975.8662482426,0.15504349083951652
gen_coal-ccs_mod,0.7689472844446017,4023105.7199834445,1751774.72594257,0.10482527885035058
gen_distpv,0.2148053652607924,1583650.477131413,781318.8334290126,0.36937314070961624
gen_gas-cc,0.8271758902527675,54818738.096523374,37899211.50960927,0.12956160138916953
gen_gas-cc-ccs_mod,0.17859910385582145,21991960.18627865,7753831.097536679,0.11360810272170085
gen_gas-ct,0.37075228195321874,12780760.021975199,7483855.802354584,0.11182404125455343
gen_hydED,0.5958924310314624,16507.842582859805,7255.719888919755,0.2041923329879275
gen_hydEND,0.22245080447443877,322.2745703867436,170.46725925925458,0.26172994354271356
gen_hydUD,-0.5176406314312356,2643.730278067463,603.093111111111,0.20877717049859743
gen_lfill-gas,0.4396662820495876,5952.2418115783,4359.202848006173,0.13168593035297857
gen_nuclear,0.4277800243073796,641927.3273360488,469280.7461220721,0.12766919176067915
gen_nuclear-smr,-1.4430528364118538,3005894.5451343437,559369.6873482427,0.13926342296127725
gen_o-g-s,0.1875102555181608,288038.31809529394,195105.00608593415,0.1521117805544827
gen_pumped-hydro,-0.42008866064443584,83163.80931788517,13694.367097911525,0.10013124529286839
gen_upv_2,-0.26256574888581974,1798681.409938311,774506.8702794547,0.1562956451190128
gen_upv_3,0.423447883851366,45197813.335282974,31165944.116448164,0.17603745438431254
gen_upv_4,0.3203278530159085,35166567.70640194,23056229.88970941,0.17862402736772998
gen_upv_5,-0.014236645986051455,4207808.150237556,2944965.3159167715,0.18295393752322656
gen_wind-ons_10,0.41501459363000337,87635197.24480782,54659412.51208041,0.19335534674826133
gen_wind-ons_3,-0.2649853178645247,2572864.129257632,1005597.5261455515,0.14455671092885541
gen_wind-ons_4,-1.021504987424536,358797.0274112845,50151.88156598972,0.0682681925860397
gen_wind-ons_5,0.164113226719675,2971150.5288571655,1785144.2123638045,0.2941359387012022
gen_wind-ons_6,0.271674096267589,13134702.578701654,8278933.841813499,0.15281396093669358
gen_wind-ons_7,0.2826934854348102,26988103.6649262,15868977.628410924,0.23237743950678105
gen_wind-ons_8,0.2450177744655635,28374225.73897995,15668345.241313538,0.2587663430441528
gen_wind-ons_9,0.6275406853286463,15660430.5769259,11865021.645637892,0.13567075271089662
tran_AC_total,0.7400056910838904,6175.5026340667655,3744.492538559671,0.11126822544322147
tran_total,0.7400056910838904,6175.5026340667655,3744.492538559671,0.11126822544322147
cost_inv_h2_production,-0.2321570327693021,13478793.94060495,1608417.4707089157,0.06071804001183057
cost_inv_h2_storage,-1.185203675275846,11821781.207521625,1572096.1549963746,0.11348604926494284
cost_inv_investment_capacity_costs,0.5548028152161382,3916985574.173926,2722903645.224745,0.11628240103432211
cost_inv_investment_refurbishment_capacity,-0.6723615004371959,879189421.0589577,346385215.327208,0.1397358028449563
cost_inv_investment_spurline_costs_rsc_technologies,0.608572360002855,836715428.724113,576112132.4231857,0.16429567016322388
cost_inv_itc_payments_negative,-1.510330578512396,196.8658934877803,19.968127901234567,0.10143010324169742
cost_inv_transmission_interzone_ac_investment,0.5061820710894862,1139019447.0025847,548763134.5395951,0.149547262210961
cost_inv_transmission_intrazone_investment,0.4994311437067739,368739993.3050875,247256356.69671685,0.13451114298599895
cost_op_co2_incentive_negative,-0.3250822527033519,101047664.27048491,15606010.215566944,0.11513551364722782
cost_op_co2_transport_storage,0.3989313527688132,100472161.49219893,52708837.19766129,0.12690241102946231
cost_op_consume_fom,0.46174685112404434,15874521.37221128,4286590.995755891,0.09313303778200709
cost_op_fom_costs,0.7919632431225008,345634041.9002888,237349598.12946448,0.10401159554510513
cost_op_fuelcosts_objfn,0.5705921260768121,1131550179.2549083,853963244.1654518,0.14224931519221287
cost_op_h2_storage,0.558434004784831,4754518.486169796,1304110.7996739917,0.08953187950278274
cost_op_h2_transport_intrareg,0.4571661934252129,20094102.043115456,5261849.1808768045,0.08798469481441656
cost_op_ptc_payments_negative,0.7776618542695477,249123178.85862055,115871422.90161657,0.08934403693763088
cost_op_spurline_fom,0.802573255165351,58035659.388391055,42365633.61685958,0.10052333555270233
cost_op_startcost,0.4012036852476989,131428512.5764993,94170389.66114952,0.15329120685315628
cost_op_transmission_fom,0.6958394983789318,80200057.39268997,46023659.514225036,0.11280623707373455
cost_op_transmission_intrazone_fom,0.7565437425114209,23765329.43679581,17493554.22220094,0.11293119338210245
cost_op_vom_costs,0.6970227746369764,172464440.80853432,117585365.07466124,0.11306556198449991
cost_total,0.6818654314575485,4823426723.464837,3410133527.32069,0.10950718182928573
runtime_seconds,0.2327024960963019,230.5843696847723,172.48990903497943,0.1475549623386357
