output,r2,rmse,mae,nrmse
cap_CoalOldScr,0.773964087318803,229.31502027826025,166.18725823558785,0.09804088693395055
cap_CoalOldScr_coal-CCS_mod,0.7049851081606624,939.6984497280396,685.7132472975153,0.13622563853103292
cap_Gas-CC_Gas-CC-CCS_mod,0.4336289314598628,713.374525670421,237.0299936256394,0.07632031656528226
cap_Gas-CC_H2-CC,0.44023562176198083,167.69961431386028,63.28935247728753,0.08414385948575573
cap_H2-CC,0.8108612424589057,356.0160352013942,169.12389058373486,0.05763596036410583
cap_H2-CT,0.8504669526923303,612.2590329625544,259.3148257571499,0.04238818977868687
cap_battery_li,0.9184167375764114,2538.3793816864663,1897.062451886806,0.07177755912369771
cap_coal-ccs_mod,0.9131819098479927,469.5181783150235,334.5197916853751,0.07746384449380275
cap_electrolyzer,0.8338487851072534,496.7067170799586,222.6975357312052,0.051744267079006104
cap_gas-cc,0.9585434938821578,3854.4777624702087,3019.672601044728,0.050869162323379916
cap_gas-cc-ccs_mod,0.8802760542980753,1447.2121782001225,878.6437001710145,0.046530831595840316
cap_gas-ct,0.9363715266401161,3121.656787335812,2467.089681803017,0.05038851091110578
cap_hydUD,0.5461961268682719,0.7426085792517115,0.29197262939322954,0.12376809654195192
cap_nuclear,-0.8109766829784615,5.0092955030499615,1.3129869257023798,0.06098050679407956
cap_nuclear-smr,-0.12539478752764155,270.69023692899265,85.55752427133872,0.09392055165134172
cap_o-g-s,0.5333713922346923,272.3435479579524,186.28052514745605,0.22217275738304795
cap_pumped-hydro,0.30863380192152434,96.10607818316474,28.356094309285567,0.07104021356625878
cap_upv_2,0.8154919607806623,274.03405067674765,135.63216246715842,0.058931013554805366
cap_upv_3,0.9605183622300162,4683.290861277978,3652.5705582889464,0.0446709381892478
cap_upv_4,0.9611848418941265,3593.4579055640484,2724.28050242047,0.04250231998256328
cap_upv_5,0.56090904260197,1147.3933334976205,843.3368433486803,0.13422646539236655
cap_wind-ons_10,0.9803330918005312,3978.8980374535327,3098.481609163044,0.03604479936923328
cap_wind-ons_3,0.8400903851342085,347.8692495043968,179.1939716946927,0.052091831312428394
cap_wind-ons_4,-0.583676063340564,173.35740316766518,57.319159807350744,0.05957299077926639
cap_wind-ons_5,0.9343231934921363,384.20299573824894,273.983475313453,0.10410848543610303
cap_wind-ons_6,0.9125724418270702,1599.469765672734,1193.0953095884483,0.05717840254748698
cap_wind-ons_7,0.95943342915331,1928.1776789122748,1437.683164587981,0.05663781221102911
cap_wind-ons_8,0.9795606370621672,1453.234840547157,1106.5617112014775,0.043866638429249386
cap_wind-ons_9,0.9391296444901703,1815.0177033598948,1409.2201892108935,0.05633182304942693
gen_CoalOldScr,0.9233983535904997,428178.8928609745,290995.12268623005,0.052555354819010254
gen_CoalOldScr_coal-CCS_mod,0.7049851081609968,493905.50517944206,360410.8827825764,0.13622563852943623
gen_Gas-CC_Gas-CC-CCS_mod,0.41174700525388397,5261913.425258695,1733655.3524777477,0.07669667375656342
gen_Gas-CC_H2-CC,0.5050561480583146,136101.3633018162,47291.96532394158,0.04753989869877261
gen_H2-CC,0.8108612424179884,187122.02812162158,88891.51689452151,0.057635960365852584
gen_H2-CT,0.8504669527024357,321803.3477174337,136295.87241343578,0.042388189777941496
gen_battery_li,0.9385034324479381,770117.2779307319,586488.7131677368,0.06556146317971183
gen_coal-ccs_mod,0.9397890785634034,2053730.9279484863,1202698.5898324153,0.053511623156319944
gen_distpv,0.9847042431546817,221032.512202203,182454.49828001249,0.051553972552675485
gen_gas-cc,0.9824759806022539,17455959.774499275,13817612.419755181,0.04125636927626551
gen_gas-cc-ccs_mod,0.8981850698174458,7742693.866892879,4022504.1698002736,0.03999792436517209
gen_gas-ct,0.9065765819574131,4924631.424728192,3191439.3934242893,0.04308759312086426
gen_hydED,0.9170011455027012,7481.313873477209,4508.823350238716,0.09253946577043352
gen_hydEND,0.9875565987927322,40.769149540806225,31.84579457075971,0.03310998815325262
gen_hydUD,0.5650964937496967,1415.2368453574152,546.6253485195921,0.11176221213272437
gen_lfill-gas,0.782055442778962,3712.1900445554907,2895.539038970737,0.08212757732951255
gen_nuclear,0.8039317887023926,375757.7532827297,295429.13911555137,0.07473227360252432
gen_nuclear-smr,-0.13590913114493475,2049647.1632579817,649821.3767405318,0.09496037719627355
gen_o-g-s,0.6624414121771045,185658.95560603627,142184.39727258738,0.09804568537918165
gen_pumped-hydro,0.3953246337310521,54267.24601760177,16602.157130476113,0.06533908159000501
gen_upv_2,0.800287559863244,715368.4843359834,365195.89150032145,0.06216163581795046
gen_upv_3,0.9584757028091633,12129678.341922509,9332035.28182033,0.0472429425284983
gen_upv_4,0.9538889819377505,9159728.514871722,7060170.860974867,0.046525655007940085
gen_upv_5,0.6256049214347769,2556532.6702608024,1872913.2968227798,0.11115709217982678
