output,r2,rmse,mae,nrmse
cap_CoalOldScr,0.8038354967336506,213.62594205434362,144.1911580413232,0.09133320968549802
cap_CoalOldScr_coal-CCS_mod,0.7195624673814787,916.1880219260375,604.9401064501906,0.13281739300248874
cap_Gas-CC_Gas-CC-CCS_mod,0.3012520842041363,792.3687318909535,163.33552433220513,0.08477150539895752
cap_Gas-CC_H2-CC,0.5523783226360064,149.9633004789926,46.04734947609428,0.07524460288804377
cap_H2-CC,0.8492270239111371,317.86378252855997,93.51629521132729,0.051459435979160896
cap_H2-CT,0.8819451603901147,544.012034365725,140.71774477463848,0.03766328320711635
cap_battery_li,0.9255569526080475,2424.7561464123664,1722.9835061529266,0.06856464361289882
cap_coal-ccs_mod,0.9253684061462489,435.32003545050713,264.8220060514048,0.0718216356439969
cap_electrolyzer,0.9182382994174961,348.43616928927105,104.3184914023916,0.03629822908311399
cap_gas-cc,0.9525105489889188,4125.416204311209,3187.6019217817006,0.054444850763419275
cap_gas-cc-ccs_mod,0.8717279145607026,1497.9860725153944,690.2552959522989,0.04816331614885671
cap_gas-ct,0.8927704842644859,4052.4398112209624,3203.731129556476,0.06541283092770073
cap_hydUD,0.4214448554678365,0.8384906864169012,0.26374632569077017,0.1397484477361502
cap_nuclear,-0.3619588176269064,4.34412397046592,0.5821377413768317,0.05288306132749198
cap_nuclear-smr,0.20630556952569234,227.32479543699085,49.47640088729783,0.07887417896446423
cap_o-g-s,0.5996221774832173,252.27047052444567,158.28262389834808,0.205797517374593
cap_pumped-hydro,0.5600956011844915,76.66125707275751,16.35694804148478,0.05666688494277318
cap_upv_2,0.8573774942725743,240.9300188948713,94.87154833526333,0.05181199261255865
cap_upv_3,0.9678097726889371,4228.784684288669,2899.7553445026906,0.040335692324680594
cap_upv_4,0.9718727423735216,3058.972534246242,2332.0850311996023,0.03618059064142528
cap_upv_5,0.5225401679837584,1196.474634769179,878.2267864217491,0.1399681839418868
cap_wind-ons_10,0.9917119455476685,2582.9801144547337,1935.3102715661341,0.02339919221951849
cap_wind-ons_3,0.7996800451980324,389.3506090275792,137.6748255335623,0.05830347544587888
cap_wind-ons_4,-0.252028314356048,154.14033258842034,22.1847752566283,0.05296918645650183
cap_wind-ons_5,0.9623236530879995,290.99741209923684,160.35814988168838,0.07885232592021939
cap_wind-ons_6,0.9368676831401388,1359.1823445473688,953.9817856171272,0.048588524084592154
cap_wind-ons_7,0.9765053679111443,1467.395647356772,912.1326324537494,0.043102915267206325
cap_wind-ons_8,0.9907799872230348,976.0406040696538,657.8035884078579,0.029462285844226773
cap_wind-ons_9,0.9553060669463633,1555.257245864356,1125.5791960486024,0.04826976387513392
gen_CoalOldScr,0.9271190995651695,417650.5596203068,245343.19801304766,0.051263090538024955
gen_CoalOldScr_coal-CCS_mod,0.7196569706962448,481467.28012982634,317899.0205565692,0.13279501236352392
