output,r2,rmse,mae,nrmse
cap_CoalOldScr,0.7705493849997931,231.0406472262578,165.79590178474982,0.0987786580415453
cap_CoalOldScr_coal-CCS_mod,0.6745931331667732,986.9153357288131,670.9475882579313,0.14307054760453827
cap_Gas-CC_Gas-CC-CCS_mod,0.5101980635094324,663.4028232687474,154.79067994866654,0.07097409798112748
cap_Gas-CC_H2-CC,0.3697694538177061,177.94228343216116,74.13367093717497,0.0892831540188748
cap_H2-CC,0.8150236856143889,352.07675630706416,143.38961677907244,0.05699822470119298
cap_H2-CT,0.8631626569322521,585.6915061343221,214.5198243923002,0.040548854940789365
cap_battery_li,0.9286068595522671,2374.5659744578884,1691.093176063402,0.0671454199693087
cap_coal-ccs_mod,0.9164136254576556,460.6966368673899,314.3142631168988,0.07600841519104926
cap_electrolyzer,0.8919760673180728,400.50529715611066,174.3033778137051,0.04172251421207662
cap_gas-cc,0.9706780023572329,3241.648883703915,2444.166285332819,0.04278140215676294
cap_gas-cc-ccs_mod,0.8539897131843361,1598.2084584184015,851.1368542639141,0.0513856708462764
cap_gas-ct,0.9298639064700671,3277.4055683079655,2526.1086464206533,0.052902544222277255
cap_hydUD,0.2329832462091348,0.9654466686070694,0.3531846437606709,0.16090777810117823
cap_nuclear,-2.157473185442873,6.614393955662369,1.534544088734569,0.08052012409856928
cap_nuclear-smr,0.6272052807323374,155.79553914848162,41.94883012614008,0.05405589483998259
cap_o-g-s,0.4619889508446646,292.4334231456345,193.4711562771589,0.2385617006842409
cap_pumped-hydro,0.17103588676669412,105.23607674881649,30.940634676175346,0.0777889755615969
cap_upv_2,0.8094305029527641,278.49895981608074,128.24336659333633,0.059891192117875226
cap_upv_3,0.9843209333121301,2951.3020180493427,2092.6806493543236,0.028150596222013987
cap_upv_4,0.9820600656952967,2442.9934705736823,1890.245984355453,0.02889497885612139
cap_upv_5,0.5114670462841426,1210.269273871748,833.5711466571503,0.14158193364222443
cap_wind-ons_10,0.9954033550566218,1923.6021080829732,1484.3760125852623,0.017425893149164342
cap_wind-ons_3,0.8622032242743467,322.9224802334405,112.9811609662706,0.04835616655187789
cap_wind-ons_4,-2.163240596190531,245.0052154368233,55.32733953364035,0.08419423210887399
cap_wind-ons_5,0.9712957090248013,253.99674148009817,155.71267965394267,0.06882615792827848
cap_wind-ons_6,0.9537959567109935,1162.7647350207567,870.6821240249852,0.04156691893396021
cap_wind-ons_7,0.9799791557748294,1354.5782421244933,935.1012076956679,0.0397890448280018
cap_wind-ons_8,0.9930800132409037,845.5801032200079,607.7811426469815,0.025524268766467007
cap_wind-ons_9,0.9555605865831728,1550.8225424539216,1192.8262979784254,0.04813212613896703
gen_CoalOldScr,0.941386770779507,374545.02025577036,242084.00398923957,0.0459722484303464
gen_CoalOldScr_coal-CCS_mod,0.6731332416319682,519884.9860501554,353911.57594195806,0.14339112126482387
gen_Gas-CC_Gas-CC-CCS_mod,0.4193034811272318,5228007.912365731,1243612.411164059,0.0762024732916873
gen_Gas-CC_H2-CC,-0.109816918705824,203802.81534812922,65820.49249120303,0.07118786293631074
